time,CANESM2,IPSL-CM5A-LR,CCSM4,GFDL-ESM2G,MPI-ESM-LR,GFDL-CM3,GISS-E2-R,CSIRO-MK3-6-0,CNRM-CM5,NORESM1-M
2000.0,716413198600.0,716413198600.0,716413198600.0,716413198600.0,716413198600.0,716413198600.0,716413198600.0,716413198600.0,716413198600.0,716413198600.0
2001.0,715987157200.0,715987157200.0,715987157200.0,715987157200.0,715987157200.0,715987157200.0,715987157200.0,715987157200.0,715987157200.0,715987157200.0
2002.0,714754958100.0,714754958100.0,714754958100.0,714754958100.0,714754958100.0,714754958100.0,714754958100.0,714754958100.0,714754958100.0,714754958100.0
2003.0,714184233800.0,714184233800.0,714184233800.0,714184233800.0,714184233800.0,714184233800.0,714184233800.0,714184233800.0,714184233800.0,714184233800.0
2004.0,714504487300.0,714504487300.0,714504487300.0,714504487300.0,714504487300.0,714504487300.0,714504487300.0,714504487300.0,714504487300.0,714504487300.0
2005.0,713634604400.0,713634604400.0,713634604400.0,713634604400.0,713634604400.0,713634604400.0,713634604400.0,713634604400.0,713634604400.0,713634604400.0
2006.0,713684018800.0,713684018800.0,713684018800.0,713684018800.0,713684018800.0,713684018800.0,713684018800.0,713684018800.0,713684018800.0,713684018800.0
2007.0,712554477300.0,712554477300.0,712554477300.0,712554477300.0,712554477300.0,712554477300.0,712554477300.0,712554477300.0,712554477300.0,712554477300.0
2008.0,711576311300.0,711576311300.0,711576311300.0,711576311300.0,711576311300.0,711576311300.0,711576311300.0,711576311300.0,711576311300.0,711576311300.0
2009.0,711597255200.0,711597255200.0,711597255200.0,711597255200.0,711597255200.0,711597255200.0,711597255200.0,711597255200.0,711597255200.0,711597255200.0
2010.0,709855410200.0,709855410200.0,709855410200.0,709855410200.0,709855410200.0,709855410200.0,709855410200.0,709855410200.0,709855410200.0,709855410200.0
2011.0,710819260000.0,710819260000.0,710819260000.0,710819260000.0,710819260000.0,710819260000.0,710819260000.0,710819260000.0,710819260000.0,710819260000.0
2012.0,709232040000.0,709232040000.0,709232040000.0,709232040000.0,709232040000.0,709232040000.0,709232040000.0,709232040000.0,709232040000.0,709232040000.0
2013.0,709206089700.0,709206089700.0,709206089700.0,709206089700.0,709206089700.0,709206089700.0,709206089700.0,709206089700.0,709206089700.0,709206089700.0
2014.0,710037919000.0,710037919000.0,710037919000.0,710037919000.0,710037919000.0,710037919000.0,710037919000.0,710037919000.0,710037919000.0,710037919000.0
2015.0,707848219800.0,707848219800.0,707848219800.0,707848219800.0,707848219800.0,707848219800.0,707848219800.0,707848219800.0,707848219800.0,707848219800.0
2016.0,708971223200.0,708971223200.0,708971223200.0,708971223200.0,708971223200.0,708971223200.0,708971223200.0,708971223200.0,708971223200.0,708971223200.0
2017.0,705228094500.0,705228094500.0,705228094500.0,705228094500.0,705228094500.0,705228094500.0,705228094500.0,705228094500.0,705228094500.0,705228094500.0
2018.0,705108260200.0,705108260200.0,705108260200.0,705108260200.0,705108260200.0,705108260200.0,705108260200.0,705108260200.0,705108260200.0,705108260200.0
2019.0,706225648700.0,706225648700.0,706225648700.0,706225648700.0,706225648700.0,706225648700.0,706225648700.0,706225648700.0,706225648700.0,706225648700.0
2020.0,703426940000.0,703426940000.0,703426940000.0,703426940000.0,703426940000.0,703426940000.0,703426940000.0,703426940000.0,703426940000.0,703426940000.0
2021.0,702509302500.0,701209797800.0,701944911700.0,704648454600.0,701807906000.0,700872459600.0,702799515700.0,701443403900.0,702034419800.0,701469984400.0
2022.0,700237624400.0,700838866860.0,701657656700.0,702029530800.0,700467372400.0,698951657800.0,700723424900.0,700748109000.0,700719098200.0,700238463400.0
2023.0,698795485060.0,698663995300.0,699395276700.0,702636210000.0,698593056100.0,697573878590.0,699242875400.0,702334045200.0,700058777800.0,699500096540.0
2024.0,697788013060.0,696632011900.0,698737851400.0,700485553440.0,698194889400.0,695816682900.0,698680822400.0,698611738200.0,698854775440.0,698113169450.0
2025.0,696157452460.0,694336904800.0,696671205250.0,699256051260.0,696481957100.0,694165055460.0,696727504000.0,696128048600.0,696889491700.0,696874229650.0
2026.0,695335623640.0,693165888750.0,694938640900.0,698455803150.0,694909416600.0,693312780540.0,696502848760.0,694503321320.0,696993619850.0,694955201200.0
2027.0,693450004500.0,691251441300.0,694203070100.0,697197100000.0,693384944540.0,693377958700.0,696861943660.0,693045476660.0,694710806530.0,693413502200.0
2028.0,693041460100.0,689328018540.0,691577742140.0,695542195700.0,691191882600.0,690721501700.0,694586295300.0,691560939230.0,692725393040.0,692295446860.0
2029.0,689966390880.0,688120567000.0,690668489050.0,695046762400.0,688373173950.0,688331649300.0,693954990240.0,689617153300.0,690313893160.0,689310657100.0
2030.0,688802828000.0,685604323460.0,689104422060.0,693767065160.0,686725503060.0,684463399770.0,691662507640.0,688970090340.0,689205386640.0,687335570940.0
2031.0,685359002200.0,685864362060.0,686651651300.0,692267455200.0,686106929860.0,680524668560.0,692022439800.0,687060459860.0,688517308500.0,685631796200.0
2032.0,683143278150.0,684330290400.0,684858489440.0,690721715100.0,683333206250.0,678084097700.0,689252946100.0,684746155040.0,686557751230.0,683527616400.0
2033.0,680449449500.0,681183537930.0,683017187730.0,688975721040.0,680385728400.0,674693137900.0,687643885200.0,682691819650.0,684162138840.0,680741255800.0
2034.0,678695648150.0,677606143200.0,680792078150.0,687754038100.0,678588197400.0,671470168050.0,686808270200.0,680592544800.0,682644420640.0,678440425860.0
2035.0,676125689150.0,675312340180.0,679349025650.0,688414039460.0,676711686360.0,668384644400.0,685999545700.0,678250872470.0,680952767420.0,675660322340.0
2036.0,672974935350.0,673009368140.0,677497641420.0,685691842750.0,674367187670.0,664762238360.0,684368527150.0,677116952300.0,679422423300.0,673295370420.0
2037.0,670649547500.0,670884477500.0,674822558200.0,683217390250.0,673768304340.0,661907039000.0,682334863700.0,675649367340.0,677561899060.0,671880141640.0
2038.0,668049228200.0,668375210100.0,672516271390.0,681482610870.0,670461326000.0,658361773260.0,680395946000.0,673634909430.0,675133684030.0,670000512900.0
2039.0,665713368360.0,666651065800.0,670339367800.0,679430800240.0,667823399500.0,654910100760.0,680248147700.0,670087244540.0,673654151000.0,668769822400.0
2040.0,663347660200.0,666109550700.0,669884064230.0,680767373850.0,665650375100.0,651864524450.0,676621029600.0,670067672040.0,670775861600.0,665617867850.0
2041.0,661382005380.0,663808142460.0,667530651360.0,676938310240.0,662793435460.0,649669565460.0,675068852600.0,666008590100.0,669421795500.0,663825446700.0
2042.0,658142437040.0,662571081000.0,666019740500.0,677073184010.0,660696391300.0,644287809030.0,673467098800.0,664352534150.0,666661236600.0,661171552440.0
2043.0,654493515350.0,658458809990.0,663976612700.0,672974987280.0,659761193100.0,640250536140.0,672819215300.0,661890825200.0,664365454960.0,657983047810.0
2044.0,652240840600.0,655686809340.0,662393753200.0,671802085700.0,656918894900.0,634701658300.0,670017883350.0,659973837160.0,662743131240.0,655707141270.0
2045.0,650035306440.0,652463706700.0,659973958450.0,672142426400.0,653378751760.0,631017276510.0,668316233600.0,657297071160.0,664544291090.0,652766273940.0
2046.0,647016869260.0,652521120440.0,657558431560.0,668721906360.0,650952057940.0,628308444680.0,669045787300.0,655796230700.0,660238044530.0,650086422440.0
2047.0,644695009500.0,648844603170.0,654531820360.0,667250721030.0,648074841460.0,627437002220.0,667567243560.0,653925994900.0,656305170600.0,647306539600.0
2048.0,640862361450.0,645578788060.0,652234788660.0,666001536340.0,648287717660.0,621305327700.0,664504893700.0,653652582350.0,660763491010.0,646390666500.0
2049.0,638233320930.0,642885727660.0,650077720900.0,663667308650.0,643511284610.0,614199133380.0,663943203200.0,649931225620.0,656268473930.0,643062189690.0
2050.0,636911750740.0,642226698090.0,648047701800.0,662257359460.0,641131070780.0,610390760020.0,660975935910.0,646459417900.0,652156897950.0,641021429420.0
2051.0,634561300300.0,637834065600.0,648045823960.0,662575911900.0,641630137360.0,606197045920.0,658903014600.0,644408641380.0,650754997000.0,642825625750.0
2052.0,630047972750.0,634649799480.0,644929819300.0,658953688200.0,637317355000.0,600275709310.0,659417398860.0,642274911670.0,649353237700.0,638083840060.0
2053.0,627601523200.0,632565054650.0,642828788780.0,659418019800.0,634398905100.0,597230852630.0,658278460100.0,640596266740.0,645500226400.0,636413255050.0
2054.0,624397305110.0,630062807400.0,641905557100.0,658010076860.0,632296743500.0,591235671500.0,656536931360.0,637864482900.0,643259324360.0,631265735770.0
2055.0,622362718660.0,628258265400.0,637948802300.0,656955916440.0,630498869990.0,586974412100.0,656151710040.0,636008239580.0,640839751450.0,629303298900.0
2056.0,618942912620.0,624924676500.0,638459322310.0,653699360060.0,628585003460.0,582331543770.0,657031816100.0,634434847240.0,640315007740.0,628246643860.0
2057.0,616270605840.0,623806601160.0,637046607950.0,654068517400.0,626759833060.0,577856900800.0,652653161350.0,631112326960.0,638041813130.0,626128967460.0
2058.0,615094379520.0,619981769660.0,635408600360.0,653488427100.0,624672969200.0,574007983730.0,651044551400.0,629744854360.0,639786237100.0,622826579180.0
2059.0,611757190870.0,620997143510.0,632308919400.0,651377481150.0,623950640200.0,569978611210.0,648850776900.0,627065797920.0,635463872460.0,619613554320.0
2060.0,609012638130.0,617674476600.0,631226517390.0,649523939960.0,620928810680.0,567222491680.0,646115385900.0,625346233090.0,630222080960.0,618396182920.0
2061.0,605666375950.0,614365167370.0,629454940760.0,653368849540.0,617840145010.0,562583050080.0,646283612170.0,622981779500.0,627163864220.0,614275386960.0
2062.0,602975248410.0,611656642370.0,628370474460.0,647463277060.0,617108659260.0,559357064890.0,646175226400.0,620933647480.0,623943579940.0,612569787630.0
2063.0,600798656480.0,609037264900.0,627374740160.0,646157170100.0,614936879000.0,557749576970.0,642943492700.0,620599321150.0,621793628680.0,610292284960.0
2064.0,599888541000.0,606515240660.0,625254648960.0,648831218710.0,613949431460.0,552541582420.0,642606462800.0,621326366600.0,618678172480.0,611025627450.0
2065.0,596117079930.0,604053947840.0,624409717010.0,644659138350.0,610617628890.0,551869434010.0,642376584740.0,618517470860.0,617038015600.0,608412611400.0
2066.0,592530700980.0,603898996000.0,622946002350.0,643698878910.0,609595837840.0,548908528850.0,640347106140.0,614526210200.0,616058893640.0,603087330860.0
2067.0,590283092110.0,599400936790.0,623218289500.0,649859349260.0,607275061870.0,543637878050.0,638423439100.0,612761308550.0,612939272140.0,610256144180.0
2068.0,590435882860.0,596267676350.0,619218237060.0,642685881300.0,604873702880.0,539729275330.0,636523489700.0,610260640750.0,611287737370.0,602014998500.0
2069.0,586001063030.0,594237909640.0,618730805100.0,644052493410.0,605978491170.0,536160491080.0,634956043400.0,608956182340.0,608110004930.0,599590712200.0
2070.0,583441196980.0,591010495550.0,617540443400.0,639026103150.0,601550834720.0,533865357160.0,635118238550.0,607143593060.0,609992725000.0,594887229560.0
2071.0,580777322840.0,590116222520.0,613507500060.0,640345514100.0,600586605860.0,531366539320.0,635025437290.0,605300950240.0,604414466840.0,592028335770.0
2072.0,579175854050.0,588170133470.0,611621554290.0,640579319800.0,599392382940.0,527056881470.0,632478140700.0,603297077070.0,602580761240.0,591943503890.0
2073.0,576574748530.0,584644664700.0,610060170270.0,640144741100.0,599822041700.0,523832823910.0,633994594990.0,605429705940.0,607949318040.0,590313125960.0
2074.0,575777082670.0,581905349320.0,609652084360.0,638634664450.0,601442386750.0,519874833170.0,633757657200.0,600264078580.0,602565893870.0,587612333990.0
