time,IPSL-CM6A-LR,EC-EARTH3,INM-CM4-8,INM-CM5-0,CAMS-CSM1-0,ACCESS-CM2,CESM2-WACCM,CESM2,MPI-ESM1-2-HR,NORESM2-MM,BCC-CSM2-MR,FGOALS-F3-L,EC-EARTH3-VEG,MRI-ESM2-0,ACCESS-ESM1-5,GFDL-ESM4,CANESM5
2000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0
2001.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0
2002.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0
2003.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0
2004.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0
2005.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0
2006.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0
2007.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0
2008.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0
2009.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0
2010.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0
2011.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0
2012.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0
2013.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0
2014.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0
2015.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0
2016.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0
2017.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0
2018.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0
2019.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0
2020.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0
2021.0,14042127000.0,14040412000.0,14055950000.0,14021788000.0,14016447000.0,13999303000.0,14096348000.0,14052568000.0,14108483000.0,14063092000.0,13993073000.0,14032777000.0,14008150000.0,14014936000.0,14073751000.0,14023530000.0,14029739000.0
2022.0,13961346000.0,13863311000.0,13988600000.0,13938296000.0,13955622000.0,13881122000.0,13904418000.0,13981918000.0,13883893000.0,13848755000.0,13894148000.0,14092213000.0,13952806000.0,13904569000.0,13923303000.0,14002066000.0,13918980000.0
2023.0,13849744000.0,13923831000.0,13832746000.0,13868304000.0,13900078000.0,13682599000.0,13835726000.0,13862137000.0,13898533000.0,13797419000.0,13795982000.0,13819962000.0,13859113000.0,13956473000.0,14109031000.0,13811887000.0,13698649000.0
2024.0,13732251000.0,13739898000.0,13767688000.0,13728074000.0,13839031000.0,13567045000.0,13630436000.0,13674632000.0,13735206000.0,13568194000.0,13693699000.0,13678818000.0,13758066000.0,13779817000.0,13797928000.0,13961399000.0,13553048000.0
2025.0,13544142000.0,13709442000.0,13581660000.0,13570040000.0,13702186000.0,13391758000.0,13414238000.0,13573318000.0,13665042000.0,13393891000.0,13808546000.0,13522035000.0,13675204000.0,13615755000.0,13621440000.0,14020529000.0,13390212000.0
2026.0,13406930000.0,13492422000.0,13457242000.0,13403162000.0,13563375000.0,13199013000.0,13279829000.0,13582189000.0,13493716000.0,13258399000.0,13850450000.0,13471033000.0,13548281000.0,13511250000.0,13493262000.0,13592547000.0,13175934000.0
2027.0,13329663000.0,13386790000.0,13385895000.0,13382185000.0,13532713000.0,13101975000.0,13120800000.0,13385587000.0,13360551000.0,13073972000.0,13627001000.0,13215546000.0,13390019000.0,13417679000.0,13339604000.0,13443025000.0,12987225000.0
2028.0,13216756000.0,13237772000.0,13263067000.0,13194527000.0,13624273000.0,12908529000.0,12765901000.0,13228738000.0,13245634000.0,12851868000.0,13475084000.0,12998859000.0,13216129000.0,13252280000.0,13339763000.0,13333004000.0,12750851000.0
2029.0,13017716000.0,13096505000.0,13159498000.0,13107777000.0,13529840000.0,12661070000.0,12517114000.0,12997253000.0,13124335000.0,12662665000.0,13388603000.0,12722876000.0,13179188000.0,13148819000.0,13041073000.0,13207612000.0,12665981000.0
2030.0,12894283000.0,13007056000.0,13073965000.0,12908259000.0,13546474000.0,12357327000.0,12194347000.0,12686178000.0,12842469000.0,12490473000.0,13181548000.0,12461785000.0,12986197000.0,12924081000.0,12802713000.0,12993169000.0,12360594000.0
2031.0,12800821000.0,12972212000.0,12847276000.0,12873709000.0,13401565000.0,12020297000.0,12001002000.0,12390250000.0,12786832000.0,12276281000.0,13045465000.0,12198782000.0,12734411000.0,12821119000.0,12612865000.0,12861258000.0,12099232000.0
2032.0,12498555000.0,12723681000.0,12783589000.0,12682706000.0,13170421000.0,11855387000.0,11875098000.0,12098691000.0,12804058000.0,11964721000.0,13076780000.0,12099265000.0,12602676000.0,12563391000.0,12367434000.0,12572271000.0,11815541000.0
2033.0,12179996000.0,12479922000.0,12506911000.0,12556022000.0,12988281000.0,11402328000.0,11468836000.0,11881115000.0,12550547000.0,11670011000.0,12763198000.0,11790840000.0,12336752000.0,12366359000.0,12135163000.0,12320014000.0,11480141000.0
2034.0,11913532000.0,12302466000.0,12416923000.0,12386970000.0,12885345000.0,11309290000.0,11129848000.0,11615159000.0,12322727000.0,11430669000.0,12599731000.0,11265500000.0,12170071000.0,12148817000.0,11923378000.0,12112480000.0,11252235000.0
2035.0,11606953000.0,12147747000.0,12278989000.0,12406646000.0,12718407000.0,10977454000.0,10965407000.0,11388307000.0,12324926000.0,11152429000.0,12415738000.0,11059901000.0,11938335000.0,11776597000.0,11667583000.0,12041828000.0,11027089000.0
2036.0,11249177000.0,12072295000.0,12189305000.0,11951743000.0,12560148000.0,10648569000.0,10524986000.0,11095674000.0,11969362000.0,10926573000.0,12196573000.0,10717375000.0,11704462000.0,11937062000.0,11319024000.0,11651599000.0,10709464000.0
2037.0,10967944000.0,11745988000.0,12084278000.0,11807239000.0,12559511000.0,10198871000.0,10199982000.0,10821471000.0,11740379000.0,10651675000.0,11993186000.0,10440325000.0,11490747000.0,11440353000.0,10991689000.0,11440682000.0,10534437000.0
2038.0,10628106000.0,11416260000.0,11856636000.0,11559451000.0,12399035000.0,9953188000.0,9735337000.0,10451296000.0,11834298000.0,10299350000.0,11849243000.0,10626848000.0,11430751000.0,11108727000.0,10758059000.0,11261619000.0,10149475000.0
2039.0,10228738000.0,11159792000.0,11711738000.0,11375264000.0,12355601000.0,9482955000.0,9332103000.0,10116296000.0,11473067000.0,10123517000.0,11601945000.0,9888759000.0,11194201000.0,10993020000.0,10494693000.0,11125452000.0,9806010000.0
2040.0,9812333000.0,10899767000.0,11905247000.0,11117247000.0,12540755000.0,9082622000.0,8934061000.0,9936455000.0,11342356000.0,9744840000.0,11382394000.0,9737068000.0,10982151000.0,10751345000.0,10322319000.0,10798799000.0,9524030000.0
2041.0,9558885000.0,10640754000.0,11562545000.0,10942349000.0,12298625000.0,8782375000.0,8544634400.0,9661838000.0,11404905000.0,9364713000.0,11179012000.0,9416418000.0,11013214000.0,10467649000.0,10078084000.0,10608553000.0,9145238000.0
2042.0,9164253000.0,10478300000.0,11326720000.0,10708733000.0,11997439000.0,8461443600.0,8183082500.0,9224809000.0,11053530000.0,9034911000.0,11217583000.0,9066621000.0,10642367000.0,10255518000.0,9696730000.0,10299504000.0,8896885000.0
2043.0,8840491000.0,10435586000.0,11204821000.0,10507178000.0,11932969000.0,8213296600.0,7912101400.0,8793704000.0,10903375000.0,8843574000.0,10871265000.0,8725432000.0,10441669000.0,10109629000.0,9365982000.0,10023112000.0,8597060000.0
2044.0,8569214500.0,10125610000.0,10975081000.0,10275587000.0,11890948000.0,7990495000.0,7618550300.0,8467564500.0,10593015000.0,8520492000.0,10515198000.0,8464946700.0,10446163000.0,9779447000.0,9255773000.0,9762383000.0,8361881000.0
2045.0,8378892000.0,9919739000.0,10838206000.0,10153395000.0,11766802000.0,7832158700.0,7307663000.0,8478884000.0,10425187000.0,8220013600.0,10275923000.0,8126409700.0,10128358000.0,9525325000.0,8908259000.0,9661564000.0,8083927000.0
2046.0,8057150500.0,9693910000.0,10714049000.0,9936982000.0,12038244000.0,7423411000.0,7104726000.0,8077613600.0,10230425000.0,7990178000.0,10128978000.0,7807916500.0,9935515000.0,9237326000.0,8805121000.0,9309436000.0,7898663400.0
2047.0,7811683300.0,9420904000.0,10401616000.0,9765123000.0,11745764000.0,7202083000.0,6856995000.0,7798827000.0,10131681000.0,7669783000.0,9950305000.0,7562828300.0,9729912000.0,9063933000.0,8492502000.0,9192702000.0,7583445000.0
