time,INM-CM4-8,INM-CM5-0,EC-EARTH3-VEG,EC-EARTH3,CAMS-CSM1-0,CESM2-WACCM,CESM2,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4,NORESM2-MM,BCC-CSM2-MR,FGOALS-F3-L
2000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0
2001.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0
2002.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0
2003.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0
2004.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0
2005.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0
2006.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0
2007.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0
2008.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0
2009.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0
2010.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0
2011.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0
2012.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0
2013.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0
2014.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0
2015.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0
2016.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0
2017.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0
2018.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0
2019.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0
2020.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0
2021.0,104688440000.0,104773940000.0,105909200000.0,104690540000.0,104764965000.0,104750550000.0,104699450000.0,104665620000.0,104678790000.0,104937824000.0,104712590000.0,104757420000.0,104706060000.0
2022.0,104626676000.0,104680070000.0,105136865000.0,104670020000.0,104676520000.0,105132290000.0,104625230000.0,104612450000.0,104642710000.0,104731260000.0,104672895000.0,104728730000.0,104668365000.0
2023.0,104580610000.0,104663650000.0,104803060000.0,104704780000.0,104654850000.0,104851890000.0,104580200000.0,104602100000.0,104585870000.0,104676450000.0,104715710000.0,104869600000.0,104620320000.0
2024.0,104617160000.0,104623860000.0,104693830000.0,104668550000.0,104604610000.0,104686600000.0,104524685000.0,104635460000.0,104549820000.0,104762910000.0,104587680000.0,104805490000.0,104595240000.0
2025.0,104730410000.0,104561385000.0,104625150000.0,104567440000.0,104549930000.0,104635105000.0,104455070000.0,104543360000.0,104586300000.0,104629264000.0,104563876000.0,104740470000.0,104553190000.0
2026.0,104514390000.0,104714174000.0,104562180000.0,104506790000.0,104521015000.0,104652410000.0,104391190000.0,104507590000.0,104493380000.0,104638554000.0,104492230000.0,104639230000.0,104514224000.0
2027.0,104436250000.0,104535745000.0,104497640000.0,104440670000.0,104468685000.0,104604205000.0,104356920000.0,104427260000.0,104595800000.0,104582504000.0,104444540000.0,104594930000.0,104432935000.0
2028.0,104391930000.0,104576150000.0,104446920000.0,104385080000.0,104416700000.0,104593770000.0,104259110000.0,104436180000.0,104423760000.0,104558535000.0,104595235000.0,104647090000.0,104398420000.0
2029.0,104342370000.0,104633880000.0,104405156000.0,104320090000.0,104409235000.0,104535196000.0,104181555000.0,104378830000.0,104345100000.0,105027390000.0,104401960000.0,104537140000.0,104404440000.0
2030.0,104293210000.0,104506696000.0,104341270000.0,104239735000.0,104364474000.0,104513430000.0,104135560000.0,104387500000.0,104326450000.0,104586030000.0,104359140000.0,104502010000.0,104359520000.0
