time,EC-EARTH3-VEG,NORESM2-MM,GFDL-ESM4,BCC-CSM2-MR,FGOALS-F3-L,CESM2,EC-EARTH3,MPI-ESM1-2-HR,INM-CM5-0,INM-CM4-8,CESM2-WACCM,CAMS-CSM1-0,CMCC-CM2-SR5,MRI-ESM2-0
2000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0
2001.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0
2002.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0
2003.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0
2004.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0
2005.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0
2006.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0
2007.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0
2008.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0
2009.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0
2010.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0
2011.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0
2012.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0
2013.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0
2014.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0
2015.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0
2016.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0
2017.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0
2018.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0
2019.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0
2020.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0
2021.0,88919835000.0,89068420000.0,89184100000.0,88960790000.0,89410870000.0,89089590000.0,88833310000.0,88944710000.0,89140890000.0,89024980000.0,89143960000.0,89299720000.0,90987730000.0,88850030000.0
2022.0,88808040000.0,88854790000.0,89155080000.0,88798910000.0,89344066000.0,88843560000.0,88734190000.0,88803240000.0,88855600000.0,88863040000.0,88962780000.0,89062736000.0,90138950000.0,88692230000.0
2023.0,88732670000.0,88684620000.0,88859510000.0,89239430000.0,88961760000.0,88684940000.0,88410870000.0,88789060000.0,88684190000.0,89398890000.0,88801040000.0,88880960000.0,89540530000.0,88592730000.0
2024.0,88512970000.0,88661000000.0,88963420000.0,88905970000.0,88935970000.0,88601870000.0,88246680000.0,88545280000.0,88963360000.0,88729166000.0,88590180000.0,88708460000.0,89186296000.0,88410810000.0
2025.0,88297880000.0,88447520000.0,88490520000.0,88545350000.0,88774850000.0,88660435000.0,88018125000.0,88430600000.0,88591835000.0,88603660000.0,88478564000.0,88498630000.0,88987510000.0,88267900000.0
2026.0,88313130000.0,88316470000.0,88478600000.0,88564744000.0,88780505000.0,88467554000.0,87776320000.0,88299880000.0,88106390000.0,88367235000.0,88254960000.0,88375000000.0,89224560000.0,88079430000.0
2027.0,88332410000.0,88703430000.0,88643480000.0,89218150000.0,88604910000.0,88134240000.0,87572130000.0,88415850000.0,87901274000.0,88133984000.0,88087740000.0,88805474000.0,88800420000.0,87855420000.0
2028.0,88242060000.0,88405780000.0,88052834000.0,88541980000.0,88728820000.0,87968140000.0,87331450000.0,88034780000.0,87637650000.0,88333260000.0,87978420000.0,88707550000.0,88753800000.0,87786950000.0
2029.0,88176780000.0,88338770000.0,87884060000.0,88419746000.0,88300044000.0,88125540000.0,87103816000.0,87800860000.0,87548430000.0,87851680000.0,87741284000.0,88689110000.0,88335974000.0,87556840000.0
2030.0,88382290000.0,88510630000.0,87713760000.0,89876095000.0,88477510000.0,87643140000.0,86944680000.0,87968730000.0,87353360000.0,87618560000.0,87478640000.0,88251556000.0,88177310000.0,87458380000.0
2031.0,87491690000.0,88139310000.0,87470740000.0,88615630000.0,88168020000.0,87411050000.0,86528220000.0,87694975000.0,87240660000.0,87418810000.0,87376300000.0,88047460000.0,88705910000.0,87366360000.0
2032.0,87083940000.0,87742990000.0,87134840000.0,87942185000.0,88387640000.0,87185514000.0,86331140000.0,87619030000.0,87203970000.0,87368000000.0,87246640000.0,87848894000.0,88134435000.0,87136120000.0
2033.0,86854260000.0,87536850000.0,87370580000.0,87661410000.0,87963490000.0,87070540000.0,86023995000.0,87601160000.0,86433590000.0,86956170000.0,86886910000.0,87683600000.0,87837385000.0,86752470000.0
2034.0,86547440000.0,87441736000.0,86883240000.0,87494380000.0,88213060000.0,86941655000.0,85723490000.0,87202095000.0,86227980000.0,86834440000.0,86660645000.0,87239010000.0,87729780000.0,86991520000.0
2035.0,86293830000.0,87548215000.0,86653530000.0,87424770000.0,88018970000.0,86547570000.0,85361280000.0,86907160000.0,85831880000.0,86510430000.0,88142070000.0,87091430000.0,87818160000.0,86646430000.0
2036.0,86017250000.0,87140840000.0,86463000000.0,87261630000.0,88313725000.0,86776250000.0,84899860000.0,86730170000.0,85637480000.0,86273530000.0,86779180000.0,86865590000.0,87359290000.0,86163760000.0
2037.0,85791300000.0,86829180000.0,86860530000.0,87186460000.0,88247080000.0,86338355000.0,84476040000.0,86420380000.0,85100650000.0,86198680000.0,86656705000.0,86704100000.0,87028000000.0,85897990000.0
2038.0,85613750000.0,86600530000.0,86619240000.0,87045290000.0,87732940000.0,87089120000.0,84125336000.0,86148470000.0,84612320000.0,85803960000.0,86284460000.0,86603610000.0,86711360000.0,85426630000.0
2039.0,85302710000.0,86335726000.0,85682050000.0,87020790000.0,87649804000.0,86120510000.0,83659850000.0,86016870000.0,84474905000.0,85744250000.0,85868770000.0,86770540000.0,86457926000.0,85177170000.0
2040.0,84947860000.0,85958800000.0,85467390000.0,86838710000.0,87315390000.0,85624940000.0,83242140000.0,85696690000.0,84225740000.0,85487740000.0,85610120000.0,86567895000.0,86501540000.0,84778920000.0
2041.0,84475480000.0,85721270000.0,85137080000.0,86428710000.0,86873690000.0,85354200000.0,82755000000.0,85525455000.0,83759660000.0,85253145000.0,85446060000.0,86435725000.0,86085760000.0,84455580000.0
2042.0,84119405000.0,85530320000.0,85032150000.0,86115475000.0,86722230000.0,84997810000.0,82244360000.0,85165600000.0,83248210000.0,84525000000.0,85368180000.0,85980905000.0,85727660000.0,84006800000.0
2043.0,83718550000.0,85154720000.0,84548370000.0,86224840000.0,86328254000.0,85061370000.0,81988035000.0,85672110000.0,82913985000.0,84401990000.0,85273940000.0,86318670000.0,85491000000.0,83613560000.0
2044.0,83522060000.0,84789270000.0,84431454000.0,85898895000.0,86094930000.0,84866425000.0,81405230000.0,84694120000.0,82437540000.0,83916890000.0,85032620000.0,85903794000.0,84909280000.0,83296870000.0
2045.0,83007340000.0,84719526000.0,84313920000.0,85549190000.0,86133604000.0,84379770000.0,80887185000.0,84492860000.0,82292490000.0,83566360000.0,84898770000.0,85416570000.0,84461260000.0,82898800000.0
2046.0,82624020000.0,84240950000.0,84121080000.0,85771395000.0,85949194000.0,83941190000.0,80419580000.0,84336900000.0,81802930000.0,83244300000.0,84215530000.0,86003140000.0,84005240000.0,82562970000.0
2047.0,82096540000.0,83898350000.0,83804130000.0,85158470000.0,85556700000.0,84500570000.0,79757574000.0,83965520000.0,81490680000.0,82884890000.0,84117150000.0,85640860000.0,83510485000.0,82101520000.0
2048.0,81770050000.0,83574194000.0,83287500000.0,85063524000.0,85127120000.0,83793480000.0,79294644000.0,83620650000.0,80951490000.0,82423810000.0,83703030000.0,85169310000.0,83073230000.0,81743905000.0
2049.0,81206040000.0,83495210000.0,83234710000.0,85626585000.0,85270650000.0,83315350000.0,78837070000.0,83271740000.0,80796060000.0,81964925000.0,83240395000.0,84760100000.0,82592480000.0,81396650000.0
2050.0,80663110000.0,82875245000.0,84165510000.0,84642050000.0,84653550000.0,83214980000.0,78258710000.0,84022790000.0,80253610000.0,81497120000.0,82912790000.0,84425880000.0,81978410000.0,81046350000.0
2051.0,80068120000.0,82442880000.0,82731240000.0,84308840000.0,84264950000.0,82957690000.0,77388480000.0,83265044000.0,80064130000.0,81785070000.0,82513360000.0,84553030000.0,81469830000.0,80459200000.0
2052.0,79600380000.0,82049250000.0,82140990000.0,83959415000.0,84033780000.0,82486850000.0,76746195000.0,82619110000.0,79611806000.0,80828916000.0,81966555000.0,84337190000.0,80787350000.0,80115450000.0
2053.0,78977640000.0,81693130000.0,81768235000.0,84068370000.0,83852360000.0,82125324000.0,76524300000.0,82102320000.0,79063300000.0,80327240000.0,81698630000.0,84505395000.0,79973966000.0,80056090000.0
2054.0,78456960000.0,81315120000.0,81536434000.0,83643890000.0,83359190000.0,82174435000.0,75693744000.0,82130846000.0,78811130000.0,79842440000.0,81096080000.0,84160995000.0,79223685000.0,79647425000.0
2055.0,77797384000.0,80979034000.0,81023510000.0,83197770000.0,83112270000.0,81410286000.0,74771505000.0,81706380000.0,78529860000.0,80291365000.0,80908650000.0,83575220000.0,78406100000.0,79150604000.0
2056.0,77188180000.0,80740580000.0,80791314000.0,83269320000.0,82847695000.0,81086780000.0,74036410000.0,81159380000.0,77881300000.0,79291170000.0,80400850000.0,83404160000.0,77708800000.0,78853600000.0
2057.0,76612590000.0,80378840000.0,81101680000.0,83058565000.0,82508055000.0,80397525000.0,73253720000.0,80953830000.0,77541280000.0,78666220000.0,79721920000.0,82933880000.0,77197750000.0,78506990000.0
2058.0,76007604000.0,80173285000.0,80805860000.0,83885100000.0,82196005000.0,79959070000.0,72585480000.0,80520225000.0,76945440000.0,78245060000.0,79197225000.0,82654780000.0,76359480000.0,77795140000.0
2059.0,75412450000.0,79706870000.0,80170380000.0,83163234000.0,81965470000.0,79429210000.0,71833670000.0,80110850000.0,76682730000.0,77714300000.0,78562480000.0,83068420000.0,75610660000.0,77313660000.0
2060.0,74812100000.0,79214640000.0,79905390000.0,82278030000.0,81685700000.0,78901490000.0,71109575000.0,79764650000.0,76219810000.0,77312350000.0,77866640000.0,82205170000.0,75014330000.0,76757950000.0
2061.0,74562560000.0,78685760000.0,79374615000.0,82096330000.0,81818650000.0,79377640000.0,70323590000.0,79508560000.0,75794790000.0,77079495000.0,77288120000.0,81909930000.0,74728840000.0,76760890000.0
2062.0,73891310000.0,78393190000.0,79020790000.0,81704720000.0,81468140000.0,78348510000.0,69561550000.0,79308690000.0,75924870000.0,76586560000.0,76568490000.0,81670005000.0,73862190000.0,76016430000.0
2063.0,73237050000.0,77768080000.0,78648780000.0,81449700000.0,80715506000.0,77479960000.0,68751260000.0,78719190000.0,75195560000.0,77716210000.0,76016710000.0,81697480000.0,73094500000.0,75482096000.0
2064.0,72844300000.0,77341655000.0,78087840000.0,81646305000.0,80678990000.0,77300965000.0,67988560000.0,78738860000.0,74597835000.0,76062860000.0,75428160000.0,81761470000.0,72507930000.0,74977310000.0
2065.0,72228600000.0,76815260000.0,77971190000.0,81165660000.0,80013615000.0,76667020000.0,67159020000.0,79306980000.0,74381190000.0,75571290000.0,74933360000.0,81495780000.0,71732200000.0,74566430000.0
2066.0,71628460000.0,76253690000.0,77556466000.0,80550986000.0,79502655000.0,76210135000.0,66379694000.0,77969110000.0,74085040000.0,74925560000.0,74862110000.0,81416330000.0,70811950000.0,74054525000.0
2067.0,71138500000.0,75874710000.0,77655500000.0,80174916000.0,79190530000.0,75580480000.0,65460412000.0,77756480000.0,73561630000.0,74522920000.0,74826120000.0,81156790000.0,70139320000.0,73600810000.0
2068.0,70454500000.0,75452050000.0,77074830000.0,79750095000.0,79237276000.0,74863140000.0,64717152000.0,77560670000.0,73244620000.0,74001190000.0,73679544000.0,80488730000.0,69201100000.0,73302024000.0
2069.0,69681140000.0,74972690000.0,76368340000.0,79526800000.0,78448640000.0,74144910000.0,63913880000.0,77241524000.0,73105810000.0,73499710000.0,73155720000.0,80227660000.0,68550038000.0,74600280000.0
2070.0,68948370000.0,74493970000.0,76217660000.0,79426000000.0,78121410000.0,74049930000.0,63135760000.0,76935995000.0,72657930000.0,73250660000.0,72609370000.0,79874990000.0,67408916000.0,72386540000.0
2071.0,68328264000.0,73997710000.0,75851340000.0,79412200000.0,78027400000.0,73400490000.0,62270610000.0,76458850000.0,72323604000.0,72961065000.0,71952560000.0,79695870000.0,66421370000.0,72265600000.0
2072.0,67766480000.0,73775750000.0,75812850000.0,79255650000.0,77652370000.0,73129520000.0,61737017000.0,76063240000.0,71814910000.0,72857880000.0,71271450000.0,79427250000.0,65497793000.0,71492960000.0
2073.0,67586830000.0,73154800000.0,75300210000.0,79565595000.0,77152130000.0,72310380000.0,60742760000.0,75793480000.0,71443710000.0,72190304000.0,70873375000.0,79016580000.0,64713036000.0,73089925000.0
2074.0,66640470000.0,72665560000.0,77046505000.0,78304500000.0,76641680000.0,71795130000.0,59923796000.0,75379390000.0,71197020000.0,71963900000.0,70153540000.0,78627050000.0,63718396000.0,70780250000.0
2075.0,65798450000.0,72502290000.0,75336780000.0,78099460000.0,77096370000.0,71010270000.0,59009960000.0,74974170000.0,70749160000.0,71352760000.0,70144790000.0,78540230000.0,62960950000.0,70317630000.0
2076.0,64930324000.0,71871775000.0,75003175000.0,77519544000.0,76489130000.0,71042390000.0,58180035000.0,74680934000.0,70209560000.0,71134495000.0,69174360000.0,78160780000.0,62177470000.0,69992200000.0
2077.0,64258204000.0,71330190000.0,74364030000.0,77106320000.0,77291910000.0,70263170000.0,57335255000.0,74531350000.0,69806290000.0,70738530000.0,68803920000.0,78136400000.0,61566320000.0,69261600000.0
2078.0,63462896000.0,70941130000.0,75787630000.0,76806100000.0,75504886000.0,69661020000.0,56439476000.0,74067470000.0,70224920000.0,70616630000.0,68100900000.0,77584770000.0,60355630000.0,68843390000.0
2079.0,62616290000.0,70305410000.0,73796690000.0,77200876000.0,75358720000.0,68850160000.0,55848210000.0,73675280000.0,69077975000.0,69912490000.0,67574395000.0,78012080000.0,59413190000.0,68299887000.0
2080.0,64017973000.0,69718860000.0,73379080000.0,76136410000.0,74848880000.0,68394280000.0,54887895000.0,74451050000.0,68565623000.0,69629640000.0,66969080000.0,77150300000.0,58643223000.0,67713237000.0
2081.0,61267546000.0,69147220000.0,72898675000.0,75631450000.0,74993610000.0,67754620000.0,54132888000.0,73047590000.0,71029320000.0,69025940000.0,66510356000.0,76744794000.0,57883173000.0,67222670000.0
2082.0,60336800000.0,68746306000.0,72721090000.0,75501380000.0,74021536000.0,67199267000.0,53234720000.0,72672940000.0,68467150000.0,68632904000.0,65919430000.0,76451430000.0,56856027000.0,66716353000.0
2083.0,59821543000.0,69535244000.0,72410940000.0,75210380000.0,73717760000.0,66353013000.0,52551627000.0,72235570000.0,67621945000.0,68654498000.0,65403220000.0,76157790000.0,55780524000.0,66230555000.0
2084.0,58892580000.0,68129882000.0,71873220000.0,74623525000.0,74345865000.0,66722046000.0,51590164000.0,71955070000.0,67007640000.0,67815030000.0,64778404000.0,76881625000.0,54934310000.0,65756664000.0
2085.0,58098446000.0,67225862000.0,71553000000.0,74125590000.0,73600720000.0,65164570000.0,50882960000.0,71881330000.0,66606133000.0,67270345000.0,64255836000.0,76175475000.0,53896260000.0,65114178000.0
2086.0,57455380000.0,66744470000.0,71341280000.0,73635690000.0,73172210000.0,64974107000.0,49855450000.0,71877460000.0,69022286000.0,66876334000.0,63600767000.0,75519115000.0,53204677000.0,68994870000.0
2087.0,56766560000.0,66198630000.0,70899876000.0,73100820000.0,72470190000.0,63698444000.0,49021780000.0,72018270000.0,66345157000.0,66435500000.0,63266075000.0,75886215000.0,52268884000.0,65060880000.0
2088.0,56041320000.0,65736690000.0,70767970000.0,73819160000.0,72039300000.0,63178800000.0,48023392000.0,70937040000.0,65683902000.0,66139386000.0,62465690000.0,74956720000.0,51265650000.0,64775760000.0
2089.0,55267627000.0,65231640000.0,70104970000.0,72782700000.0,71721990000.0,62541650000.0,47080444000.0,70534324000.0,65148060000.0,65633255000.0,61672490000.0,74748080000.0,50206843000.0,63925215000.0
2090.0,54314340000.0,64882344000.0,69799895000.0,73313770000.0,71178370000.0,62113186000.0,46625330000.0,70235690000.0,64457680000.0,65212920000.0,60926624000.0,74517496000.0,49044218000.0,63583908000.0
2091.0,53605294000.0,64273690000.0,69317616000.0,71984970000.0,70826600000.0,61322007000.0,45765595000.0,70233340000.0,64780120000.0,64975606000.0,60237324000.0,74099790000.0,48083202000.0,62852887000.0
2092.0,52736176000.0,63738057000.0,69646926000.0,71925875000.0,70273730000.0,60802810000.0,45038375000.0,69405830000.0,63971336000.0,64401306000.0,59591627000.0,73703080000.0,46978556000.0,62229234000.0
2093.0,51826080000.0,63176920000.0,68686135000.0,71077400000.0,69775470000.0,60383322000.0,43934090000.0,71002950000.0,63463305000.0,63924736000.0,59198210000.0,73648546000.0,45801415000.0,61977375000.0
2094.0,50891256000.0,62519083000.0,68138893000.0,70576510000.0,70532375000.0,59360125000.0,43007790000.0,69214190000.0,63223198000.0,64763826000.0,58264916000.0,73033140000.0,44728988000.0,62027260000.0
