time,CESM2-WACCM,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0
2001.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0
2002.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0
2003.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0
2004.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0
2005.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0
2006.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0
2007.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0
2008.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0
2009.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0
2010.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0
2011.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0
2012.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0
2013.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0
2014.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0
2015.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0
2016.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0
2017.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0
2018.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0
2019.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0
2020.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0
2021.0,89237750000.0,89851030000.0,89018960000.0,88987710000.0
2022.0,88940724000.0,89115550000.0,89050520000.0,88848560000.0
2023.0,88876770000.0,89201760000.0,88609740000.0,88495950000.0
2024.0,88774525000.0,88494760000.0,88670044000.0,88341455000.0
2025.0,88445110000.0,88165030000.0,88798230000.0,88310810000.0
2026.0,88318220000.0,88025030000.0,88339180000.0,88010780000.0
2027.0,88368144000.0,88044820000.0,88244020000.0,88112380000.0
2028.0,88415410000.0,87588930000.0,88053220000.0,87967244000.0
2029.0,87933710000.0,87336240000.0,87762170000.0,87710890000.0
2030.0,87823940000.0,87230690000.0,87595970000.0,87534170000.0
2031.0,87542980000.0,87122950000.0,87793800000.0,87269360000.0
2032.0,87529505000.0,86440370000.0,87092800000.0,86957860000.0
2033.0,87163620000.0,86477080000.0,86813670000.0,86825935000.0
2034.0,86895985000.0,85820490000.0,86559440000.0,86442164000.0
2035.0,86796960000.0,85666070000.0,86547650000.0,86189400000.0
2036.0,86898490000.0,85037530000.0,86295855000.0,86139410000.0
2037.0,86456740000.0,84688620000.0,86082530000.0,85774980000.0
2038.0,86123450000.0,84398400000.0,85849610000.0,85302256000.0
2039.0,85835600000.0,84202350000.0,85254080000.0,85002420000.0
2040.0,85421570000.0,83505640000.0,86205220000.0,85090630000.0
2041.0,85191300000.0,82785060000.0,84675400000.0,84818030000.0
2042.0,84994250000.0,82084610000.0,84539480000.0,84002550000.0
2043.0,84642730000.0,81473330000.0,83769050000.0,83471450000.0
2044.0,84275420000.0,81444460000.0,83416440000.0,83036496000.0
2045.0,84041320000.0,80587325000.0,83059745000.0,82454090000.0
2046.0,83507240000.0,79919370000.0,82836775000.0,81915100000.0
2047.0,83267560000.0,79315600000.0,82497550000.0,81371390000.0
2048.0,83020130000.0,78745240000.0,81655710000.0,80780380000.0
2049.0,82742985000.0,78187100000.0,81258190000.0,80374810000.0
2050.0,82112455000.0,77477724000.0,80962560000.0,79943280000.0
2051.0,81698980000.0,76763060000.0,80156770000.0,79327010000.0
2052.0,81123080000.0,75852145000.0,80281600000.0,78790330000.0
2053.0,80547180000.0,75153690000.0,79226356000.0,78123655000.0
2054.0,79966570000.0,74445005000.0,78895020000.0,77594010000.0
2055.0,79402030000.0,73503965000.0,78171200000.0,77242160000.0
2056.0,78781235000.0,73479360000.0,78236860000.0,76531000000.0
2057.0,78318486000.0,72430900000.0,77483810000.0,76067580000.0
2058.0,77816095000.0,71501816000.0,76835226000.0,75362700000.0
2059.0,77200770000.0,70738630000.0,76349235000.0,74753870000.0
2060.0,76709405000.0,69908310000.0,75890480000.0,74296920000.0
2061.0,76017330000.0,69398820000.0,74848120000.0,73697370000.0
2062.0,75421650000.0,68598284000.0,74094750000.0,73210940000.0
2063.0,75189840000.0,67777573000.0,73311860000.0,72793690000.0
2064.0,74710520000.0,67573252000.0,73067410000.0,72174264000.0
2065.0,73876595000.0,66212307000.0,72586390000.0,71807115000.0
2066.0,73577230000.0,65516155000.0,71866010000.0,71450600000.0
2067.0,72890590000.0,64829022000.0,71751480000.0,70889040000.0
2068.0,72355600000.0,64392356000.0,70607280000.0,70455560000.0
2069.0,71712740000.0,63357338000.0,69882780000.0,71084060000.0
2070.0,71059580000.0,62605087000.0,69153050000.0,71690050000.0
2071.0,71313850000.0,61985907000.0,68670124000.0,69956700000.0
2072.0,70492130000.0,61529207000.0,68173100000.0,68890485000.0
2073.0,70146376000.0,60637377000.0,67626250000.0,68312244000.0
2074.0,69441030000.0,60409740000.0,67104236000.0,67992150000.0
2075.0,68954120000.0,59478655000.0,66425356000.0,67725038000.0
2076.0,68307790000.0,58806080000.0,65863780000.0,67017187000.0
2077.0,68902520000.0,58140287000.0,66213126000.0,66317107000.0
2078.0,67485510000.0,57626290000.0,65277985000.0,66595246000.0
2079.0,67000173000.0,56913830000.0,65600705000.0,65651896000.0
2080.0,66627117000.0,56669557000.0,64417546000.0,65167655000.0
2081.0,66221412000.0,55999780000.0,63932160000.0,64540385000.0
2082.0,66379207000.0,55441367000.0,63537807000.0,64273350000.0
2083.0,65334190000.0,54978937000.0,62833046000.0,63770420000.0
2084.0,64709310000.0,54645150000.0,62303610000.0,63331426000.0
2085.0,66170438000.0,54035096000.0,61967065000.0,63203990000.0
2086.0,64341697000.0,53627576000.0,61724160000.0,63093223000.0
2087.0,64087980000.0,52904240000.0,65152254000.0,64309314000.0
