time,INM-CM5-0,INM-CM4-8,EC-EARTH3,NORESM2-MM,CMCC-CM2-SR5,MPI-ESM1-2-HR,FGOALS-F3-L,BCC-CSM2-MR,MRI-ESM2-0,CESM2,GFDL-ESM4,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3-VEG
2000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0
2001.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0
2002.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0
2003.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0
2004.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0
2005.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0
2006.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0
2007.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0
2008.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0
2009.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0
