time,NORESM2-MM,EC-EARTH3,INM-CM4-8,INM-CM5-0,BCC-CSM2-MR,FGOALS-F3-L,MPI-ESM1-2-HR,CESM2,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,GFDL-ESM4
2000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0
2001.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0
2002.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0
2003.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0
2004.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0
2005.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0
2006.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0
2007.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0
2008.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0
2009.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0
2010.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0
2011.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0
2012.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0
2013.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0
2014.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0
2015.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0
2016.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0
2017.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0
2018.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0
2019.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0
2020.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0
2021.0,34007808000.0,33926906000.0,33934883000.0,33929505000.0,33950320000.0,33953788000.0,33953354000.0,33962938000.0,33944988000.0,33940756000.0,33938910000.0,33953210000.0,33943149000.0
2022.0,33966340000.0,33901982000.0,33926334000.0,33911249000.0,33934782000.0,33934008000.0,33939878000.0,33926932000.0,33951332000.0,33927805000.0,33927844000.0,33955932000.0,33943337000.0
