time,MRI-ESM2-0,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3,MPI-ESM1-2-HR,INM-CM4-8,INM-CM5-0,NORESM2-MM,GFDL-ESM4,CESM2,FGOALS-F3-L,BCC-CSM2-MR,EC-EARTH3-VEG
2000.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0
2001.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0
2002.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0
2003.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0
2004.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0
2005.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0
2006.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0
2007.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0
2008.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0
2009.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0
2010.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0
2011.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0
2012.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0
2013.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0
2014.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0
