time,BCC-CSM2-MR,FGOALS-F3-L,CESM2,GFDL-ESM4,NORESM2-MM,EC-EARTH3-VEG,EC-EARTH3,INM-CM5-0,INM-CM4-8,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,CMCC-CM2-SR5,MPI-ESM1-2-HR
2000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0
2001.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0
2002.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0
2003.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0
2004.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0
2005.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0
2006.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0
2007.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0
2008.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0
2009.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0
2010.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0
2011.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0
2012.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0
2013.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0
2014.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0
2015.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0
2016.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0
2017.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0
2018.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0
2019.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0
2020.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0
2021.0,51580900000.0,51581116000.0,51583080000.0,51576623000.0,51582480000.0,51565750000.0,51581366000.0,51614687000.0,51602174000.0,51580820000.0,51692510000.0,51584610000.0,52214420000.0,51614147000.0
2022.0,51547697000.0,51563170000.0,51560948000.0,51544600000.0,51549640000.0,51534230000.0,51554210000.0,51533046000.0,51567088000.0,51567153000.0,51633263000.0,51546325000.0,51730825000.0,51649098000.0
2023.0,51520320000.0,51550757000.0,51537620000.0,51555760000.0,51573760000.0,51510575000.0,51520434000.0,51495727000.0,51530154000.0,51551980000.0,51555697000.0,51517264000.0,51657960000.0,51556135000.0
2024.0,51488432000.0,51516470000.0,51511243000.0,51526984000.0,51571830000.0,51495633000.0,51516220000.0,51491615000.0,51515798000.0,51535910000.0,51534336000.0,51502703000.0,51583100000.0,51531050000.0
2025.0,51483767000.0,51499213000.0,51496444000.0,51507450000.0,51599196000.0,51469984000.0,51486384000.0,51509563000.0,51491553000.0,51514913000.0,51511160000.0,51475194000.0,51565937000.0,51512906000.0
2026.0,51476468000.0,51491148000.0,51482305000.0,51472835000.0,51523932000.0,51446866000.0,51455580000.0,51456733000.0,51478594000.0,51496567000.0,51507524000.0,51444020000.0,51545050000.0,51498828000.0
