time,GFDL-ESM4,BCC-CSM2-MR,FGOALS-F3-L,EC-EARTH3-VEG,MRI-ESM2-0,CAMS-CSM1-0,CESM2-WACCM,CESM2,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,EC-EARTH3,NORESM2-MM
2000.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0
2001.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0
2002.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0
2003.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0
2004.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0
2005.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0
2006.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0
2007.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0
2008.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0
2009.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0
2010.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0
2011.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0
2012.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0
2013.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0
2014.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0
