time,MRI-ESM2-0
2000.0,29751600000.0
2001.0,30066350000.0
2002.0,29784654000.0
2003.0,30304303000.0
2004.0,29929521000.0
2005.0,29576432000.0
2006.0,29593166000.0
2007.0,29526200000.0
2008.0,29457424000.0
2009.0,29357144000.0
2010.0,29311121000.0
2011.0,29246474000.0
2012.0,29222085000.0
2013.0,29020508000.0
2014.0,28904186000.0
2015.0,29021032000.0
2016.0,28899471000.0
2017.0,28696269000.0
2018.0,28584643000.0
2019.0,28502360000.0
2020.0,28475646000.0
2021.0,28300706000.0
2022.0,28350814000.0
2023.0,28194322000.0
2024.0,28069595000.0
2025.0,27996977000.0
2026.0,28061278000.0
2027.0,28202236000.0
2028.0,27884268000.0
2029.0,27631278000.0
2030.0,27696600000.0
2031.0,27548750000.0
2032.0,27394406000.0
2033.0,27245853000.0
2034.0,27128359000.0
2035.0,26991071000.0
2036.0,26999500000.0
2037.0,26845639000.0
2038.0,26735352000.0
2039.0,26577998000.0
2040.0,26468805000.0
2041.0,26369962000.0
2042.0,26223743000.0
2043.0,26115050000.0
2044.0,25993015000.0
2045.0,25868970000.0
2046.0,25821559000.0
2047.0,25685680000.0
2048.0,25502886000.0
2049.0,25292143000.0
2050.0,25173993000.0
2051.0,25250154000.0
2052.0,24986112000.0
2053.0,25098392000.0
2054.0,24931932000.0
2055.0,25044408000.0
2056.0,24662475000.0
2057.0,24481630000.0
2058.0,24287545000.0
2059.0,24175730000.0
2060.0,24015335000.0
2061.0,24143661000.0
2062.0,23899716000.0
2063.0,23748927000.0
2064.0,23585240000.0
2065.0,23472169000.0
2066.0,23361182000.0
2067.0,23250573000.0
2068.0,23207858000.0
2069.0,23083923000.0
2070.0,22931080000.0
2071.0,22833666000.0
2072.0,22730010000.0
2073.0,22552570000.0
2074.0,22409360000.0
2075.0,22338832000.0
2076.0,22161705000.0
2077.0,22013516000.0
2078.0,21893007000.0
2079.0,21718612000.0
2080.0,21484755000.0
2081.0,21366548000.0
2082.0,21250447000.0
2083.0,20938144000.0
2084.0,20748941000.0
2085.0,20630673000.0
2086.0,20648698000.0
2087.0,20371890000.0
2088.0,20243397000.0
2089.0,20044456000.0
2090.0,19915188000.0
2091.0,19915305000.0
2092.0,19804100000.0
2093.0,19769125000.0
2094.0,19573873000.0
2095.0,19411462000.0
2096.0,19332442000.0
2097.0,19261612000.0
2098.0,19077540000.0
2099.0,18893271000.0
2100.0,18987796000.0
