time,CANESM5,MRI-ESM2-0,IPSL-CM6A-LR,CESM2-WACCM
2000.0,716413198600.0,716413198600.0,716413198600.0,716413198600.0
2001.0,715987157200.0,715987157200.0,715987157200.0,715987157200.0
2002.0,714754958100.0,714754958100.0,714754958100.0,714754958100.0
2003.0,714184233800.0,714184233800.0,714184233800.0,714184233800.0
2004.0,714504487300.0,714504487300.0,714504487300.0,714504487300.0
2005.0,713634604400.0,713634604400.0,713634604400.0,713634604400.0
2006.0,713684018800.0,713684018800.0,713684018800.0,713684018800.0
2007.0,712554477300.0,712554477300.0,712554477300.0,712554477300.0
2008.0,711576311300.0,711576311300.0,711576311300.0,711576311300.0
2009.0,711597255200.0,711597255200.0,711597255200.0,711597255200.0
2010.0,709855410200.0,709855410200.0,709855410200.0,709855410200.0
2011.0,710819260000.0,710819260000.0,710819260000.0,710819260000.0
2012.0,709232040000.0,709232040000.0,709232040000.0,709232040000.0
2013.0,709206089700.0,709206089700.0,709206089700.0,709206089700.0
2014.0,710037919000.0,710037919000.0,710037919000.0,710037919000.0
2015.0,707848219800.0,707848219800.0,707848219800.0,707848219800.0
2016.0,708971223200.0,708971223200.0,708971223200.0,708971223200.0
2017.0,705228094500.0,705228094500.0,705228094500.0,705228094500.0
2018.0,705108260200.0,705108260200.0,705108260200.0,705108260200.0
2019.0,706225648700.0,706225648700.0,706225648700.0,706225648700.0
2020.0,703426940000.0,703426940000.0,703426940000.0,703426940000.0
2021.0,702128048200.0,701457832600.0,701743060200.0,701650988500.0
2022.0,700107028900.0,700826324700.0,701002647100.0,699814884200.0
2023.0,698317031200.0,698295735250.0,699538997300.0,697941439700.0
2024.0,696065098850.0,696787225750.0,698170076830.0,696177839700.0
2025.0,693829797740.0,695592303500.0,696253268300.0,694239169980.0
2026.0,692319735050.0,693338780740.0,693914851700.0,691836772750.0
2027.0,690743522340.0,691429887480.0,692690585500.0,690127640940.0
2028.0,687180867030.0,689487236450.0,690993274030.0,688097777240.0
2029.0,684070306940.0,687740190400.0,688901721540.0,685411943700.0
2030.0,682326898080.0,685675692800.0,686687226900.0,683931663100.0
2031.0,678088862060.0,683031822900.0,683772732580.0,680968712200.0
2032.0,674580686600.0,679953156460.0,680778508700.0,678391567900.0
2033.0,670487475200.0,677697865940.0,678631875300.0,675458013650.0
2034.0,666485853440.0,674973898100.0,676852805370.0,672760473960.0
2035.0,662423457800.0,673455121350.0,675103040700.0,670881780200.0
2036.0,658103163250.0,670113983200.0,671831300800.0,668041516960.0
2037.0,654255206180.0,667177803700.0,668912203140.0,664486716400.0
2038.0,649336642300.0,663386046680.0,666231991300.0,660695814900.0
2039.0,644361002100.0,659508316060.0,662407887620.0,657617616450.0
2040.0,640882304530.0,656414988420.0,660468251150.0,655251727470.0
2041.0,634573758200.0,652799119000.0,655607800840.0,651786068200.0
2042.0,629441451600.0,648005518600.0,652003026100.0,647800980000.0
2043.0,622814514000.0,643931170410.0,647353195200.0,644693467740.0
2044.0,617861832720.0,639924254300.0,643518295660.0,640827554050.0
2045.0,612265061230.0,635461781480.0,639667884040.0,637170335600.0
2046.0,606569889830.0,631624804200.0,635189275950.0,632713412560.0
2047.0,600817293230.0,627306542680.0,631364481560.0,629526445660.0
2048.0,595411787530.0,622557622900.0,628062989540.0,625449021600.0
2049.0,589364281870.0,618360487230.0,622789462090.0,621838302570.0
2050.0,583719299210.0,613494117560.0,618644514730.0,617258237770.0
2051.0,578950516520.0,609105416980.0,613923509200.0,613099125000.0
2052.0,572811565810.0,605301986680.0,610470305960.0,608643593450.0
2053.0,567216119860.0,600288671000.0,606471377270.0,604180777980.0
2054.0,562336788740.0,596276548050.0,601475517890.0,600078531580.0
2055.0,556636581320.0,592425377360.0,596640055030.0,595825709200.0
2056.0,551631878250.0,588069855810.0,592968123000.0,591382333820.0
2057.0,545806116360.0,584488091030.0,588943041340.0,586825909830.0
2058.0,540146108700.0,580192440780.0,583598673550.0,582527360830.0
2059.0,534710424090.0,576032430470.0,579575780180.0,578395559620.0
2060.0,529219178660.0,572543376680.0,574691512810.0,574051878560.0
2061.0,524281141710.0,568372356840.0,569442195440.0,569777231910.0
2062.0,519261372810.0,564908578930.0,564706646390.0,565671596090.0
