time,UKESM1-0-LL,MRI-ESM2-0,IPSL-CM6A-LR,MPI-ESM1-2-HR,GFDL-ESM4
2000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0
2001.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0
2002.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0
2003.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0
2004.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0
2005.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0
2006.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0
2007.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0
2008.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0
2009.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0
2010.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0
2011.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0
2012.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0
2013.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0
2014.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0
2015.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0
2016.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0
2017.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0
2018.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0
2019.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0
2020.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0
2021.0,104651555000.0,104688200000.0,104690480000.0,104929770000.0,104730610000.0
2022.0,104610060000.0,104881610000.0,104664736000.0,104775770000.0,104657300000.0
2023.0,104564605000.0,104759206000.0,104607190000.0,104970540000.0,104670200000.0
2024.0,104892270000.0,104925970000.0,104656210000.0,104885960000.0,104810000000.0
2025.0,104588660000.0,104603210000.0,104546170000.0,104821810000.0,104718770000.0
2026.0,104491150000.0,104555940000.0,104485446000.0,104860490000.0,104705786000.0
2027.0,104490920000.0,104694735000.0,104485160000.0,104950860000.0,104718040000.0
2028.0,104412770000.0,104593555000.0,104433940000.0,104794170000.0,104637650000.0
2029.0,104320510000.0,104471390000.0,104376760000.0,104693880000.0,104711600000.0
2030.0,104245840000.0,104440545000.0,104342840000.0,104891630000.0,104570240000.0
2031.0,104187100000.0,104327530000.0,104282380000.0,104691655000.0,104493920000.0
2032.0,104139920000.0,104298360000.0,104430200000.0,104622230000.0,104469790000.0
2033.0,104103910000.0,104657000000.0,104303680000.0,104608260000.0,104496770000.0
2034.0,103962360000.0,104260520000.0,104285330000.0,104479060000.0,104361760000.0
2035.0,103870276000.0,104164570000.0,104148720000.0,104432520000.0,104343560000.0
2036.0,103774120000.0,104154030000.0,104066950000.0,104379910000.0,104324340000.0
2037.0,103635050000.0,104116910000.0,104172490000.0,104687000000.0,104310710000.0
2038.0,103506500000.0,104004610000.0,104422420000.0,104455274000.0,104214560000.0
