time,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4,UKESM1-0-LL,MRI-ESM2-0
2000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0
2001.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0
2002.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0
2003.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0
2004.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0
2005.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0
2006.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0
2007.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0
2008.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0
2009.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0
2010.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0
2011.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0
2012.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0
2013.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0
2014.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0
2015.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0
2016.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0
2017.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0
2018.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0
2019.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0
2020.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0
2021.0,40741396000.0,40678350000.0,40592237000.0,40563827000.0,40497970000.0
2022.0,40557654000.0,40635814000.0,40482324000.0,40494883000.0,40598237000.0
2023.0,40853080000.0,40434295000.0,41347244000.0,40772583000.0,40446350000.0
2024.0,40786756000.0,40775217000.0,40711074000.0,41133515000.0,40576987000.0
2025.0,40620720000.0,40645083000.0,40492696000.0,40615457000.0,40274903000.0
2026.0,40436910000.0,40381014000.0,40408710000.0,40423174000.0,40186480000.0
2027.0,40343556000.0,40273930000.0,40481563000.0,40362426000.0,40056304000.0
2028.0,40327692000.0,40261497000.0,40365703000.0,40637473000.0,39975710000.0
2029.0,40491150000.0,40158896000.0,40598530000.0,40255365000.0,39879754000.0
2030.0,40784750000.0,40120560000.0,40484295000.0,40148865000.0,39811460000.0
2031.0,40385550000.0,40129778000.0,40201167000.0,40084206000.0,39656235000.0
2032.0,40411455000.0,40172660000.0,40439603000.0,40022983000.0,39583820000.0
2033.0,40495665000.0,39916376000.0,40293980000.0,39876540000.0,39519800000.0
2034.0,40199110000.0,40013380000.0,40301842000.0,39729373000.0,39380255000.0
2035.0,40085668000.0,39761752000.0,40134644000.0,39626433000.0,39247910000.0
2036.0,40054100000.0,39683908000.0,40058593000.0,39510884000.0,39719690000.0
2037.0,40078377000.0,39841690000.0,39980160000.0,39367823000.0,39340392000.0
2038.0,39971030000.0,39706255000.0,39883140000.0,39309103000.0,39117590000.0
2039.0,39829455000.0,39619633000.0,39888810000.0,39106793000.0,38872390000.0
2040.0,39781528000.0,39393804000.0,39724876000.0,39078750000.0,38689935000.0
2041.0,39722877000.0,39412240000.0,39614697000.0,38834635000.0,38877258000.0
2042.0,39560098000.0,39379575000.0,39801405000.0,38747865000.0,39127750000.0
2043.0,39496114000.0,39141530000.0,39565435000.0,38534680000.0,38455947000.0
2044.0,39843185000.0,38996464000.0,39654650000.0,38260420000.0,38183080000.0
2045.0,39843086000.0,38922520000.0,39476195000.0,38037373000.0,38031884000.0
2046.0,40131707000.0,38796743000.0,39362920000.0,37824160000.0,38083860000.0
2047.0,39463240000.0,38633366000.0,39397237000.0,37567623000.0,37784530000.0
2048.0,39395630000.0,38490407000.0,39168635000.0,37332566000.0,37721700000.0
2049.0,39208374000.0,38311068000.0,39101140000.0,37134410000.0,37442515000.0
2050.0,39388770000.0,38050730000.0,39093170000.0,36771865000.0,37244916000.0
2051.0,39085470000.0,37957000000.0,39467295000.0,36424490000.0,37104144000.0
2052.0,39073284000.0,37717400000.0,39134458000.0,36213880000.0,36951237000.0
2053.0,38972764000.0,37579583000.0,39271936000.0,35850535000.0,37229785000.0
2054.0,38941050000.0,37472600000.0,39002993000.0,35491340000.0,36644065000.0
2055.0,39340675000.0,37105865000.0,38859930000.0,35164803000.0,36288070000.0
2056.0,38721475000.0,36877898000.0,38833918000.0,34888344000.0,35964150000.0
2057.0,38516584000.0,37488640000.0,38500446000.0,34528903000.0,36218364000.0
2058.0,38555500000.0,36952030000.0,38398190000.0,34132746000.0,35563340000.0
2059.0,38342717000.0,36658545000.0,38673910000.0,33774375000.0,36407570000.0
2060.0,38729314000.0,36315330000.0,38758466000.0,33289767000.0,35314872000.0
