time,MRI-ESM2-0,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4,UKESM1-0-LL
2000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0
2001.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0
2002.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0
2003.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0
2004.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0
2005.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0
2006.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0
2007.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0
2008.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0
2009.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0
2010.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0
2011.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0
2012.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0
2013.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0
2014.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0
2015.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0
2016.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0
2017.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0
2018.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0
2019.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0
2020.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0
2021.0,88804980000.0,89023330000.0,89008920000.0,89880180000.0,88835670000.0
2022.0,88690900000.0,89900770000.0,88837410000.0,88834800000.0,88560410000.0
2023.0,88311060000.0,89566650000.0,88716200000.0,88705150000.0,88407474000.0
2024.0,88221390000.0,89233020000.0,89328750000.0,88898660000.0,88192220000.0
2025.0,87825360000.0,88623415000.0,88480970000.0,89178750000.0,87743906000.0
2026.0,87531240000.0,88405580000.0,88356995000.0,88567644000.0,87356260000.0
2027.0,87279260000.0,88182020000.0,88372390000.0,88231460000.0,86953420000.0
2028.0,86899974000.0,87990330000.0,88033280000.0,88000560000.0,86760284000.0
2029.0,86603610000.0,88051830000.0,88229760000.0,87819035000.0,86204550000.0
2030.0,86381470000.0,87700830000.0,87830630000.0,87640140000.0,86164760000.0
2031.0,86046450000.0,87602970000.0,88219800000.0,87489585000.0,85519440000.0
2032.0,85498880000.0,87854645000.0,88083250000.0,87534890000.0,84829780000.0
2033.0,86282410000.0,87743260000.0,87257080000.0,87289905000.0,84079340000.0
2034.0,85312790000.0,87151760000.0,87321260000.0,86845900000.0,83511070000.0
2035.0,84569460000.0,87506600000.0,86798860000.0,86515876000.0,82710620000.0
2036.0,84205855000.0,86924730000.0,86456295000.0,86695540000.0,82112990000.0
2037.0,83970890000.0,86967575000.0,86277190000.0,86257700000.0,81368630000.0
2038.0,83363635000.0,86651445000.0,86235710000.0,86001500000.0,80761110000.0
2039.0,83311130000.0,86755150000.0,86002794000.0,85737390000.0,80126310000.0
2040.0,82847880000.0,86241985000.0,85669180000.0,85387730000.0,79122735000.0
2041.0,82372640000.0,86525100000.0,85910150000.0,85590450000.0,78420845000.0
2042.0,82174200000.0,85942940000.0,85287090000.0,85186600000.0,77850900000.0
2043.0,82197420000.0,86526590000.0,85385730000.0,85006070000.0,76947230000.0
2044.0,82199765000.0,86314120000.0,84716724000.0,85125910000.0,75902720000.0
2045.0,81100650000.0,86740615000.0,84650566000.0,84322230000.0,75041320000.0
2046.0,80414090000.0,85986230000.0,84591740000.0,83715334000.0,74070540000.0
2047.0,79698100000.0,85225510000.0,84191390000.0,83890690000.0,72977570000.0
2048.0,79711070000.0,84913380000.0,83614670000.0,83129810000.0,72201020000.0
2049.0,79552850000.0,85461565000.0,83205050000.0,82780780000.0,71337040000.0
2050.0,78698980000.0,84911150000.0,82828750000.0,82507194000.0,70709060000.0
2051.0,78561910000.0,84249690000.0,82659344000.0,82172420000.0,69492560000.0
2052.0,78409050000.0,84033650000.0,81869170000.0,81756990000.0,68544360000.0
2053.0,77573145000.0,83725290000.0,81533390000.0,81612300000.0,67666248000.0
2054.0,76943516000.0,83256885000.0,81282020000.0,81113030000.0,66754640000.0
2055.0,76464000000.0,84358005000.0,81025884000.0,80949530000.0,65709180000.0
2056.0,76497306000.0,83005130000.0,80460734000.0,80806430000.0,64954544000.0
2057.0,75710200000.0,82633200000.0,80673730000.0,80060450000.0,63909773000.0
2058.0,74995300000.0,82362790000.0,80110400000.0,79665850000.0,63010280000.0
2059.0,74599070000.0,82565200000.0,79336930000.0,79364400000.0,62064970000.0
2060.0,74192910000.0,82123784000.0,78839890000.0,79639520000.0,61306986000.0
2061.0,74096840000.0,81680190000.0,78366170000.0,78935610000.0,60703960000.0
2062.0,73696880000.0,81255660000.0,77935665000.0,78591615000.0,59843500000.0
2063.0,72903800000.0,81344905000.0,77478700000.0,78321410000.0,59341640000.0
2064.0,74144645000.0,81284870000.0,76933010000.0,78297326000.0,58393880000.0
2065.0,74135210000.0,81099840000.0,76938150000.0,77623830000.0,57448886000.0
2066.0,73674890000.0,80457610000.0,75997460000.0,77363780000.0,56846210000.0
2067.0,73014000000.0,80851170000.0,75468550000.0,76934640000.0,55854990000.0
