time,IPSL-CM6A-LR,UKESM1-0-LL,MPI-ESM1-2-HR,MRI-ESM2-0,GFDL-ESM4
2000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0
2001.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0
2002.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0
2003.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0
2004.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0
2005.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0
2006.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0
2007.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0
2008.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0
2009.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0
2010.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0
2011.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0
2012.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0
2013.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0
2014.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0
2015.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0
2016.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0
2017.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0
2018.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0
2019.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0
2020.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0
2021.0,10987420000.0,10980523000.0,10988828000.0,10978774000.0,10984559000.0
2022.0,11000354000.0,10969279000.0,10976054000.0,10962812000.0,10974676000.0
2023.0,11005109000.0,10955605000.0,10973039000.0,10945829000.0,10967665000.0
2024.0,11051886000.0,10936878000.0,10966656000.0,10951788000.0,10981768000.0
2025.0,10969495000.0,10913464000.0,10959162000.0,10921905000.0,10971297000.0
2026.0,10976205000.0,10892043000.0,10950299000.0,10903861000.0,10955531000.0
2027.0,10968497000.0,10852586000.0,10934679000.0,10877841000.0,10944096000.0
2028.0,10944450000.0,10858983000.0,10915139000.0,10845221000.0,10923495000.0
2029.0,11018058000.0,10797741000.0,10897127000.0,10820911000.0,10911396000.0
2030.0,10981180000.0,10766744000.0,10878815000.0,10799397000.0,10888552000.0
2031.0,10915190000.0,10768981000.0,10862453000.0,10768579000.0,10913477000.0
2032.0,10886681000.0,10679372000.0,10855369000.0,10732117000.0,10866104000.0
2033.0,10869112000.0,10645044000.0,10829349000.0,10698119000.0,10855492000.0
2034.0,10852158000.0,10624828000.0,10818256000.0,10647321000.0,10837714000.0
2035.0,10828706000.0,10572893000.0,10802517000.0,10601074000.0,10811102000.0
2036.0,10808500000.0,10519993000.0,10790901000.0,10560426000.0,10814407000.0
2037.0,10790246000.0,10485207000.0,10768302000.0,10511434000.0,10792500000.0
2038.0,10760776000.0,10433582000.0,10738222000.0,10466290000.0,10759178000.0
2039.0,10741940000.0,10365738000.0,10711161000.0,10411043000.0,10742373000.0
2040.0,10705523000.0,10286490000.0,10697014000.0,10354168000.0,10724320000.0
2041.0,10713424000.0,10218237000.0,10662710000.0,10271011000.0,10689942000.0
2042.0,10675557000.0,10145955000.0,10672632000.0,10206180000.0,10672624000.0
2043.0,10657935000.0,10060384000.0,10679156000.0,10145649000.0,10642899000.0
2044.0,10700130000.0,9955079000.0,10616234000.0,10091677000.0,10623477000.0
2045.0,10635676000.0,9869818000.0,10587363000.0,10057341000.0,10610824000.0
2046.0,10588423000.0,9781096000.0,10553590000.0,9938274000.0,10586060000.0
2047.0,10576530000.0,9631909000.0,10525459000.0,9858234000.0,10568089000.0
2048.0,10535122000.0,9495961000.0,10508786000.0,9769713000.0,10554473000.0
2049.0,10506995000.0,9379379000.0,10478895000.0,9694712000.0,10541603000.0
2050.0,10483374000.0,9253216000.0,10436392000.0,9577839000.0,10521027000.0
2051.0,10453911000.0,9073095000.0,10372477000.0,9543163000.0,10503967000.0
2052.0,10401590000.0,8955840000.0,10345804000.0,9469337000.0,10463457000.0
2053.0,10349280000.0,8872283000.0,10320990000.0,9374630000.0,10463636000.0
2054.0,10319330000.0,8750234000.0,10379851000.0,9309739000.0,10418523000.0
2055.0,10291835000.0,8673694000.0,10267195000.0,9237244000.0,10407496000.0
2056.0,10235230000.0,8583890000.0,10195870000.0,9178624000.0,10369672000.0
2057.0,10168677000.0,8446520000.0,10169984000.0,9132010000.0,10334642000.0
2058.0,10220432000.0,8364351500.0,10163590000.0,9062493000.0,10316046000.0
2059.0,10109704000.0,8252634000.0,10107284000.0,8997498000.0,10310803000.0
2060.0,10026310000.0,8243874300.0,10060928000.0,8971607000.0,10291554000.0
2061.0,10017379000.0,8080876000.0,10011764000.0,8895771000.0,10216100000.0
2062.0,9930154000.0,7987478000.0,9933980000.0,8845596000.0,10185535000.0
2063.0,9868793000.0,7899793400.0,9921968000.0,8788555000.0,10145593000.0
2064.0,9773574000.0,7742435000.0,9879195000.0,8741780000.0,10109537000.0
2065.0,9738252000.0,7659915000.0,9834415000.0,8723078000.0,10087136000.0
2066.0,9673559000.0,7578259000.0,9819918000.0,8661617000.0,10032422000.0
