time,UKESM1-0-LL,MRI-ESM2-0,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4
2000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0
2001.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0
2002.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0
2003.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0
2004.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0
2005.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0
2006.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0
2007.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0
2008.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0
2009.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0
2010.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0
2011.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0
2012.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0
2013.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0
2014.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0
2015.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0
2016.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0
2017.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0
2018.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0
2019.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0
2020.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0
2021.0,33912138000.0,33967843000.0,33938074000.0,33921970000.0,33962504000.0
2022.0,33868454000.0,33955238000.0,33929044000.0,33900920000.0,33937224000.0
2023.0,33800753000.0,33932925000.0,34010163000.0,34016625000.0,33934359000.0
2024.0,33718610000.0,33923152000.0,33905030000.0,33893407000.0,33932505000.0
2025.0,33639387000.0,33911083000.0,33882417000.0,33871188000.0,33917145000.0
2026.0,33498315000.0,33876769000.0,33850454000.0,33864954000.0,33891006000.0
2027.0,33351740000.0,33841959000.0,33828923000.0,33828600000.0,33868710000.0
2028.0,33245045000.0,33810786000.0,33806400000.0,33793427000.0,33851466000.0
2029.0,33009248000.0,33778874000.0,33853960000.0,33779282000.0,33824940000.0
2030.0,32837511000.0,33722903000.0,33769834000.0,33769160000.0,33805265000.0
2031.0,32650357000.0,33695361000.0,33769566000.0,33700583000.0,33792434000.0
2032.0,32364487000.0,33665503000.0,33740630000.0,33674953000.0,33745537000.0
2033.0,32186352000.0,33627620000.0,33710760000.0,33656992000.0,33733562000.0
2034.0,31955250000.0,33555880000.0,33732778000.0,33605458000.0,33710017000.0
2035.0,31623379000.0,33474531000.0,33759630000.0,33550731000.0,33683212000.0
2036.0,31409408000.0,33391200000.0,33687180000.0,33513690000.0,33651649000.0
2037.0,31169310000.0,33320157000.0,33649265000.0,33450635000.0,33639207000.0
2038.0,30835022000.0,33240970000.0,33640028000.0,33346413000.0,33627302000.0
2039.0,30494392000.0,33132208000.0,33625274000.0,33290107000.0,33590925000.0
2040.0,30031630000.0,33014718000.0,33565860000.0,33257675000.0,33564610000.0
2041.0,29530070000.0,32882768000.0,33556339000.0,33177252000.0,33535775000.0
2042.0,28970168000.0,32819376000.0,33529084000.0,33020236000.0,33512153000.0
2043.0,28489062000.0,32731748000.0,33453152000.0,32928203000.0,33469161000.0
2044.0,27842363000.0,32570382000.0,33359354000.0,32849760000.0,33423990000.0
2045.0,27228550000.0,32455303000.0,33304080000.0,32763982000.0,33403216000.0
2046.0,26559566000.0,32298572000.0,33272812000.0,32662174000.0,33373108000.0
2047.0,26154037000.0,32069100000.0,33227065000.0,32547492000.0,33345569000.0
2048.0,25808890000.0,31843807000.0,33143840000.0,32544487000.0,33319094000.0
2049.0,25401090000.0,31632740000.0,33078493000.0,32348078000.0,33306886000.0
2050.0,25001292000.0,31418685000.0,33250400000.0,32361288000.0,33230494000.0
2051.0,24391400000.0,31364819000.0,33035252000.0,32169073000.0,33160745000.0
2052.0,23923001000.0,31044164000.0,32946872000.0,32079215000.0,33138954000.0
2053.0,23367315000.0,30804780000.0,32877312000.0,31886830000.0,33073430000.0
2054.0,22627594000.0,30574864000.0,32811248000.0,31741520000.0,33033202000.0
2055.0,21848437000.0,30422508000.0,32741786000.0,31687356000.0,33006150000.0
2056.0,21122384000.0,30157918000.0,32686709000.0,31731278000.0,32920068000.0
2057.0,20472996000.0,29880252000.0,32640745000.0,31420572000.0,32879860000.0
2058.0,19804213000.0,29595372000.0,32588333000.0,31176858000.0,32841708000.0
2059.0,19194040000.0,29299500000.0,32466762000.0,30981521000.0,32783532000.0
2060.0,18596430000.0,28955103000.0,32335282000.0,30886203000.0,32828303000.0
2061.0,17970627000.0,28670700000.0,32267647000.0,30827831000.0,32764088000.0
2062.0,17286212000.0,28398193000.0,32195267000.0,30691222000.0,32636508000.0
2063.0,16648179000.0,28137908000.0,32109963000.0,30549207000.0,32599702000.0
2064.0,15996582000.0,27815246000.0,32056461000.0,30478125000.0,32515381000.0
2065.0,15377746000.0,27504734000.0,31966410000.0,30324759000.0,32406833000.0
2066.0,14806484000.0,27167107000.0,31836158000.0,30121239000.0,32276754000.0
2067.0,14034150000.0,26836558000.0,31720980000.0,30027256000.0,32216710000.0
2068.0,13191058000.0,26560522000.0,31607042000.0,29868260000.0,32163830000.0
2069.0,12751961000.0,26321115000.0,31533844000.0,29852125000.0,32130087000.0
2070.0,12195339000.0,25964251000.0,31455758000.0,29597500000.0,32009507000.0
2071.0,11614552000.0,25609116000.0,31354970000.0,29459511000.0,31936338000.0
2072.0,10951026000.0,25264339000.0,31289627000.0,29215769000.0,31967498000.0
2073.0,10096042000.0,24873986000.0,31198867000.0,29008464000.0,31833580000.0
2074.0,9272644000.0,24623399000.0,31063230000.0,28968874000.0,31817210000.0
2075.0,8444329500.0,24472992000.0,30953860000.0,28685906000.0,31777296000.0
2076.0,7799191600.0,24163973000.0,30878286000.0,28571167000.0,31675408000.0
2077.0,7114654700.0,23886170000.0,30699477000.0,28369115000.0,31596546000.0
2078.0,6527043600.0,23676467000.0,30586778000.0,28211192000.0,31548498000.0
2079.0,6064271400.0,23293475000.0,30384908000.0,27999881000.0,31492467000.0
2080.0,5651576300.0,22979678000.0,30364991000.0,27762369000.0,31410432000.0
2081.0,5207265000.0,22761520000.0,30264506000.0,27571665000.0,31346330000.0
2082.0,4890902500.0,22500070000.0,30137663000.0,27397980000.0,31229730000.0
2083.0,4622905000.0,22271052000.0,29964032000.0,27278430000.0,31150057000.0
2084.0,4198346500.0,22034618000.0,29860262000.0,27114115000.0,31048575000.0
2085.0,3904194300.0,21890812000.0,29695584000.0,26980670000.0,30985394000.0
2086.0,3540112600.0,21669728000.0,29624371000.0,26865308000.0,30905446000.0
2087.0,3361639700.0,21355074000.0,29494657000.0,26624995000.0,30795790000.0
2088.0,3133190000.0,21134162000.0,29351946000.0,26455968000.0,30717786000.0
2089.0,2959507000.0,20934603000.0,29242452000.0,26283420000.0,30666826000.0
2090.0,2771284700.0,21051312000.0,29079940000.0,26124886000.0,30605738000.0
2091.0,2646389500.0,20544465000.0,28953188000.0,25918780000.0,30504946000.0
2092.0,2521353000.0,20569430000.0,28782178000.0,25738120000.0,30421860000.0
2093.0,2389181200.0,20678701000.0,28664390000.0,25555632000.0,30387130000.0
2094.0,2270919000.0,20149944000.0,28781410000.0,25316323000.0,30256912000.0
2095.0,2042732000.0,20000688000.0,28642216000.0,25154896000.0,30201217000.0
2096.0,1857226100.0,19660982000.0,28388252000.0,24987451000.0,30137907000.0
2097.0,1599744000.0,19338099000.0,28305201000.0,24811645000.0,30308456000.0
2098.0,1469571600.0,19235725000.0,28143910000.0,24642308000.0,30020330000.0
2099.0,1321400400.0,18995763000.0,28046735000.0,24518005000.0,29970150000.0
2100.0,1109470300.0,18842778000.0,27926739000.0,24310233000.0,29872640000.0
