time,MRI-ESM2-0,GFDL-ESM4,UKESM1-0-LL,IPSL-CM6A-LR,MPI-ESM1-2-HR
2000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0
2001.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0
2002.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0
2003.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0
2004.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0
2005.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0
2006.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0
2007.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0
2008.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0
2009.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0
2010.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0
2011.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0
2012.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0
2013.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0
2014.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0
2015.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0
2016.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0
2017.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0
2018.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0
2019.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0
2020.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0
2021.0,51564306000.0,51612010000.0,51593350000.0,51590720000.0,51646830000.0
2022.0,51608707000.0,51605946000.0,51577060000.0,51537613000.0,51591033000.0
2023.0,51502014000.0,51554510000.0,51492495000.0,51612850000.0,51607302000.0
2024.0,51453320000.0,51771474000.0,51607800000.0,51535675000.0,51599438000.0
2025.0,51465070000.0,51569136000.0,51493315000.0,51495830000.0,51574903000.0
2026.0,51427365000.0,51573190000.0,51406630000.0,51699433000.0,51788590000.0
2027.0,51412730000.0,51749724000.0,51354560000.0,51663868000.0,51776254000.0
2028.0,51378830000.0,51540877000.0,51335060000.0,51447263000.0,51546153000.0
2029.0,51369234000.0,51467903000.0,51387445000.0,51429370000.0,51577938000.0
2030.0,51783356000.0,51624993000.0,51838157000.0,51388550000.0,51523363000.0
2031.0,51312600000.0,51476898000.0,51213010000.0,51334996000.0,51517380000.0
2032.0,51245904000.0,51440590000.0,51086320000.0,51319660000.0,51540230000.0
2033.0,51190137000.0,51566764000.0,50653100000.0,51295764000.0,51505672000.0
2034.0,51129532000.0,51449115000.0,50343395000.0,51324457000.0,51484877000.0
2035.0,51099963000.0,51417203000.0,50132900000.0,51226310000.0,51545140000.0
2036.0,50993780000.0,51403727000.0,50109297000.0,51223900000.0,51472630000.0
2037.0,50897818000.0,51384920000.0,49583006000.0,51176575000.0,51457954000.0
2038.0,50777110000.0,51360117000.0,49610330000.0,51286520000.0,51418874000.0
2039.0,50708440000.0,51442730000.0,49219596000.0,51092013000.0,51383583000.0
2040.0,50579280000.0,51399102000.0,48831058000.0,50995196000.0,51359044000.0
2041.0,50460160000.0,51747082000.0,48549140000.0,50890105000.0,51333886000.0
2042.0,50307183000.0,51306800000.0,48222798000.0,50788385000.0,51277980000.0
2043.0,50133647000.0,51300426000.0,47839154000.0,50641048000.0,51512177000.0
2044.0,49941647000.0,51218125000.0,47427520000.0,50480865000.0,51230593000.0
2045.0,49739805000.0,51223003000.0,47035277000.0,50352017000.0,51207586000.0
2046.0,49506284000.0,51151167000.0,46626652000.0,50197870000.0,51167998000.0
2047.0,49396535000.0,51126570000.0,46221435000.0,50010940000.0,51090290000.0
2048.0,49254494000.0,51252937000.0,45899500000.0,49785016000.0,51057270000.0
2049.0,49032086000.0,51098518000.0,45398720000.0,49633948000.0,51005403000.0
2050.0,48794444000.0,51061220000.0,44935150000.0,49446478000.0,51001364000.0
2051.0,48654447000.0,51014734000.0,44470075000.0,49119820000.0,50965635000.0
2052.0,48424886000.0,50982175000.0,43916157000.0,48858110000.0,50914423000.0
2053.0,48203920000.0,50899087000.0,43310070000.0,48680320000.0,50836060000.0
2054.0,48061944000.0,50849255000.0,42676920000.0,48395858000.0,50768273000.0
2055.0,47886640000.0,50781870000.0,42013684000.0,48116550000.0,50685470000.0
2056.0,47682350000.0,50712953000.0,41400234000.0,47844184000.0,50684680000.0
2057.0,47494950000.0,50694920000.0,40744747000.0,47616127000.0,50662560000.0
2058.0,47317156000.0,50634520000.0,40263643000.0,47253620000.0,50888847000.0
2059.0,47145520000.0,50629350000.0,39791050000.0,46983860000.0,50510080000.0
2060.0,46997955000.0,50786976000.0,39399520000.0,46699667000.0,50440544000.0
2061.0,46802493000.0,50531566000.0,38845070000.0,46453990000.0,50391073000.0
2062.0,46479725000.0,50407895000.0,38294360000.0,46041480000.0,50359497000.0
2063.0,46233270000.0,50336145000.0,37720800000.0,45727343000.0,50587128000.0
2064.0,46018380000.0,50214210000.0,37045620000.0,45370830000.0,50255802000.0
2065.0,45881217000.0,50087633000.0,36565017000.0,45106240000.0,50527363000.0
2066.0,45556010000.0,49981920000.0,36013027000.0,44837327000.0,50144874000.0
2067.0,45389672000.0,49888338000.0,35336966000.0,44470866000.0,50014990000.0
2068.0,45085570000.0,49776157000.0,34801664000.0,44006494000.0,49887437000.0
2069.0,44861493000.0,49690964000.0,34187596000.0,43558605000.0,49914630000.0
2070.0,44670850000.0,49706185000.0,33520376000.0,42987745000.0,49717567000.0
2071.0,44384743000.0,49561346000.0,32998918000.0,42469196000.0,49610620000.0
2072.0,44186840000.0,49381454000.0,32431632000.0,42117825000.0,49546355000.0
2073.0,43983057000.0,49849307000.0,31811527000.0,41549280000.0,49391480000.0
2074.0,43696700000.0,49191395000.0,31141083000.0,41167843000.0,49242292000.0
2075.0,43501430000.0,49053643000.0,30479772000.0,40695316000.0,49083810000.0
2076.0,43271496000.0,48931856000.0,29901306000.0,40213700000.0,48961500000.0
2077.0,42941456000.0,48808067000.0,29233189000.0,39802905000.0,48860310000.0
2078.0,42691326000.0,48698036000.0,28671416000.0,39234544000.0,48767304000.0
2079.0,42428326000.0,48570080000.0,27996494000.0,38703907000.0,48684925000.0
2080.0,42183193000.0,48795406000.0,27224482000.0,38275027000.0,48552346000.0
2081.0,41866772000.0,48326860000.0,26604986000.0,37457895000.0,48637096000.0
2082.0,41496980000.0,48172175000.0,26141815000.0,36980687000.0,48310833000.0
2083.0,41066670000.0,47998992000.0,25582238000.0,36486865000.0,48158753000.0
2084.0,40758500000.0,47836344000.0,25076216000.0,35820507000.0,48101740000.0
2085.0,40390115000.0,47677450000.0,24458486000.0,35219510000.0,47817273000.0
2086.0,40164872000.0,47462523000.0,23844782000.0,34514907000.0,47546310000.0
2087.0,39860200000.0,47244420000.0,23232086000.0,33918763000.0,47339143000.0
2088.0,39551840000.0,47065200000.0,22443602000.0,33225998000.0,47124920000.0
2089.0,39177916000.0,46886113000.0,21602232000.0,32506386000.0,46936690000.0
2090.0,38814700000.0,46648332000.0,20850328000.0,31933448000.0,46751035000.0
2091.0,38460596000.0,46398583000.0,20181252000.0,31132563000.0,46556045000.0
2092.0,38051897000.0,46173680000.0,19397431000.0,30494814000.0,46362880000.0
2093.0,37806170000.0,45985505000.0,18614245000.0,29953698000.0,46221287000.0
2094.0,37488914000.0,45793280000.0,17941926000.0,29401874000.0,46075800000.0
2095.0,37165167000.0,45586950000.0,17159732000.0,28849994000.0,45946420000.0
2096.0,36786758000.0,45403530000.0,16533793000.0,28349772000.0,45701108000.0
2097.0,36383314000.0,45271704000.0,16012314000.0,27850713000.0,45408645000.0
2098.0,35959996000.0,45099950000.0,15287954000.0,27253390000.0,45155940000.0
2099.0,35551160000.0,44901910000.0,14524808000.0,26637101000.0,44830110000.0
2100.0,35050156000.0,44707537000.0,13834490000.0,26002665000.0,44523782000.0
