time,GFDL-ESM4,UKESM1-0-LL,MPI-ESM1-2-HR,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,716413198600.0,716413198600.0,716413198600.0,716413198600.0,716413198600.0
2001.0,715987157200.0,715987157200.0,715987157200.0,715987157200.0,715987157200.0
2002.0,714754958100.0,714754958100.0,714754958100.0,714754958100.0,714754958100.0
2003.0,714184233800.0,714184233800.0,714184233800.0,714184233800.0,714184233800.0
2004.0,714504487300.0,714504487300.0,714504487300.0,714504487300.0,714504487300.0
2005.0,713634604400.0,713634604400.0,713634604400.0,713634604400.0,713634604400.0
2006.0,713684018800.0,713684018800.0,713684018800.0,713684018800.0,713684018800.0
2007.0,712554477300.0,712554477300.0,712554477300.0,712554477300.0,712554477300.0
2008.0,711576311300.0,711576311300.0,711576311300.0,711576311300.0,711576311300.0
2009.0,711597255200.0,711597255200.0,711597255200.0,711597255200.0,711597255200.0
2010.0,709855410200.0,709855410200.0,709855410200.0,709855410200.0,709855410200.0
2011.0,710819260000.0,710819260000.0,710819260000.0,710819260000.0,710819260000.0
2012.0,709232040000.0,709232040000.0,709232040000.0,709232040000.0,709232040000.0
2013.0,709206089700.0,709206089700.0,709206089700.0,709206089700.0,709206089700.0
2014.0,710037919000.0,710037919000.0,710037919000.0,710037919000.0,710037919000.0
2015.0,707848219800.0,707848219800.0,707848219800.0,707848219800.0,707848219800.0
2016.0,708971223200.0,708971223200.0,708971223200.0,708971223200.0,708971223200.0
2017.0,705228094500.0,705228094500.0,705228094500.0,705228094500.0,705228094500.0
2018.0,705108260200.0,705108260200.0,705108260200.0,705108260200.0,705108260200.0
2019.0,706225648700.0,706225648700.0,706225648700.0,706225648700.0,706225648700.0
2020.0,703426940000.0,703426940000.0,703426940000.0,703426940000.0,703426940000.0
2021.0,701681932800.0,701813017000.0,702564451500.0,701834032200.0,701839731500.0
2022.0,702812768550.0,699128167900.0,703187306000.0,701492394200.0,701680682460.0
2023.0,699585890900.0,697049698070.0,701038880100.0,700618631200.0,698190053600.0
2024.0,698318598400.0,694650900300.0,698313183200.0,698336061600.0,696576392840.0
2025.0,696714019200.0,692187550360.0,696823638300.0,696048225900.0,696492213040.0
2026.0,695321344970.0,689818695400.0,696615839760.0,693510447000.0,693073078160.0
2027.0,693705456400.0,686715147300.0,695209513300.0,691960226200.0,690879527460.0
2028.0,691633280500.0,683183437400.0,692950994100.0,688948207360.0,688380301340.0
2029.0,690221792500.0,679804776060.0,691756607600.0,686644110740.0,685898162200.0
2030.0,687280916270.0,677554728170.0,690533648640.0,684402809770.0,684613190960.0
2031.0,685290097300.0,672749738360.0,689897301500.0,680843909000.0,681791011200.0
2032.0,682811882510.0,668480957140.0,686545793860.0,677353304040.0,677930219160.0
2033.0,681672209000.0,662918994540.0,684226627660.0,675918642400.0,675655634240.0
2034.0,679742306000.0,657480858900.0,682293501980.0,675101991600.0,671996825500.0
2035.0,676663685860.0,651585394460.0,681243386140.0,672980334200.0,670299739520.0
2036.0,674136029500.0,646701002350.0,678420395750.0,669122710700.0,667269000000.0
2037.0,672386154030.0,640859753200.0,676517830400.0,666206326300.0,663770924460.0
2038.0,670092788840.0,635911374900.0,673524541500.0,663373864260.0,659288970820.0
2039.0,667488081340.0,630263629670.0,671622467440.0,659598636200.0,654891156820.0
2040.0,664084448460.0,624855374510.0,672288887930.0,656369014800.0,652487130200.0
2041.0,662259959100.0,618343610450.0,669219507340.0,652967990530.0,647001681490.0
2042.0,659063855000.0,611639418140.0,667381773540.0,648530034260.0,643229003530.0
2043.0,656204053540.0,605589849110.0,663744184310.0,644544399670.0,639025312010.0
2044.0,653196985100.0,599043697320.0,661131418940.0,640869578400.0,633942040150.0
2045.0,650643912160.0,592437854870.0,658184440540.0,636173321850.0,629357410640.0
2046.0,646966886510.0,586085397060.0,656214679340.0,631605019100.0,624416582300.0
2047.0,644365865500.0,578927850820.0,654283058200.0,627230951100.0,619646341500.0
2048.0,641555060580.0,572051871200.0,650442249500.0,623303293700.0,614832625950.0
2049.0,639305177240.0,564149225600.0,647527395000.0,617867762820.0,609628107290.0
2050.0,635280366570.0,556752412610.0,645134481520.0,612737924720.0,604797857970.0
2051.0,633530965840.0,549478839770.0,640840761420.0,608368535970.0,600214439800.0
2052.0,628922243930.0,542167030080.0,637975601500.0,603225541420.0,598577777950.0
2053.0,624895162840.0,533500379980.0,634986073600.0,598339928380.0,591727195270.0
2054.0,621734220580.0,525431874500.0,631141766300.0,592388544510.0,587421420820.0
2055.0,618677475900.0,517706530390.0,628395603570.0,587179932300.0,582202695680.0
