time,GFDL-CM3,GISS-E2-R,IPSL-CM5A-LR,CANESM2,MPI-ESM-LR,CCSM4,GFDL-ESM2G,NORESM1-M,CNRM-CM5,CSIRO-MK3-6-0
2000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0
2001.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0
2002.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0
2003.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0
2004.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0
2005.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0
2006.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0
2007.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0
2008.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0
2009.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0
2010.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0
2011.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0
2012.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0
2013.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0
2014.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0
2015.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0
2016.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0
2017.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0
2018.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0
2019.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0
2020.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0
2021.0,18141655000000.0,17996429000000.0,18047002000000.0,18079550000000.0,18065954000000.0,18095156000000.0,18066163000000.0,18146860000000.0,18116598000000.0,18056495000000.0
2022.0,18107163000000.0,18000002000000.0,17998400000000.0,17943742000000.0,17964401000000.0,18044869000000.0,18030558000000.0,17993327000000.0,18056460000000.0,17870850000000.0
2023.0,18020856000000.0,17881023000000.0,17925627000000.0,17837423000000.0,17778614000000.0,18007038000000.0,17909877000000.0,17916787000000.0,17880972000000.0,17864937000000.0
2024.0,17858948000000.0,17790331000000.0,17792200000000.0,17794075000000.0,17618795000000.0,17822386000000.0,17745876000000.0,17755516000000.0,17802476000000.0,17843194000000.0
2025.0,17691396000000.0,17690830000000.0,17636147000000.0,17682743000000.0,17477752000000.0,17756950000000.0,17682181000000.0,17566774000000.0,17775397000000.0,17747812000000.0
2026.0,17616840000000.0,17660880000000.0,17519323000000.0,17601116000000.0,17341183000000.0,17580681000000.0,17594390000000.0,17346383000000.0,17667893000000.0,17668428000000.0
2027.0,17405854000000.0,17638883000000.0,17329553000000.0,17489161000000.0,17121974000000.0,17436328000000.0,17498997000000.0,17121022000000.0,17605381000000.0,17603695000000.0
2028.0,17169004000000.0,17541126000000.0,17122188000000.0,17334244000000.0,16984402000000.0,17212127000000.0,17367727000000.0,16970831000000.0,17508673000000.0,17527940000000.0
2029.0,17062161000000.0,17421317000000.0,16969250000000.0,17267343000000.0,16879571000000.0,17060259000000.0,17145223000000.0,16729812000000.0,17501315000000.0,17466750000000.0
2030.0,16959102000000.0,17364842000000.0,16860333000000.0,17167015000000.0,16789966000000.0,16834783000000.0,17082374000000.0,16592593000000.0,17453388000000.0,17352232000000.0
2031.0,16753734000000.0,17324673000000.0,16730130000000.0,17088677000000.0,16754662000000.0,16656823000000.0,16990029000000.0,16486976000000.0,17444896000000.0,17370586000000.0
2032.0,16685907000000.0,17192004000000.0,16601047000000.0,16885833000000.0,16704730000000.0,16548058000000.0,16879450000000.0,16311560000000.0,17395511000000.0,17269997000000.0
2033.0,16583831000000.0,17164713000000.0,16418131000000.0,16750185000000.0,16519295000000.0,16355217000000.0,16705234000000.0,16194415000000.0,17223733000000.0,17234045000000.0
2034.0,16506280000000.0,17032304000000.0,16296288000000.0,16515869000000.0,16313650000000.0,16126521000000.0,16571187000000.0,16067027000000.0,17074414000000.0,17109596000000.0
2035.0,16451879000000.0,16910276000000.0,16131606000000.0,16378711000000.0,16243770000000.0,15956222000000.0,16388224000000.0,15831519000000.0,17015645000000.0,17016862000000.0
2036.0,16243388000000.0,16850827000000.0,15928585000000.0,16244296000000.0,16193107000000.0,15812910000000.0,16288410000000.0,15660181000000.0,16921778000000.0,16843964000000.0
2037.0,16018995000000.0,16810470000000.0,15748805000000.0,16091963000000.0,16121919000000.0,15618481000000.0,16044347000000.0,15343572000000.0,16802227000000.0,16679288000000.0
2038.0,15840832000000.0,16791667000000.0,15576154000000.0,15970528000000.0,15993550000000.0,15387641000000.0,15969969000000.0,15191073000000.0,16725612000000.0,16547130000000.0
2039.0,15688791000000.0,16732491000000.0,15340480000000.0,15796854000000.0,15912524000000.0,15190929000000.0,15795692000000.0,15029801000000.0,16608499000000.0,16500970000000.0
2040.0,15583572000000.0,16691005000000.0,15179722000000.0,15614289000000.0,15820907000000.0,14983268000000.0,15719008000000.0,14906230000000.0,16516477000000.0,16466990000000.0
2041.0,15397305000000.0,16650124000000.0,15035090000000.0,15462067000000.0,15810669000000.0,14816696000000.0,15520370000000.0,14773138000000.0,16402743000000.0,16307473000000.0
2042.0,15225709000000.0,16558254000000.0,14896304000000.0,15314034000000.0,15705562000000.0,14643713000000.0,15421194000000.0,14640513000000.0,16328499000000.0,16122757000000.0
2043.0,15040306000000.0,16432853000000.0,14700738000000.0,15103571000000.0,15559563000000.0,14455453000000.0,15384495000000.0,14577293000000.0,16253830000000.0,16044669000000.0
2044.0,14852444000000.0,16295375000000.0,14449204000000.0,14965190000000.0,15411929000000.0,14251176000000.0,15259778000000.0,14419299000000.0,16142853000000.0,15981045000000.0
2045.0,14642519000000.0,16120010000000.0,14194538000000.0,14794199000000.0,15293081000000.0,14037555000000.0,15139128000000.0,14155620000000.0,16046932000000.0,15746433000000.0
2046.0,14433060000000.0,16032703000000.0,13960768000000.0,14567200000000.0,15201805000000.0,13799464000000.0,15028412000000.0,14075263000000.0,16002900000000.0,15528860000000.0
2047.0,14233173000000.0,15955284000000.0,13808278000000.0,14388413000000.0,15068195000000.0,13638640000000.0,14963548000000.0,13989030000000.0,15878870000000.0,15263465000000.0
2048.0,14047188000000.0,15904249000000.0,13667225000000.0,14216307000000.0,14912585000000.0,13567858000000.0,14901087000000.0,13874714000000.0,15792361000000.0,15081536000000.0
2049.0,13802627000000.0,15747350000000.0,13427339000000.0,14040166000000.0,14789876000000.0,13358924000000.0,14807062000000.0,13659894000000.0,15644333000000.0,14955291000000.0
2050.0,13662745000000.0,15607045000000.0,13237864000000.0,13859626000000.0,14682920000000.0,13246067000000.0,14573783000000.0,13474239000000.0,15582191000000.0,14861200000000.0
2051.0,13443325000000.0,15547966000000.0,12983604000000.0,13653642000000.0,14476543000000.0,13085057000000.0,14341887000000.0,13302224000000.0,15483392000000.0,14682950000000.0
2052.0,13147439000000.0,15370108000000.0,12775885000000.0,13469219000000.0,14270197000000.0,12912698000000.0,14188459000000.0,13127511000000.0,15410380000000.0,14496237000000.0
2053.0,12942501000000.0,15077467000000.0,12580151000000.0,13241058000000.0,14114201000000.0,12633548000000.0,14026454000000.0,12977907000000.0,15408119000000.0,14282787000000.0
2054.0,12703136000000.0,14932818000000.0,12391111000000.0,13103362000000.0,13919553000000.0,12449922000000.0,13870872000000.0,12805399000000.0,15350722000000.0,14123387000000.0
2055.0,12555748000000.0,14836421000000.0,12134767000000.0,12978793000000.0,13759049000000.0,12317938000000.0,13776126000000.0,12550872000000.0,15315317000000.0,13959784000000.0
2056.0,12411732000000.0,14757146000000.0,11868740000000.0,12799392000000.0,13626415000000.0,12135924000000.0,13608050000000.0,12333035000000.0,15153255000000.0,13760378000000.0
2057.0,12212343000000.0,14641533000000.0,11661056000000.0,12647964000000.0,13546533000000.0,11952560000000.0,13487408000000.0,12158019000000.0,15015482000000.0,13621643000000.0
2058.0,12010675000000.0,14513783000000.0,11571634000000.0,12530247000000.0,13439144000000.0,11760878000000.0,13243540000000.0,11993887000000.0,14800954000000.0,13484960000000.0
2059.0,11836873000000.0,14502347000000.0,11390029000000.0,12273552000000.0,13293068000000.0,11588444000000.0,13112834000000.0,11812043000000.0,14636530000000.0,13364922000000.0
2060.0,11656662000000.0,14424197000000.0,11220884000000.0,12090843000000.0,13126391000000.0,11423297000000.0,13010034000000.0,11634445000000.0,14423341000000.0,13223559000000.0
2061.0,11458823000000.0,14317892000000.0,11002020000000.0,11871599000000.0,13020817000000.0,11290191000000.0,12876242000000.0,11416226000000.0,14278903000000.0,13010119000000.0
2062.0,11221120000000.0,14250387000000.0,10796208000000.0,11659146000000.0,12840543000000.0,11061255000000.0,12791613000000.0,11118074000000.0,14139910000000.0,12855173000000.0
2063.0,11010647000000.0,14141016000000.0,10585966000000.0,11499317000000.0,12715556000000.0,10758221000000.0,12702947000000.0,10857918000000.0,14049602000000.0,12740970000000.0
2064.0,10769451000000.0,13988535000000.0,10351944000000.0,11241230000000.0,12569681000000.0,10474087000000.0,12561458000000.0,10727976000000.0,13909618000000.0,12632201000000.0
2065.0,10602942000000.0,13845506000000.0,10197057000000.0,11039310000000.0,12496113000000.0,10225169000000.0,12533394000000.0,10526896000000.0,13785278000000.0,12441611000000.0
2066.0,10422686000000.0,13743333000000.0,9997855000000.0,10906756000000.0,12362840000000.0,10031226000000.0,12473877000000.0,10301474000000.0,13725433000000.0,12326552000000.0
2067.0,10233485000000.0,13698916000000.0,9740156000000.0,10782656000000.0,12193458000000.0,9906224000000.0,12246010000000.0,10092055000000.0,13564730000000.0,12106694000000.0
2068.0,9991137000000.0,13630211000000.0,9571019000000.0,10603495000000.0,12017053000000.0,9726462000000.0,12090483000000.0,9877298000000.0,13388650000000.0,11925781000000.0
2069.0,9768560000000.0,13573636000000.0,9380454000000.0,10356099000000.0,11812163000000.0,9565220000000.0,12048591000000.0,9578994000000.0,13222113000000.0,11784518000000.0
2070.0,9600534000000.0,13424042000000.0,9211663000000.0,10196094000000.0,11596095000000.0,9412422000000.0,11834296000000.0,9396592000000.0,13099594000000.0,11624518000000.0
2071.0,9396444000000.0,13316735000000.0,9000434000000.0,10003970000000.0,11428990000000.0,9221341000000.0,11719195000000.0,9180945000000.0,12972069000000.0,11480567000000.0
2072.0,9251220000000.0,13159727000000.0,8790806000000.0,9830111000000.0,11254514000000.0,9023877000000.0,11625892000000.0,8920671000000.0,12933066000000.0,11289778000000.0
2073.0,9066266000000.0,13144160000000.0,8601074700000.0,9611505000000.0,11133416000000.0,8849324000000.0,11448783000000.0,8664057000000.0,12796718000000.0,11059817000000.0
2074.0,8921824000000.0,13038937000000.0,8374802000000.0,9436493000000.0,10970272000000.0,8678559700000.0,11404588000000.0,8409726300000.0,12635706000000.0,10926808000000.0
2075.0,8706861300000.0,12854803000000.0,8170809000000.0,9274858000000.0,10814159000000.0,8491468000000.0,11350636000000.0,8134888000000.0,12460290000000.0,10694508000000.0
2076.0,8538437000000.0,12805915000000.0,8004721000000.0,9115129000000.0,10671859000000.0,8292844700000.0,11134834000000.0,7851019300000.0,12325575000000.0,10600585000000.0
2077.0,8340509300000.0,12728754000000.0,7836642300000.0,8951460000000.0,10443650000000.0,8098870000000.0,10948030000000.0,7605766000000.0,12176348000000.0,10472878000000.0
