time,CCSM4,NORESM1-M,CSIRO-MK3-6-0,GFDL-ESM2G,MPI-ESM-LR,CNRM-CM5,CESM1-CAM5,GFDL-CM3,GISS-E2-R,CANESM2,IPSL-CM5A-LR
2000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0
2001.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0
2002.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0
2003.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0
2004.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0
2005.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0
2006.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0
2007.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0
2008.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0
2009.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0
2010.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0
2011.0,952621900000.0,952621900000.0,952621900000.0,952621900000.0,952621900000.0,952621900000.0,952621900000.0,952621900000.0,952621900000.0,952621900000.0,952621900000.0
