time,CNRM-CM5,GISS-E2-R,CCSM4,CANESM2,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M,CSIRO-MK3-6-0,IPSL-CM5A-LR,GFDL-CM3
2000.0,8737869300000.0,8737869300000.0,8737869300000.0,8737869300000.0,8737869300000.0,8737869300000.0,8737869300000.0,8737869300000.0,8737869300000.0,8737869300000.0
2001.0,8708541600000.0,8708541600000.0,8708541600000.0,8708541600000.0,8708541600000.0,8708541600000.0,8708541600000.0,8708541600000.0,8708541600000.0,8708541600000.0
2002.0,8681413000000.0,8681413000000.0,8681413000000.0,8681413000000.0,8681413000000.0,8681413000000.0,8681413000000.0,8681413000000.0,8681413000000.0,8681413000000.0
2003.0,8661789300000.0,8661789300000.0,8661789300000.0,8661789300000.0,8661789300000.0,8661789300000.0,8661789300000.0,8661789300000.0,8661789300000.0,8661789300000.0
2004.0,8631083000000.0,8631083000000.0,8631083000000.0,8631083000000.0,8631083000000.0,8631083000000.0,8631083000000.0,8631083000000.0,8631083000000.0,8631083000000.0
2005.0,8613858000000.0,8613858000000.0,8613858000000.0,8613858000000.0,8613858000000.0,8613858000000.0,8613858000000.0,8613858000000.0,8613858000000.0,8613858000000.0
2006.0,8611944000000.0,8611944000000.0,8611944000000.0,8611944000000.0,8611944000000.0,8611944000000.0,8611944000000.0,8611944000000.0,8611944000000.0,8611944000000.0
2007.0,8584612500000.0,8584612500000.0,8584612500000.0,8584612500000.0,8584612500000.0,8584612500000.0,8584612500000.0,8584612500000.0,8584612500000.0,8584612500000.0
2008.0,8543925700000.0,8543925700000.0,8543925700000.0,8543925700000.0,8543925700000.0,8543925700000.0,8543925700000.0,8543925700000.0,8543925700000.0,8543925700000.0
2009.0,8507645500000.0,8507645500000.0,8507645500000.0,8507645500000.0,8507645500000.0,8507645500000.0,8507645500000.0,8507645500000.0,8507645500000.0,8507645500000.0
2010.0,8468937000000.0,8468937000000.0,8468937000000.0,8468937000000.0,8468937000000.0,8468937000000.0,8468937000000.0,8468937000000.0,8468937000000.0,8468937000000.0
2011.0,8425814600000.0,8425814600000.0,8425814600000.0,8425814600000.0,8425814600000.0,8425814600000.0,8425814600000.0,8425814600000.0,8425814600000.0,8425814600000.0
2012.0,8392777000000.0,8392777000000.0,8392777000000.0,8392777000000.0,8392777000000.0,8392777000000.0,8392777000000.0,8392777000000.0,8392777000000.0,8392777000000.0
2013.0,8366859500000.0,8366859500000.0,8366859500000.0,8366859500000.0,8366859500000.0,8366859500000.0,8366859500000.0,8366859500000.0,8366859500000.0,8366859500000.0
2014.0,8344373000000.0,8344373000000.0,8344373000000.0,8344373000000.0,8344373000000.0,8344373000000.0,8344373000000.0,8344373000000.0,8344373000000.0,8344373000000.0
2015.0,8304417300000.0,8304417300000.0,8304417300000.0,8304417300000.0,8304417300000.0,8304417300000.0,8304417300000.0,8304417300000.0,8304417300000.0,8304417300000.0
2016.0,8266871000000.0,8266871000000.0,8266871000000.0,8266871000000.0,8266871000000.0,8266871000000.0,8266871000000.0,8266871000000.0,8266871000000.0,8266871000000.0
2017.0,8227445500000.0,8227445500000.0,8227445500000.0,8227445500000.0,8227445500000.0,8227445500000.0,8227445500000.0,8227445500000.0,8227445500000.0,8227445500000.0
2018.0,8208834000000.0,8208834000000.0,8208834000000.0,8208834000000.0,8208834000000.0,8208834000000.0,8208834000000.0,8208834000000.0,8208834000000.0,8208834000000.0
2019.0,8182474000000.0,8182474000000.0,8182474000000.0,8182474000000.0,8182474000000.0,8182474000000.0,8182474000000.0,8182474000000.0,8182474000000.0,8182474000000.0
2020.0,8145399000000.0,8145399000000.0,8145399000000.0,8145399000000.0,8145399000000.0,8145399000000.0,8145399000000.0,8145399000000.0,8145399000000.0,8145399000000.0
2021.0,8104519000000.0,8092260000000.0,8125577400000.0,8111130000000.0,8109586000000.0,8128516000000.0,8098512000000.0,8117351000000.0,8095290400000.0,8078498000000.0
2022.0,8049129000000.0,8046453000000.0,8100538000000.0,8072390000000.0,8060213000000.0,8103038300000.0,8051129000000.0,8087247000000.0,8063147000000.0,8013460000000.0
2023.0,8003760700000.0,8024930400000.0,8075545000000.0,8044009000000.0,8036623600000.0,8077374000000.0,8008486000000.0,8057036000000.0,8036664000000.0,7935782600000.0
2024.0,7963037000000.0,7974288000000.0,8062232400000.0,8017923300000.0,8004401400000.0,8052801000000.0,7976453000000.0,8025452600000.0,7988289500000.0,7866109000000.0
2025.0,7911331000000.0,7933285000000.0,8046417000000.0,7966004000000.0,7972132500000.0,8015480000000.0,7933952000000.0,7990473700000.0,7971536000000.0,7793219000000.0
2026.0,7863249000000.0,7897464000000.0,8031412000000.0,7939921300000.0,7929486400000.0,7988582000000.0,7887784500000.0,7949587000000.0,7926645000000.0,7722313000000.0
2027.0,7821582000000.0,7861893600000.0,7996339400000.0,7899006000000.0,7898163300000.0,7949232600000.0,7853006400000.0,7918785000000.0,7892661400000.0,7653901700000.0
2028.0,7773268500000.0,7832853000000.0,7959492400000.0,7863979700000.0,7872112000000.0,7931470000000.0,7809617000000.0,7880714500000.0,7841865000000.0,7589532000000.0
2029.0,7735056300000.0,7814682500000.0,7910514000000.0,7811823600000.0,7825602000000.0,7889800400000.0,7752014000000.0,7859933000000.0,7798252400000.0,7506119000000.0
2030.0,7676055500000.0,7764186000000.0,7892129000000.0,7759408000000.0,7804939000000.0,7873863000000.0,7682758500000.0,7829284500000.0,7735495000000.0,7439027500000.0
2031.0,7639099500000.0,7720624000000.0,7849933500000.0,7716193000000.0,7778609000000.0,7835724000000.0,7631335000000.0,7789648300000.0,7694877000000.0,7353207400000.0
2032.0,7596645000000.0,7672421700000.0,7815291700000.0,7682187600000.0,7754651000000.0,7807723600000.0,7572582600000.0,7751353000000.0,7653606600000.0,7282483500000.0
2033.0,7544660600000.0,7626696400000.0,7778351000000.0,7642650500000.0,7726492500000.0,7765269000000.0,7515139000000.0,7705111600000.0,7620409700000.0,7208232300000.0
2034.0,7477637000000.0,7560333600000.0,7736811000000.0,7585744000000.0,7698575000000.0,7730054000000.0,7451333000000.0,7668932500000.0,7567914300000.0,7154187000000.0
2035.0,7442981000000.0,7497409600000.0,7683100400000.0,7532992000000.0,7643450600000.0,7697655000000.0,7388746000000.0,7625738000000.0,7523594000000.0,7088861300000.0
2036.0,7413161300000.0,7453680000000.0,7665457000000.0,7498006300000.0,7610305600000.0,7666805500000.0,7337342000000.0,7595098000000.0,7465789000000.0,7017853400000.0
2037.0,7355512700000.0,7402385600000.0,7610573000000.0,7444479600000.0,7580183000000.0,7629749000000.0,7268386500000.0,7555465600000.0,7412160000000.0,6932587000000.0
2038.0,7313268700000.0,7355794000000.0,7545191700000.0,7403671000000.0,7543642000000.0,7579009000000.0,7205202400000.0,7518381000000.0,7361645000000.0,6842271400000.0
2039.0,7258221600000.0,7312410000000.0,7487397000000.0,7344963000000.0,7499470600000.0,7526780000000.0,7130422000000.0,7471896000000.0,7312557000000.0,6766616600000.0
2040.0,7215415600000.0,7270779000000.0,7422309000000.0,7287067000000.0,7456740000000.0,7481525000000.0,7074037000000.0,7423286300000.0,7272202000000.0,6669534000000.0
2041.0,7174787400000.0,7219033000000.0,7374494000000.0,7235920500000.0,7405383500000.0,7435033500000.0,7009771000000.0,7389925000000.0,7200517000000.0,6578001400000.0
2042.0,7098923000000.0,7151381600000.0,7325299000000.0,7185205600000.0,7354351000000.0,7399772000000.0,6943473700000.0,7354678500000.0,7148649600000.0,6481442000000.0
2043.0,7033787500000.0,7107803000000.0,7265691000000.0,7131109500000.0,7311562600000.0,7349261000000.0,6869236000000.0,7303864000000.0,7076003700000.0,6377539400000.0
2044.0,6979201300000.0,7046097000000.0,7213230000000.0,7063771000000.0,7268515000000.0,7302628000000.0,6806227600000.0,7253665500000.0,7000223000000.0,6273147000000.0
2045.0,6910280000000.0,6968660000000.0,7152032000000.0,6995465000000.0,7233706400000.0,7250328000000.0,6742283400000.0,7204856400000.0,6960134500000.0,6166258600000.0
2046.0,6847043500000.0,6900599000000.0,7103184000000.0,6921607700000.0,7195888500000.0,7192401000000.0,6675326000000.0,7159166300000.0,6892390000000.0,6063180000000.0
2047.0,6775324000000.0,6824613000000.0,7057540400000.0,6870487500000.0,7149362000000.0,7134129000000.0,6610872700000.0,7117171300000.0,6833166600000.0,5955842500000.0
2048.0,6703185700000.0,6767583000000.0,6995492500000.0,6784748600000.0,7093951700000.0,7098433300000.0,6542726000000.0,7077660500000.0,6772700000000.0,5847623000000.0
2049.0,6659966500000.0,6709430500000.0,6941220000000.0,6716112000000.0,7046402000000.0,7034517300000.0,6476781000000.0,7036067600000.0,6702886300000.0,5735862000000.0
2050.0,6592845000000.0,6652335000000.0,6891121400000.0,6655240000000.0,6995016000000.0,6968173000000.0,6412688700000.0,6995934000000.0,6637980000000.0,5618875000000.0
2051.0,6535927300000.0,6594753500000.0,6828581000000.0,6599542000000.0,6945183000000.0,6907749000000.0,6335549000000.0,6958874000000.0,6558274600000.0,5502997600000.0
2052.0,6458584000000.0,6544489400000.0,6772049300000.0,6526337500000.0,6902468600000.0,6852307300000.0,6255530000000.0,6921757000000.0,6476017400000.0,5375260600000.0
2053.0,6384328400000.0,6490614000000.0,6689124000000.0,6445569400000.0,6862404600000.0,6794833000000.0,6186121300000.0,6869228000000.0,6404885700000.0,5252049300000.0
2054.0,6318611500000.0,6423398000000.0,6618665000000.0,6375902000000.0,6822817700000.0,6733709700000.0,6126886000000.0,6823097000000.0,6335096000000.0,5144157600000.0
2055.0,6261135000000.0,6342325000000.0,6573074000000.0,6308253700000.0,6755819500000.0,6674777600000.0,6055773000000.0,6772090700000.0,6249749000000.0,5038457500000.0
2056.0,6192252300000.0,6290655000000.0,6498525000000.0,6229345700000.0,6702855400000.0,6628195000000.0,5978801600000.0,6734966400000.0,6160906700000.0,4913048300000.0
2057.0,6134176400000.0,6251109000000.0,6439806000000.0,6158314000000.0,6641051000000.0,6575982400000.0,5878591000000.0,6686948000000.0,6080927000000.0,4788439000000.0
2058.0,6072523000000.0,6207590400000.0,6372915000000.0,6099662500000.0,6593816000000.0,6509578000000.0,5792266700000.0,6621110000000.0,5977882000000.0,4658229000000.0
2059.0,6009537000000.0,6175703000000.0,6304120000000.0,6014198000000.0,6548345000000.0,6445408000000.0,5700553500000.0,6574962000000.0,5886458700000.0,4533370000000.0
2060.0,5960371300000.0,6118247000000.0,6257758400000.0,5956779000000.0,6493788700000.0,6390980000000.0,5608653700000.0,6519967000000.0,5792082000000.0,4414773000000.0
2061.0,5889873400000.0,6043231300000.0,6173685000000.0,5880473000000.0,6452282000000.0,6351207500000.0,5528956700000.0,6459161600000.0,5693908000000.0,4297728500000.0
2062.0,5806937000000.0,5984279300000.0,6082084000000.0,5795626400000.0,6399469000000.0,6279535000000.0,5448401000000.0,6398282300000.0,5592443000000.0,4184508700000.0
2063.0,5732207000000.0,5929373300000.0,6010288700000.0,5717513000000.0,6351143600000.0,6207049000000.0,5360513400000.0,6336711000000.0,5510835700000.0,4075891700000.0
