time,NORESM1-M,CSIRO-MK3-6-0,CCSM4,CANESM2,GFDL-CM3,CNRM-CM5,GISS-E2-R,MPI-ESM-LR,GFDL-ESM2G,IPSL-CM5A-LR
2000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0
2001.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0
2002.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0
2003.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0
2004.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0
2005.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0
2006.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0
2007.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0
2008.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0
2009.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0
2010.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0
2011.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0
2012.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0
2013.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0
2014.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0
2015.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0
2016.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0
2017.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0
2018.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0
2019.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0
2020.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0
2021.0,102352880000.0,104862286000.0,104120345000.0,104693290000.0,102665500000.0,104213640000.0,104738240000.0,104238785000.0,105623446000.0,102736690000.0
2022.0,100248620000.0,102237910000.0,102913606000.0,102747010000.0,100499700000.0,103361950000.0,101942980000.0,102709240000.0,104678250000.0,100006770000.0
2023.0,97793130000.0,99377660000.0,101692370000.0,101830680000.0,98170830000.0,102661770000.0,99533775000.0,100515240000.0,103701774000.0,98648244000.0
2024.0,95279120000.0,96347250000.0,99686425000.0,99542835000.0,95074530000.0,100413760000.0,98004615000.0,99553210000.0,102350586000.0,96492830000.0
2025.0,92838150000.0,94301350000.0,98133910000.0,96897950000.0,92709010000.0,98591110000.0,95912880000.0,97216810000.0,99409750000.0,95146980000.0
2026.0,91123630000.0,93022550000.0,96398200000.0,94643510000.0,89411520000.0,96426570000.0,93412140000.0,95069090000.0,97752920000.0,93361455000.0
2027.0,87979320000.0,90532450000.0,96033170000.0,91326720000.0,85343510000.0,94301676000.0,92541960000.0,92633194000.0,95173840000.0,89303970000.0
