time,CSIRO-MK3-6-0,IPSL-CM5A-LR,GISS-E2-R,CCSM4,GFDL-CM3,CNRM-CM5,NORESM1-M,GFDL-ESM2G,MPI-ESM-LR,CANESM2
2000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0
2001.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0
2002.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0
2003.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0
2004.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0
2005.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0
2006.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0
2007.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0
2008.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0
2009.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0
2010.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0
2011.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0
2012.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0
2013.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0
2014.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0
2015.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0
2016.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0
2017.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0
2018.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0
2019.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0
2020.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0
2021.0,87530050000.0,88482660000.0,88733800000.0,86068716000.0,87647400000.0,89397870000.0,89277874000.0,89389250000.0,88507310000.0,86585115000.0
2022.0,85066560000.0,85138730000.0,85641126000.0,85561990000.0,84119175000.0,85991080000.0,88123220000.0,88412430000.0,89004270000.0,83113390000.0
2023.0,81619220000.0,82903860000.0,82523690000.0,82943164000.0,80526705000.0,84358460000.0,85222750000.0,85412780000.0,85575614000.0,79971934000.0
2024.0,80424300000.0,77733690000.0,78761980000.0,79474460000.0,75614400000.0,84016050000.0,82573180000.0,86149820000.0,85637910000.0,79158590000.0
2025.0,78040680000.0,76128130000.0,73765420000.0,76852230000.0,70912246000.0,83303195000.0,78632670000.0,84301450000.0,86140480000.0,76759950000.0
2026.0,75674860000.0,75946470000.0,72426275000.0,74934550000.0,67502930000.0,80519390000.0,74894600000.0,81637690000.0,86716916000.0,72673870000.0
2027.0,69607460000.0,74287180000.0,69890130000.0,72075310000.0,63168283000.0,74601870000.0,71300280000.0,78295640000.0,89250070000.0,72521120000.0
2028.0,66588066000.0,72622310000.0,69851360000.0,70350135000.0,59392692000.0,70951720000.0,71943220000.0,75586920000.0,88703770000.0,70357500000.0
2029.0,68423594000.0,72137670000.0,66824690000.0,68453590000.0,54245143000.0,71403310000.0,69152270000.0,74521900000.0,86077470000.0,67950960000.0
2030.0,63841202000.0,68533870000.0,61640106000.0,66385318000.0,49398140000.0,68850300000.0,66838524000.0,73233410000.0,83533180000.0,65105630000.0
2031.0,61630583000.0,65106740000.0,57950710000.0,64239714000.0,47815983000.0,66310853000.0,64129282000.0,71864020000.0,81425000000.0,60671304000.0
2032.0,60889227000.0,63992865000.0,58248778000.0,62258995000.0,45017887000.0,64056713000.0,61409268000.0,69501980000.0,77195630000.0,58329764000.0
2033.0,58498220000.0,60135014000.0,56589935000.0,59904926000.0,42073805000.0,62527558000.0,59489636000.0,67291062000.0,75868760000.0,55679545000.0
2034.0,56687190000.0,59194060000.0,53687914000.0,56143740000.0,41131130000.0,60200223000.0,56885993000.0,64673894000.0,73498180000.0,52175390000.0
2035.0,52284760000.0,55270420000.0,52460800000.0,55060152000.0,36819562000.0,58461196000.0,55050306000.0,61487055000.0,70425630000.0,50619146000.0
2036.0,51588776000.0,52349678000.0,51154150000.0,55246103000.0,33609685000.0,58396610000.0,54377920000.0,58904334000.0,70191145000.0,49556943000.0
2037.0,51753234000.0,49434720000.0,50200450000.0,52750025000.0,31269628000.0,57525470000.0,53212600000.0,55839520000.0,69499585000.0,45938130000.0
2038.0,49894530000.0,46533214000.0,48702964000.0,52516630000.0,27799667000.0,54457230000.0,50865470000.0,55273353000.0,67258540000.0,44697014000.0
