time,CCSM4,CNRM-CM5,CSIRO-MK3-6-0,CANESM2,NORESM1-M,MPI-ESM-LR,CESM1-CAM5,GFDL-ESM2G,IPSL-CM5A-LR,GISS-E2-R,GFDL-CM3
2000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0
2001.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0
2002.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0
2003.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0
2004.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0
2005.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0
2006.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0
2007.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0
2008.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0
2009.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0
2010.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0
2011.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0
2012.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0
2013.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0
2014.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0
2015.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0
2016.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0
2017.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0
2018.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0
2019.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0
2020.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0
2021.0,3082302800000.0,3083485000000.0,3070382800000.0,3099815800000.0,3054846000000.0,3081788700000.0,3071808600000.0,3076916000000.0,3079757000000.0,3083109400000.0,3047828000000.0
2022.0,3061551000000.0,3051649200000.0,3032642200000.0,3075722000000.0,3033756900000.0,3067256000000.0,3059399800000.0,3068591300000.0,3047310800000.0,3062179800000.0,3006917200000.0
2023.0,3050979700000.0,3036582800000.0,2999379300000.0,3045235000000.0,3000383600000.0,3031799200000.0,3036613700000.0,3061333400000.0,3030629200000.0,3051008300000.0,2965180300000.0
2024.0,3043852000000.0,3011540000000.0,2965425400000.0,3025774800000.0,2979368800000.0,3000664000000.0,3029446400000.0,3050676000000.0,3022005500000.0,3041423300000.0,2907734500000.0
2025.0,3017429000000.0,2993544200000.0,2960266000000.0,2983543400000.0,2942163000000.0,2964565500000.0,3017557100000.0,3027358400000.0,2998260500000.0,3023689000000.0,2855133000000.0
2026.0,2994252000000.0,2976551300000.0,2922537500000.0,2934564000000.0,2913023000000.0,2941770500000.0,3011648700000.0,2999202000000.0,2971781600000.0,2991652000000.0,2801894700000.0
2027.0,2955305500000.0,2950117200000.0,2888054300000.0,2876728000000.0,2864898600000.0,2909631000000.0,2985475400000.0,2974202700000.0,2937172800000.0,2980046400000.0,2746800000000.0
