time,GISS-E2-R,CANESM2,CNRM-CM5,CSIRO-MK3-6-0,NORESM1-M,GFDL-ESM2G,GFDL-CM3,CCSM4,MPI-ESM-LR,IPSL-CM5A-LR
2000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0
2001.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0
2002.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0
2003.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0
2004.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0
2005.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0
2006.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0
2007.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0
2008.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0
2009.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0
2010.0,4980672600000.0,4980672600000.0,4980672600000.0,4980672600000.0,4980672600000.0,4980672600000.0,4980672600000.0,4980672600000.0,4980672600000.0,4980672600000.0
2011.0,4967728000000.0,4967728000000.0,4967728000000.0,4967728000000.0,4967728000000.0,4967728000000.0,4967728000000.0,4967728000000.0,4967728000000.0,4967728000000.0
2012.0,4927068300000.0,4927068300000.0,4927068300000.0,4927068300000.0,4927068300000.0,4927068300000.0,4927068300000.0,4927068300000.0,4927068300000.0,4927068300000.0
2013.0,4902513300000.0,4902513300000.0,4902513300000.0,4902513300000.0,4902513300000.0,4902513300000.0,4902513300000.0,4902513300000.0,4902513300000.0,4902513300000.0
2014.0,4868002000000.0,4868002000000.0,4868002000000.0,4868002000000.0,4868002000000.0,4868002000000.0,4868002000000.0,4868002000000.0,4868002000000.0,4868002000000.0
2015.0,4866311000000.0,4866311000000.0,4866311000000.0,4866311000000.0,4866311000000.0,4866311000000.0,4866311000000.0,4866311000000.0,4866311000000.0,4866311000000.0
2016.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0
2017.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0
2018.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0
2019.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0
2020.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0
2021.0,4660673000000.0,4667131600000.0,4650834000000.0,4647076000000.0,4659316500000.0,4660737000000.0,4658516500000.0,4663350000000.0,4665079500000.0,4661908600000.0
2022.0,4633665000000.0,4638392000000.0,4578908600000.0,4630841000000.0,4647228000000.0,4625336000000.0,4624562000000.0,4647530500000.0,4635849400000.0,4651450000000.0
2023.0,4607295600000.0,4587565600000.0,4548663400000.0,4582920400000.0,4628923000000.0,4594101400000.0,4620208000000.0,4613918400000.0,4596913700000.0,4614892600000.0
2024.0,4579694500000.0,4532171400000.0,4526401000000.0,4545102500000.0,4606659000000.0,4578558000000.0,4595756000000.0,4565705000000.0,4564850300000.0,4598779000000.0
2025.0,4567136000000.0,4495781700000.0,4496998500000.0,4507957700000.0,4576685600000.0,4536742700000.0,4567621700000.0,4547426600000.0,4554103000000.0,4564365000000.0
2026.0,4531592000000.0,4461519000000.0,4464862300000.0,4455819000000.0,4538434600000.0,4517009600000.0,4533841000000.0,4522200000000.0,4528994000000.0,4529522700000.0
2027.0,4487357400000.0,4422226000000.0,4419376600000.0,4430240400000.0,4523006400000.0,4483200000000.0,4501132500000.0,4506755000000.0,4507266000000.0,4505668700000.0
2028.0,4458669400000.0,4392382000000.0,4399027500000.0,4390208100000.0,4504351000000.0,4468246600000.0,4480926500000.0,4478816000000.0,4488277000000.0,4455564600000.0
2029.0,4411568400000.0,4343454200000.0,4386946800000.0,4373901700000.0,4470057000000.0,4431379000000.0,4472701500000.0,4455782700000.0,4465553000000.0,4425465700000.0
2030.0,4403259000000.0,4314274500000.0,4352429800000.0,4364100200000.0,4451793000000.0,4420007000000.0,4458380000000.0,4432925300000.0,4445335000000.0,4379789800000.0
2031.0,4383636700000.0,4297351200000.0,4310779300000.0,4344497600000.0,4423132600000.0,4415444000000.0,4418789000000.0,4398037000000.0,4425360000000.0,4347960200000.0
2032.0,4357417000000.0,4256888300000.0,4256488000000.0,4337511200000.0,4405957000000.0,4396670800000.0,4399838500000.0,4357218600000.0,4397008700000.0,4316523000000.0
2033.0,4335246200000.0,4229199600000.0,4214429000000.0,4299167600000.0,4393068000000.0,4356471800000.0,4378571800000.0,4318337400000.0,4359319500000.0,4288249000000.0
2034.0,4292503400000.0,4207351700000.0,4182543200000.0,4273152000000.0,4365476200000.0,4338501600000.0,4357802200000.0,4270744400000.0,4320098800000.0,4276997800000.0
2035.0,4264896200000.0,4165502500000.0,4158235300000.0,4235413000000.0,4327703600000.0,4329415000000.0,4323065700000.0,4238044000000.0,4292204300000.0,4280767000000.0
2036.0,4229120700000.0,4137851000000.0,4088163200000.0,4210524400000.0,4324994300000.0,4314475000000.0,4301112000000.0,4182171700000.0,4268669300000.0,4266681400000.0
2037.0,4205761300000.0,4099743000000.0,4041118000000.0,4144263000000.0,4292106800000.0,4287896700000.0,4292642900000.0,4159405800000.0,4234895700000.0,4219161500000.0
2038.0,4185010700000.0,4059636200000.0,4020998200000.0,4114136200000.0,4252344300000.0,4279512900000.0,4270634800000.0,4112871300000.0,4203158700000.0,4193253000000.0
2039.0,4144018200000.0,4003590000000.0,4004593500000.0,4085617800000.0,4202796000000.0,4270043400000.0,4251486300000.0,4086174300000.0,4150708700000.0,4154422000000.0
2040.0,4121306900000.0,3953978500000.0,3975975500000.0,4058987600000.0,4192032800000.0,4262468000000.0,4229336400000.0,4046598000000.0,4113601100000.0,4135472000000.0
2041.0,4097641800000.0,3924789300000.0,3947425400000.0,4030534500000.0,4143309400000.0,4265840700000.0,4203652000000.0,4007345800000.0,4100134300000.0,4115901700000.0
2042.0,4082512000000.0,3901248200000.0,3924712800000.0,4007827000000.0,4119514800000.0,4245927800000.0,4189611000000.0,3966063000000.0,4092982000000.0,4104418000000.0
2043.0,4063322200000.0,3883317900000.0,3895864600000.0,3977706000000.0,4104128000000.0,4232864900000.0,4154427200000.0,3932060400000.0,4072084000000.0,4068483500000.0
2044.0,4031426300000.0,3833692700000.0,3860216700000.0,3918548000000.0,4077428100000.0,4227132600000.0,4110330600000.0,3907690700000.0,4039915900000.0,4038263800000.0
2045.0,3999620700000.0,3813022600000.0,3813285600000.0,3900506000000.0,4036580900000.0,4212631300000.0,4075880700000.0,3875979100000.0,4006126300000.0,4003911400000.0
2046.0,3956515300000.0,3774893800000.0,3788230000000.0,3880417200000.0,3990005200000.0,4204970000000.0,4034026500000.0,3854970000000.0,3988889800000.0,3971162800000.0
2047.0,3925347700000.0,3749672400000.0,3769257700000.0,3860478600000.0,3983573500000.0,4184291400000.0,3984992200000.0,3821763600000.0,3975719400000.0,3954881000000.0
2048.0,3915446200000.0,3696256600000.0,3735548600000.0,3836994700000.0,3974095200000.0,4183643000000.0,3954814000000.0,3811319200000.0,3946660500000.0,3933342800000.0
2049.0,3882125400000.0,3668804600000.0,3717844700000.0,3823883000000.0,3965433200000.0,4154588700000.0,3914544200000.0,3801948400000.0,3934639000000.0,3907077000000.0
2050.0,3863963000000.0,3633581000000.0,3667364200000.0,3787879600000.0,3924442200000.0,4128492000000.0,3888560700000.0,3779757900000.0,3910731800000.0,3884249000000.0
2051.0,3819625000000.0,3606257900000.0,3638294200000.0,3760245700000.0,3895878700000.0,4108780600000.0,3867747800000.0,3765355400000.0,3891551500000.0,3851267900000.0
