time,GFDL-CM3,GISS-E2-R,IPSL-CM5A-LR,CANESM2,MPI-ESM-LR,CCSM4,GFDL-ESM2G,NORESM1-M,CNRM-CM5,CSIRO-MK3-6-0
2000.0,156274232976000.0,156274232976000.0,156274232976000.0,156274232976000.0,156274232976000.0,156274232976000.0,156274232976000.0,156274232976000.0,156274232976000.0,156274232976000.0
2001.0,156168383001000.0,156168383001000.0,156168383001000.0,156168383001000.0,156168383001000.0,156168383001000.0,156168383001000.0,156168383001000.0,156168383001000.0,156168383001000.0
2002.0,155979491738000.0,155979491738000.0,155979491738000.0,155979491738000.0,155979491738000.0,155979491738000.0,155979491738000.0,155979491738000.0,155979491738000.0,155979491738000.0
2003.0,155646947290000.0,155646947290000.0,155646947290000.0,155646947290000.0,155646947290000.0,155646947290000.0,155646947290000.0,155646947290000.0,155646947290000.0,155646947290000.0
2004.0,155336778273000.0,155336778273000.0,155336778273000.0,155336778273000.0,155336778273000.0,155336778273000.0,155336778273000.0,155336778273000.0,155336778273000.0,155336778273000.0
2005.0,155088265514000.0,155088265514000.0,155088265514000.0,155088265514000.0,155088265514000.0,155088265514000.0,155088265514000.0,155088265514000.0,155088265514000.0,155088265514000.0
2006.0,154882484219000.0,154882484219000.0,154882484219000.0,154882484219000.0,154882484219000.0,154882484219000.0,154882484219000.0,154882484219000.0,154882484219000.0,154882484219000.0
2007.0,154591040989000.0,154591040989000.0,154591040989000.0,154591040989000.0,154591040989000.0,154591040989000.0,154591040989000.0,154591040989000.0,154591040989000.0,154591040989000.0
2008.0,154189262043000.0,154189262043000.0,154189262043000.0,154189262043000.0,154189262043000.0,154189262043000.0,154189262043000.0,154189262043000.0,154189262043000.0,154189262043000.0
2009.0,153922605107000.0,153922605107000.0,153922605107000.0,153922605107000.0,153922605107000.0,153922605107000.0,153922605107000.0,153922605107000.0,153922605107000.0,153922605107000.0
2010.0,153412566460000.0,153412566460000.0,153412566460000.0,153412566460000.0,153412566460000.0,153412566460000.0,153412566460000.0,153412566460000.0,153412566460000.0,153412566460000.0
2011.0,153050340826000.0,153050340826000.0,153050340826000.0,153050340826000.0,153050340826000.0,153050340826000.0,153050340826000.0,153050340826000.0,153050340826000.0,153050340826000.0
2012.0,152694229449000.0,152694229449000.0,152694229449000.0,152694229449000.0,152694229449000.0,152694229449000.0,152694229449000.0,152694229449000.0,152694229449000.0,152694229449000.0
2013.0,152376499136000.0,152376499136000.0,152376499136000.0,152376499136000.0,152376499136000.0,152376499136000.0,152376499136000.0,152376499136000.0,152376499136000.0,152376499136000.0
2014.0,152040055618000.0,152040055618000.0,152040055618000.0,152040055618000.0,152040055618000.0,152040055618000.0,152040055618000.0,152040055618000.0,152040055618000.0,152040055618000.0
2015.0,151870052870000.0,151870052870000.0,151870052870000.0,151870052870000.0,151870052870000.0,151870052870000.0,151870052870000.0,151870052870000.0,151870052870000.0,151870052870000.0
2016.0,151581887798000.0,151581887798000.0,151581887798000.0,151581887798000.0,151581887798000.0,151581887798000.0,151581887798000.0,151581887798000.0,151581887798000.0,151581887798000.0
2017.0,151162958956000.0,151162958956000.0,151162958956000.0,151162958956000.0,151162958956000.0,151162958956000.0,151162958956000.0,151162958956000.0,151162958956000.0,151162958956000.0
2018.0,150748186826000.0,150748186826000.0,150748186826000.0,150748186826000.0,150748186826000.0,150748186826000.0,150748186826000.0,150748186826000.0,150748186826000.0,150748186826000.0
2019.0,150492631014000.0,150492631014000.0,150492631014000.0,150492631014000.0,150492631014000.0,150492631014000.0,150492631014000.0,150492631014000.0,150492631014000.0,150492631014000.0
2020.0,150049407322000.0,150049407322000.0,150049407322000.0,150049407322000.0,150049407322000.0,150049407322000.0,150049407322000.0,150049407322000.0,150049407322000.0,150049407322000.0
2021.0,149567650286000.0,149588185485000.0,149494674345000.0,149692162560000.0,149490290656000.0,149698133059000.0,149629985179000.0,149727881536000.0,149732847758000.0,149464661988000.0
2022.0,149163842082000.0,149226557719000.0,149190789412000.0,149178629892000.0,149237180525000.0,149326954775000.0,149376760553000.0,149154164700000.0,149263378797000.0,148818715237000.0
2023.0,148707187134000.0,148783567039000.0,148934488616000.0,148754851332000.0,148685445943000.0,148957364179000.0,148951904417000.0,148685032481000.0,148633151173000.0,148424499350000.0
2024.0,148164122759000.0,148180074804000.0,148397022578000.0,148363607800000.0,148163461107000.0,148291600287000.0,148530606512000.0,148180351509000.0,148232485909000.0,148074839418000.0
2025.0,147632528677000.0,147764165415000.0,147972462132000.0,147795537607000.0,147731321615000.0,147803113914000.0,148121163910000.0,147560366033000.0,147717088371000.0,147472541208000.0
2026.0,147089055502000.0,147396776732000.0,147414108033000.0,147434513386000.0,147359672593000.0,147302834857000.0,147625260886000.0,146963033742000.0,147357445090000.0,146948273945000.0
2027.0,146423144584000.0,146929635576000.0,146840511060000.0,146868886667000.0,146672909435000.0,146704391067000.0,147072249205000.0,146199021436000.0,146890806220000.0,146491866743000.0
2028.0,145577932776000.0,146491869530000.0,146243787179000.0,146162428550000.0,146210634991000.0,145969922804000.0,146697965730000.0,145634474410000.0,146414054594000.0,146001133161000.0
2029.0,144833466423000.0,145986344320000.0,145744988227000.0,145496263513000.0,145701679086000.0,145290354582000.0,146097095192000.0,144854036475000.0,145881149689000.0,145621128541000.0
2030.0,144106577656000.0,145484929468000.0,145230788384000.0,145122004153000.0,145265303568000.0,144796715403000.0,145760548892000.0,144028395352000.0,145098147397000.0,145227728873000.0
2031.0,143298386308000.0,145157257938000.0,144663781320000.0,144426938608000.0,144798043997000.0,144295886558000.0,145210390309000.0,143435800179000.0,144482310087000.0,144934069137000.0
2032.0,142499120960000.0,144548402424000.0,144152845181000.0,143661185682000.0,144351404816000.0,143730114292000.0,144826553367000.0,142815287033000.0,143766350330000.0,144492590692000.0
2033.0,141944684527000.0,143985753076000.0,143497999689000.0,142888114663000.0,143740303279000.0,142954995453000.0,144313902602000.0,142162859804000.0,143072212247000.0,144039478270000.0
2034.0,141358981608000.0,143450362527000.0,142742381512000.0,142041008931000.0,142940781524000.0,142419991030000.0,143786506170000.0,141408039024000.0,142316310692000.0,143500643983000.0
2035.0,140759120905000.0,142944724927000.0,141896371822000.0,141437596531000.0,142517919688000.0,141686436859000.0,142979700321000.0,140694533952000.0,141739804108000.0,142914455604000.0
2036.0,139817047400000.0,142440351278000.0,141026230445000.0,140849563564000.0,142068809650000.0,141060954147000.0,142483391512000.0,139925795610000.0,141055263668000.0,142310563479000.0
2037.0,138988278184000.0,141951547741000.0,140104260591000.0,140084613259000.0,141580362281000.0,140306108833000.0,141850558616000.0,139031649101000.0,140253008176000.0,141692701819000.0
2038.0,138201173214000.0,141409151812000.0,139294459605000.0,139286661580000.0,140836281657000.0,139367423431000.0,141316205120000.0,138375608022000.0,139497129037000.0,141015421658000.0
2039.0,137476081116000.0,140906533794000.0,138417583449000.0,138565090229000.0,140273831370000.0,138730740438000.0,140633509200000.0,137611794113000.0,138867410066000.0,140379707015000.0
2040.0,136603653185000.0,140323228740000.0,137684620037000.0,137790709857000.0,139734029838000.0,138122433685000.0,140150118170000.0,136920432649000.0,138060706708000.0,139627252883000.0
2041.0,135787070487000.0,139657166689000.0,137079134968000.0,137101731296000.0,139105864222000.0,137499588832000.0,139458802651000.0,136242476698000.0,137278028770000.0,138924676966000.0
2042.0,134902418879000.0,139026135729000.0,136421803103000.0,136345638439000.0,138502119462000.0,136870397404000.0,138946310491000.0,135753193391000.0,136398084336000.0,138075339131000.0
2043.0,134043829771000.0,138399423259000.0,135475379110000.0,135416388461000.0,137888367138000.0,136199895466000.0,138503583825000.0,134975757099000.0,135421777744000.0,137418554517000.0
2044.0,133135510127000.0,137716667670000.0,134415694526000.0,134618294556000.0,136900487588000.0,135409936875000.0,137980440129000.0,134288177095000.0,134509898331000.0,136768214915000.0
2045.0,132182009311000.0,136919844677000.0,133423450931000.0,133741639518000.0,136145046850000.0,134622843053000.0,137329102894000.0,133335500646000.0,133608829588000.0,135757575187000.0
2046.0,131155279603000.0,136267568454000.0,132360214110000.0,132567087976000.0,135370113246000.0,133920965557000.0,136830164675000.0,132660092189000.0,132859021015000.0,134960682482000.0
2047.0,130236168615000.0,135642293239000.0,131345536760000.0,131600462597000.0,134525688336000.0,133215346803000.0,136344215174000.0,131754775941000.0,132047740022000.0,134160168028000.0
2048.0,129182592819000.0,135023221885000.0,130517255414000.0,130534006858000.0,133807403451000.0,132545893918000.0,135667173757000.0,130990072169000.0,131054085054000.0,133279859505000.0
2049.0,128134173129000.0,134222694798000.0,129454777413000.0,129481786780000.0,132916940219000.0,131700816727000.0,135233275680000.0,130097132100000.0,130203664350000.0,132565145098000.0
2050.0,127145800434000.0,133506287266000.0,128449344944000.0,128557836811000.0,132166503767000.0,131026206428000.0,134550276773000.0,129348094495000.0,129298175050000.0,131957912891000.0
2051.0,126277235090000.0,132855766313000.0,127359093579000.0,127752234742000.0,131231659812000.0,130087026700000.0,133817571759000.0,128404209546000.0,128335241970000.0,131342586663000.0
2052.0,125293155158000.0,132204604710000.0,126296927444000.0,126823693325000.0,130419248037000.0,129206107394000.0,133129630141000.0,127517337827000.0,127501217379000.0,130629004991000.0
2053.0,124355850839600.0,131382800825000.0,125339974750000.0,125801988436000.0,129627373251000.0,128163801032000.0,132546136622000.0,126537262481000.0,126789074728000.0,129755707892000.0
2054.0,123355882444000.0,130752626022000.0,124135891060000.0,124779188360000.0,128714351547000.0,127332046677000.0,131951175215000.0,125561769646000.0,125827913918000.0,128893561628000.0
2055.0,122530157329500.0,130096273111000.0,123102831055000.0,123790502084000.0,128108015611000.0,126584939500000.0,131214804743000.0,124746392047000.0,124954674179000.0,128103528064000.0
2056.0,121637220394000.0,129432300483000.0,121909703279000.0,122678661318000.0,127413828143000.0,125756214950000.0,130520618834000.0,123844352302000.0,123720342312000.0,127194034940000.0
2057.0,120536841544600.0,128888218786000.0,120765691589000.0,121659478186000.0,126533742995000.0,124845787393000.0,129841098885000.0,122817918333000.0,122599644871000.0,126470004129000.0
2058.0,119440570116000.0,128233623822000.0,119654815332000.0,120766587235000.0,125848373729000.0,123789926912000.0,128983446745000.0,121938537193000.0,121043310108000.0,125530730062500.0
2059.0,118304900923900.0,127782562451000.0,118366299380600.0,119567829616300.0,125092095496000.0,122848546847000.0,128297456639000.0,121033767551000.0,119916797637000.0,124716805924500.0
2060.0,117328321447700.0,127053361483000.0,117085825933300.0,118449439394400.0,124324363609000.0,122006352752000.0,127668963364000.0,120169039360000.0,118583679026000.0,123903347687000.0
2061.0,116329245460600.0,126252087001000.0,115871646628000.0,117372011986600.0,123518951462000.0,121178532489000.0,126997569511000.0,119210274195000.0,117455392983000.0,123072623082400.0
2062.0,115308021238000.0,125650476707000.0,114745109391000.0,116168547457000.0,122498755961000.0,120101867992000.0,126350248555000.0,118190291600000.0,116118028020000.0,121895221115300.0
2063.0,114335499663900.0,124878565690000.0,113575903992000.0,115065824148000.0,121503320412000.0,118989829770000.0,125739712186000.0,117180839520000.0,114912960293000.0,121132224564500.0
2064.0,112975095187600.0,124093730388000.0,112224904479500.0,113896128137000.0,120572103935600.0,117801273051400.0,125013919337000.0,116085499159400.0,113461862022000.0,120258954032700.0
2065.0,111945286511300.0,123397205544000.0,110856814496000.0,112849310623000.0,119708262567600.0,116704307762400.0,124404331957000.0,114919778587000.0,112250148206000.0,119349565991800.0
2066.0,110994279786200.0,122551949478000.0,109593768345700.0,111694612597500.0,118864857078000.0,115580487189000.0,123741967423000.0,113899263177000.0,111055729259000.0,118553154442300.0
2067.0,109852203569100.0,121925906600000.0,108262151274600.0,110816593753400.0,117905594627000.0,114661681760400.0,122876541555000.0,112832255670000.0,109747974459000.0,117361072524400.0
2068.0,108594529049400.0,121300529515000.0,106995270633200.0,109525164833600.0,116911842330500.0,113627269252700.0,122310420510000.0,111758421401000.0,108394250663000.0,116286131544300.0
2069.0,107454091587200.0,120581822017000.0,105783054479400.0,107947797042200.0,115791289985000.0,112498429181400.0,121760823786000.0,110483500793400.0,107047894041000.0,115105747773900.0
2070.0,106441837368100.0,119851704380000.0,104735289727200.0,106845318837400.0,114866201283700.0,111361578428600.0,121053288374000.0,109494560641000.0,105640616160000.0,114071478762000.0
2071.0,105236231161500.0,119242540044000.0,103555417735500.0,105657559998000.0,113907055517000.0,110178954525400.0,120442958010000.0,108375649196000.0,104415977343000.0,112889599519400.0
2072.0,104084873493500.0,118678798710000.0,102177755625200.0,104441936948300.0,112878866961600.0,108943108032700.0,119843128551000.0,107224378947000.0,103175954220000.0,111882258134700.0
2073.0,103067303706000.0,118037687561000.0,100915164421100.0,103055059793100.0,111978795091300.0,107900089729000.0,119052846732000.0,106067877935300.0,101792508761000.0,110804009454000.0
2074.0,102103758858300.0,117279935159000.0,99686109809900.0,101791513676000.0,111023625604000.0,106776966752500.0,118354714015600.0,104781721344800.0,100491324748000.0,109698216714200.0
2075.0,100983288746400.0,116504330635000.0,98697487768400.0,100470604138300.0,109999924315000.0,105761044245800.0,117571477398400.0,103593534500400.0,99195363057000.0,108565062974700.0
2076.0,99855978391500.0,115834759374000.0,97410878330900.0,99361711723500.0,109010864276300.0,104385435733000.0,116624850432700.0,102312665047000.0,97892804006000.0,107380471156500.0
2077.0,98697612892200.0,115001211652000.0,96247618938200.0,98076772680600.0,107919769086700.0,103225138030400.0,115762921698000.0,101060593767400.0,96467539223000.0,106253190864930.0
2078.0,97558061279300.0,114147776595000.0,95005658878900.0,96823699907300.0,106954795221500.0,102074942108300.0,114928233110700.0,99843573678900.0,95109094603000.0,105149364759100.0
2079.0,96467595497640.0,113280743558000.0,93900237328300.0,95530931214000.0,105857150563300.0,100750156432600.0,114208517723000.0,98577078287400.0,93550202539000.0,103968921898470.0
2080.0,95348653376200.0,112360015754000.0,92679531029300.0,94152558079900.0,104777013564300.0,99128910690000.0,113244652207500.0,97315400025300.0,92116804644300.0,102594106512040.0
2081.0,94231683472800.0,111555196274000.0,91621724963000.0,92819159038300.0,103789997299700.0,97938294585800.0,112442796108500.0,96281077283800.0,90616496104400.0,101362627178860.0
2082.0,93121939083890.0,110635430989000.0,90579243814700.0,91569968022600.0,102736725091400.0,96532425809100.0,111633723225300.0,95221708933400.0,89116062544000.0,100074238873100.0
2083.0,92021272939440.0,109854256325000.0,89586957651100.0,90357018234000.0,101638286499300.0,95183621079600.0,110902297100500.0,94116360995400.0,87529862240900.0,98892892981900.0
2084.0,90816289759700.0,109168701213700.0,88314154778900.0,88910896402400.0,100455233454800.0,93721357637100.0,110056173508700.0,92846503644900.0,86158938820100.0,97551119000300.0
2085.0,89612255335260.0,108322564940500.0,86824603136600.0,87604403273500.0,99141585365000.0,92297567193500.0,109324950270400.0,91662502342600.0,84549470144100.0,96230420236960.0
2086.0,88541746849790.0,107699439516600.0,85363858802000.0,86134779177600.0,98181845411800.0,91035753556900.0,108651646485700.0,90446007304500.0,83238284256300.0,94981509061600.0
2087.0,87448531444270.0,107103637830300.0,84361929663600.0,84812892481500.0,97028660711300.0,89519038043800.0,107852858194300.0,89262369089000.0,81709818692400.0,93861542611740.0
2088.0,86337995977400.0,106422412496500.0,83294785963700.0,83512434601060.0,95824460077900.0,88069726069300.0,106855814553900.0,87977583957600.0,80312179016200.0,92532920206200.0
2089.0,85241414115400.0,105755422740100.0,82122223133000.0,82222155437660.0,94506402242000.0,86485647106300.0,105869028877400.0,86615740663700.0,78919317819600.0,91243370968600.0
2090.0,84121642813500.0,104994280554700.0,80944833944900.0,80839332702800.0,93397775314400.0,85039785480600.0,105040380512400.0,85438053012500.0,77383344136500.0,89758914716000.0
2091.0,82981587050330.0,104207101564100.0,79800857162400.0,79273069321450.0,92456150600000.0,83496952724800.0,103984981736600.0,84236575468000.0,75825407507000.0,88255605469900.0
2092.0,81910946186770.0,103436232683800.0,78522161411130.0,77973500687840.0,91345179828500.0,82129785670500.0,103156675696300.0,83046130913100.0,74355655565400.0,86668720842800.0
2093.0,80918878303750.0,102457328430100.0,77362124862440.0,76505689562100.0,90322000779800.0,80646552399000.0,102240767737300.0,81938979205400.0,73094193656000.0,85311309195020.0
2094.0,79833312076480.0,101630257605900.0,76126910416150.0,75051971501960.0,89348638724400.0,79096070490800.0,101423995088800.0,80894597249600.0,71659737957400.0,83788258523550.0
2095.0,78576897426100.0,100690172881500.0,74926732186460.0,73652203127700.0,88263144427200.0,77822476093100.0,100514514240400.0,79717913234700.0,70208029931400.0,82382740902900.0
2096.0,77435976895870.0,99940172573300.0,73870539160000.0,72326154971420.0,87134274700500.0,76403609898000.0,99656247107000.0,78559730298600.0,68648309548700.0,80876358862170.0
2097.0,76330678463820.0,99167371873000.0,72803150235000.0,71132258306800.0,86091581272500.0,75139001608200.0,98565922063800.0,77273574546000.0,67146600652800.0,79389173350540.0
2098.0,75265772979060.0,98348384951000.0,71538960502430.0,69841390352800.0,85074277250100.0,73906620608600.0,97542670434600.0,75920116553600.0,65915874832900.0,78075749632930.0
