time,CANESM5,MRI-ESM2-0,IPSL-CM6A-LR,CESM2-WACCM
2000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0
2001.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0
2002.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0
2003.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0
2004.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0
2005.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0
2006.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0
2007.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0
2008.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0
2009.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0
2010.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0
2011.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0
2012.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0
2013.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0
2014.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0
2015.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0
2016.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0
2017.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0
2018.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0
2019.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0
2020.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0
2021.0,18061280000000.0,18116890000000.0,18082720000000.0,18058456000000.0
2022.0,17996469000000.0,18057510000000.0,17935305000000.0,17843990000000.0
2023.0,17868924000000.0,17894539000000.0,17826614000000.0,17686782000000.0
2024.0,17752155000000.0,17762294000000.0,17723906000000.0,17545245000000.0
2025.0,17690639000000.0,17619210000000.0,17541521000000.0,17384955000000.0
2026.0,17649870000000.0,17512830000000.0,17454770000000.0,17208508000000.0
2027.0,17540803000000.0,17414792000000.0,17371471000000.0,16988928000000.0
2028.0,17481016000000.0,17348349000000.0,17222463000000.0,16759327000000.0
2029.0,17335302000000.0,17209693000000.0,17058953000000.0,16632641000000.0
2030.0,17204788000000.0,17162242000000.0,16860012000000.0,16542683000000.0
2031.0,17067382000000.0,16918730000000.0,16602346000000.0,16422377000000.0
2032.0,16878818000000.0,16765899000000.0,16489332000000.0,16314994000000.0
2033.0,16785873000000.0,16623825000000.0,16406717000000.0,16191520000000.0
2034.0,16616790000000.0,16550901000000.0,16300747000000.0,16001278000000.0
2035.0,16496014000000.0,16502610000000.0,16221505000000.0,15793034000000.0
2036.0,16359557000000.0,16400329000000.0,16136868000000.0,15659567000000.0
2037.0,16174974000000.0,16285662000000.0,15992627000000.0,15474549000000.0
2038.0,16104486000000.0,16052112000000.0,15809327000000.0,15232407000000.0
2039.0,15993559000000.0,15853997000000.0,15687562000000.0,15091863000000.0
2040.0,15807077000000.0,15630336000000.0,15499136000000.0,15019444000000.0
2041.0,15682371000000.0,15422952000000.0,15317571000000.0,14816806000000.0
2042.0,15464754000000.0,15214930000000.0,15150045000000.0,14548882000000.0
2043.0,15305092000000.0,15046933000000.0,14937451000000.0,14373954000000.0
2044.0,15152371000000.0,14925061000000.0,14771381000000.0,14175378000000.0
2045.0,15035789000000.0,14756439000000.0,14560190000000.0,13961432000000.0
2046.0,14850263000000.0,14672882000000.0,14367617000000.0,13734857000000.0
2047.0,14684039000000.0,14538367000000.0,14195233000000.0,13525663000000.0
2048.0,14504007000000.0,14388081000000.0,14098792000000.0,13277968000000.0
2049.0,14416812000000.0,14282446000000.0,13884187000000.0,13039668000000.0
2050.0,14284061000000.0,14036151000000.0,13635560000000.0,12859944000000.0
2051.0,14141147000000.0,13861797000000.0,13457078000000.0,12657962000000.0
2052.0,13931310000000.0,13797175000000.0,13255971000000.0,12374172000000.0
2053.0,13730564000000.0,13670358000000.0,13165476000000.0,12105973000000.0
2054.0,13629994000000.0,13540312000000.0,13013729000000.0,11907577000000.0
2055.0,13446668000000.0,13390109000000.0,12829443000000.0,11676862000000.0
2056.0,13311027000000.0,13248986000000.0,12642238000000.0,11372396000000.0
2057.0,13115186000000.0,13082546000000.0,12524967000000.0,11063050000000.0
2058.0,12885340000000.0,12925516000000.0,12275186000000.0,10798000000000.0
2059.0,12661511000000.0,12812845000000.0,12088123000000.0,10614354000000.0
2060.0,12411067000000.0,12684564000000.0,11946339000000.0,10433418000000.0
2061.0,12239282000000.0,12548643000000.0,11779851000000.0,10251318000000.0
2062.0,12056333000000.0,12413752000000.0,11574590000000.0,10032791000000.0
2063.0,11815957000000.0,12300275000000.0,11379569000000.0,9821611000000.0
2064.0,11641055000000.0,12130481000000.0,11266692000000.0,9622310000000.0
2065.0,11471830000000.0,12035784000000.0,11066164000000.0,9452443000000.0
2066.0,11277747000000.0,11953321000000.0,10973646000000.0,9313424000000.0
2067.0,11140722000000.0,11811078000000.0,10893403000000.0,9194082000000.0
2068.0,11010399000000.0,11763910000000.0,10768139000000.0,9071613000000.0
2069.0,10860812000000.0,11664449000000.0,10583705000000.0,8869199000000.0
2070.0,10685404000000.0,11653092000000.0,10504963000000.0,8727015500000.0
2071.0,10566328000000.0,11562870000000.0,10426922000000.0,8559156300000.0
2072.0,10424437000000.0,11386189000000.0,10236126000000.0,8396812600000.0
2073.0,10314045000000.0,11284833000000.0,10126324000000.0,8197095600000.0
2074.0,10181625000000.0,11200813000000.0,9994499000000.0,8043519500000.0
2075.0,10060052000000.0,11119767000000.0,9817251000000.0,7930976400000.0
2076.0,9891258000000.0,11020622000000.0,9690617000000.0,7827467000000.0
2077.0,9742449000000.0,10908676000000.0,9639227000000.0,7673063000000.0
2078.0,9642036000000.0,10842188000000.0,9559917000000.0,7516109000000.0
2079.0,9548290000000.0,10736270000000.0,9412393000000.0,7369948000000.0
2080.0,9484470000000.0,10592914000000.0,9347336000000.0,7236249000000.0
2081.0,9354370000000.0,10527899000000.0,9308982000000.0,7146066000000.0
2082.0,9279385000000.0,10391401000000.0,9171729000000.0,7029906000000.0
2083.0,9173049000000.0,10336002000000.0,9038169000000.0,6910103000000.0
2084.0,9059778000000.0,10285883000000.0,8965219000000.0,6836615000000.0
2085.0,9011605000000.0,10215644000000.0,8925603000000.0,6696235700000.0
2086.0,8966189000000.0,10162318000000.0,8864862000000.0,6618477000000.0
2087.0,8885965000000.0,10082680000000.0,8757671000000.0,6507877400000.0
2088.0,8713894000000.0,10010545000000.0,8675577000000.0,6376035000000.0
2089.0,8634934000000.0,9952527000000.0,8609718000000.0,6344204600000.0
2090.0,8545802600000.0,9943992000000.0,8557018000000.0,6305947300000.0
2091.0,8497495000000.0,9956881000000.0,8478895000000.0,6223457400000.0
2092.0,8459416000000.0,9897072000000.0,8395116500000.0,6161934000000.0
2093.0,8402450000000.0,9856938000000.0,8343805500000.0,6140973000000.0
2094.0,8328270300000.0,9802998000000.0,8323108700000.0,6095508600000.0
2095.0,8248828000000.0,9786610000000.0,8233519400000.0,6053289300000.0
2096.0,8204572000000.0,9767090000000.0,8178812000000.0,6024137000000.0
2097.0,8190469600000.0,9735318000000.0,8168054000000.0,5990991300000.0
2098.0,8169946000000.0,9708100000000.0,8105825400000.0,5994721600000.0
2099.0,8113061000000.0,9684330000000.0,8055170000000.0,5958979000000.0
2100.0,8031118600000.0,9672528000000.0,8021953000000.0,5903611000000.0
