time,GFDL-ESM4,MRI-ESM2-0,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,NORESM2-MM,CESM2,MPI-ESM1-2-HR,CAMS-CSM1-0,CESM2-WACCM,INM-CM4-8,INM-CM5-0,EC-EARTH3
2000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0
2001.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0
2002.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0
2003.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0
2004.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0
2005.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0
2006.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0
2007.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0
2008.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0
2009.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0
2010.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0
