time,EC-EARTH3,INM-CM4-8,INM-CM5-0,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,EC-EARTH3-VEG,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,CESM2,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4
2000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0,3794624600000.0
2001.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0,3778000500000.0
2002.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0,3766559000000.0
2003.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0,3763769200000.0
2004.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0,3751591500000.0
2005.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0,3736992700000.0
2006.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0,3729723200000.0
2007.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0,3721733600000.0
2008.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0,3720336000000.0
2009.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0,3700375000000.0
2010.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0,3694385400000.0
2011.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0,3668180000000.0
2012.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0,3669678000000.0
2013.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0,3669200700000.0
2014.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0,3667506800000.0
2015.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0,3654858800000.0
2016.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0,3653219600000.0
2017.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0,3634365200000.0
2018.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0,3615613500000.0
2019.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0,3610738400000.0
2020.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0,3586162200000.0
2021.0,3554959200000.0,3575390100000.0,3564742000000.0,3567910400000.0,3574939300000.0,3556612500000.0,3566403600000.0,3609568000000.0,3569262000000.0,3568341600000.0,3572175500000.0,3567175900000.0,3566377400000.0,3570346800000.0
