time,MRI-ESM2-0,INM-CM5-0,INM-CM4-8,MPI-ESM1-2-HR,EC-EARTH3,CAMS-CSM1-0,CESM2-WACCM,GFDL-ESM4,CMCC-CM2-SR5,NORESM2-MM,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,CESM2
2000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0,308662860000.0
2001.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0,309850870000.0
2002.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0,308222260000.0
2003.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0,302702360000.0
2004.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0,300083380000.0
2005.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0,298332550000.0
2006.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0,298250900000.0
2007.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0,294091650000.0
2008.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0,294983570000.0
2009.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0,294025500000.0
2010.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0,289706400000.0
2011.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0,287324180000.0
2012.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0,286665340000.0
2013.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0,287234900000.0
2014.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0,284290320000.0
2015.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0,280241080000.0
2016.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0,282270920000.0
2017.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0,278696460000.0
2018.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0,278501750000.0
2019.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0,273197190000.0
2020.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0,271084750000.0
2021.0,267663180000.0,266174480000.0,265930830000.0,269234240000.0,269059650000.0,269078320000.0,271585890000.0,268552630000.0,275983900000.0,267463700000.0,266512020000.0,269648330000.0,269337540000.0,267714430000.0
2022.0,262728530000.0,265772860000.0,261093880000.0,267702320000.0,263412480000.0,265314390000.0,269043530000.0,264211460000.0,276378600000.0,265786790000.0,261724780000.0,267794700000.0,267288970000.0,263983460000.0
2023.0,260350790000.0,262434300000.0,261272110000.0,261653610000.0,260377890000.0,262158140000.0,264720240000.0,258746350000.0,273384770000.0,262663780000.0,257336400000.0,264684010000.0,261730960000.0,263518190000.0
2024.0,256756830000.0,259490250000.0,258273310000.0,257344200000.0,256477630000.0,262424020000.0,264144320000.0,253169710000.0,273233840000.0,258914940000.0,255241420000.0,262709200000.0,259709080000.0,260698700000.0
2025.0,252223820000.0,253594090000.0,257865550000.0,254413800000.0,251600500000.0,256568180000.0,259022550000.0,249769070000.0,271779660000.0,254701220000.0,251246530000.0,256772800000.0,258383600000.0,258677260000.0
2026.0,248372970000.0,251255700000.0,255464880000.0,253505570000.0,247623320000.0,249485890000.0,252794220000.0,245477260000.0,267391250000.0,255658480000.0,251152060000.0,254060680000.0,259534590000.0,258260600000.0
2027.0,242103090000.0,247843010000.0,249755810000.0,252858320000.0,241618700000.0,245109570000.0,247803150000.0,239666800000.0,264233650000.0,252305100000.0,245816790000.0,249051370000.0,257566300000.0,257040550000.0
2028.0,239624100000.0,242305220000.0,249620580000.0,250213270000.0,234391370000.0,239282700000.0,244958670000.0,235535420000.0,263407170000.0,252911340000.0,249981290000.0,243254540000.0,257783230000.0,252709600000.0
2029.0,235411440000.0,238360950000.0,244582650000.0,247136700000.0,232838970000.0,237220300000.0,241295400000.0,231794640000.0,256370500000.0,252327400000.0,245475600000.0,235860080000.0,254419730000.0,249843370000.0
2030.0,230594890000.0,236845960000.0,245127840000.0,243774420000.0,226934460000.0,232432660000.0,235725620000.0,228196070000.0,254916050000.0,249520870000.0,241249750000.0,232222640000.0,253515940000.0,245458580000.0
2031.0,229499800000.0,234077470000.0,242735120000.0,238493400000.0,220329400000.0,229955130000.0,231901400000.0,225065200000.0,254923340000.0,245522380000.0,237181270000.0,223998700000.0,251680750000.0,239875670000.0
2032.0,226742670000.0,229607670000.0,236730960000.0,235306250000.0,218391000000.0,225264700000.0,231858000000.0,219783700000.0,255697930000.0,245046170000.0,233539030000.0,217377730000.0,246206450000.0,235902800000.0
2033.0,223714210000.0,222008620000.0,234532930000.0,236772950000.0,213483540000.0,223805460000.0,228765710000.0,216270110000.0,253661840000.0,242522670000.0,226382740000.0,215575720000.0,245584460000.0,232553140000.0
