time,GFDL-ESM4,BCC-CSM2-MR,FGOALS-F3-L,EC-EARTH3-VEG,MRI-ESM2-0,CAMS-CSM1-0,CESM2-WACCM,CESM2,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,EC-EARTH3,NORESM2-MM
2000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0
2001.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0
2002.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0
2003.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0
2004.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0
2005.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0
2006.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0
2007.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0
2008.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0
2009.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0
2010.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0
2011.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0
2012.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0
2013.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0
2014.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0
2015.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0
2016.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0
2017.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0
2018.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0
2019.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0
2020.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0
2021.0,104988610000.0,103408394000.0,103634390000.0,104475880000.0,102981920000.0,104404280000.0,103578550000.0,103718170000.0,103620130000.0,106383794000.0,102469830000.0,103511474000.0,103412210000.0
2022.0,103612470000.0,102159550000.0,102982010000.0,102087565000.0,100340580000.0,102462690000.0,103320150000.0,102323890000.0,102666460000.0,104975090000.0,100544700000.0,100216160000.0,102296140000.0
2023.0,100885910000.0,100676230000.0,100367660000.0,100659134000.0,97716570000.0,100766106000.0,101353630000.0,100629110000.0,102388560000.0,103749660000.0,98754370000.0,98511660000.0,101326275000.0
2024.0,98501200000.0,99913880000.0,97575150000.0,97235575000.0,96975220000.0,100173365000.0,98668030000.0,98168660000.0,101409090000.0,101558720000.0,96654836000.0,95176696000.0,99599160000.0
2025.0,97534770000.0,98555720000.0,96026820000.0,95539130000.0,94837640000.0,99298820000.0,96979485000.0,95812790000.0,100211900000.0,100368010000.0,94408810000.0,91568685000.0,97823110000.0
2026.0,96599155000.0,96554740000.0,93734250000.0,92111370000.0,92735820000.0,97212610000.0,94471480000.0,93823705000.0,98847170000.0,99483750000.0,92932390000.0,88212110000.0,96806330000.0
2027.0,94917050000.0,94464480000.0,92340080000.0,91030530000.0,88964890000.0,96226110000.0,92998900000.0,91200580000.0,96561594000.0,98181734000.0,91328880000.0,84324426000.0,94475440000.0
2028.0,93195640000.0,92358170000.0,90474440000.0,88374260000.0,88185240000.0,94977190000.0,92931320000.0,88589110000.0,93987955000.0,96217190000.0,89096405000.0,81807380000.0,92724830000.0
2029.0,92428640000.0,91199270000.0,89352240000.0,85736620000.0,85987100000.0,94503870000.0,90536800000.0,86161300000.0,92515254000.0,93906820000.0,86877010000.0,77668480000.0,90287325000.0
2030.0,90562180000.0,89421340000.0,87924880000.0,82460200000.0,83726810000.0,94130135000.0,88196520000.0,83953350000.0,91380750000.0,92806365000.0,84967210000.0,72880800000.0,89021500000.0
2031.0,88379210000.0,87628110000.0,85576114000.0,80853220000.0,81464480000.0,91989090000.0,86132910000.0,81860800000.0,89885880000.0,90802200000.0,81903090000.0,69119435000.0,87189365000.0
2032.0,86228750000.0,85924400000.0,82694350000.0,77380860000.0,80297450000.0,90068074000.0,84162290000.0,79423550000.0,88281770000.0,89232470000.0,79253790000.0,66185273000.0,85633730000.0
2033.0,85037300000.0,84031340000.0,80941105000.0,75768050000.0,78100840000.0,86661320000.0,81895090000.0,77732600000.0,87518880000.0,87031914000.0,77578355000.0,63544760000.0,84227195000.0
2034.0,83678800000.0,82545330000.0,78521470000.0,73362735000.0,76450240000.0,85669315000.0,80213656000.0,75887290000.0,85486870000.0,85031870000.0,76731290000.0,59403563000.0,81996235000.0
2035.0,82891620000.0,80743000000.0,76093790000.0,70269370000.0,74299690000.0,84144505000.0,78667560000.0,73933136000.0,83940760000.0,83203424000.0,75373535000.0,55994050000.0,80031490000.0
2036.0,81038295000.0,77970700000.0,73989930000.0,67753087000.0,70788610000.0,82481775000.0,77202400000.0,71353885000.0,81977520000.0,80510340000.0,73593040000.0,52767924000.0,78953160000.0
2037.0,80998250000.0,76297380000.0,71681570000.0,65868857000.0,67092165000.0,81160740000.0,75275300000.0,69173470000.0,79557940000.0,78108730000.0,70822500000.0,49309323000.0,77513650000.0
2038.0,79638070000.0,75457315000.0,69410100000.0,63365546000.0,64986542000.0,79888760000.0,74022530000.0,67115510000.0,77458900000.0,75661430000.0,69189450000.0,46492713000.0,74205040000.0
2039.0,77540570000.0,73698830000.0,67387548000.0,60492653000.0,61646574000.0,79596720000.0,72201400000.0,64572277000.0,74913490000.0,73208540000.0,67137290000.0,44332147000.0,72094040000.0
2040.0,76468200000.0,72364655000.0,65859953000.0,58565403000.0,60068710000.0,79523660000.0,70414580000.0,62113680000.0,72224604000.0,71261405000.0,65077410000.0,42542723000.0,70549520000.0
2041.0,74767835000.0,70035350000.0,63689294000.0,56748863000.0,57253134000.0,77256475000.0,67737830000.0,59764030000.0,69651750000.0,68971320000.0,62580486000.0,40364564000.0,68288246000.0
2042.0,73141340000.0,67467977000.0,62034160000.0,54308717000.0,54972750000.0,76101165000.0,65953150000.0,58542215000.0,68909100000.0,66798730000.0,60666917000.0,38085660000.0,66327912000.0
2043.0,71652380000.0,65526956000.0,60925473000.0,52429280000.0,52847047000.0,74937530000.0,63777026000.0,56721252000.0,67519414000.0,65104757000.0,57972990000.0,36285022000.0,64647610000.0
2044.0,70265954000.0,63253697000.0,58682150000.0,50720690000.0,50153742000.0,73498610000.0,61949960000.0,54588813000.0,65506500000.0,62856266000.0,55885988000.0,34544312000.0,62282617000.0
2045.0,69725495000.0,60376183000.0,56619426000.0,48583434000.0,48484790000.0,73383710000.0,60308574000.0,53167055000.0,64464232000.0,60674314000.0,53686370000.0,33231018000.0,60063388000.0
2046.0,67562942000.0,58453680000.0,54828716000.0,45863522000.0,46144500000.0,72555180000.0,58407854000.0,51004840000.0,63685845000.0,58265645000.0,52582230000.0,31346342000.0,57671156000.0
2047.0,66347237000.0,56519720000.0,52747743000.0,44634178000.0,44554190000.0,71304470000.0,56411873000.0,48462655000.0,62251786000.0,55930150000.0,50495287000.0,30106480000.0,55635150000.0
2048.0,64121190000.0,55503163000.0,51018506000.0,42920133000.0,43075994000.0,70133790000.0,55413654000.0,46945740000.0,60529980000.0,53634298000.0,48335300000.0,28869796000.0,54319700000.0
2049.0,62318555000.0,53910570000.0,50008630000.0,40537256000.0,40962120000.0,68437770000.0,53438976000.0,44723393000.0,59430060000.0,51738860000.0,47122223000.0,27057360000.0,52992370000.0
2050.0,60150874000.0,52261036000.0,47881794000.0,38940410000.0,39607800000.0,66845962000.0,51595428000.0,42699543000.0,58547757000.0,49970590000.0,45035155000.0,26155313000.0,50899100000.0
2051.0,59098610000.0,50199986000.0,45875140000.0,37905162000.0,37938893000.0,65244120000.0,49394717000.0,41006500000.0,56184520000.0,48642230000.0,43634115000.0,25297830000.0,48856437000.0
2052.0,57922450000.0,48032424000.0,44380754000.0,35564462000.0,36243296000.0,64194548000.0,48051420000.0,39772340000.0,54116760000.0,47493310000.0,42114920000.0,24042508000.0,47057514000.0
2053.0,56597553000.0,45680284000.0,42861480000.0,33975943000.0,35150860000.0,62221316000.0,45997520000.0,38102500000.0,51996176000.0,46032130000.0,40047763000.0,22616870000.0,45164090000.0
