time,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0,CANESM5
2000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0
2001.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0
2002.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0
2003.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0
2004.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0
2005.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0
2006.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0
2007.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0
2008.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0
2009.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0
2010.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0
2011.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0
2012.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0
2013.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0
2014.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0
2015.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0
2016.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0
2017.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0
2018.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0
2019.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0
2020.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0
2021.0,103845224000.0,104290560000.0,103353140000.0,103883830000.0
2022.0,103719666000.0,102271700000.0,100629030000.0,101525450000.0
2023.0,102370440000.0,101078710000.0,97586710000.0,99342880000.0
2024.0,100939140000.0,98112720000.0,95483020000.0,97580140000.0
2025.0,99042720000.0,96884015000.0,92163020000.0,95130560000.0
2026.0,95871420000.0,94436840000.0,88488590000.0,92577350000.0
2027.0,93367670000.0,92309330000.0,85070045000.0,90209820000.0
2028.0,90656790000.0,89142346000.0,82286480000.0,87724320000.0
2029.0,88513340000.0,86725940000.0,78769200000.0,84701660000.0
2030.0,86438350000.0,84256500000.0,76389250000.0,81736974000.0
2031.0,84764040000.0,82114560000.0,73630490000.0,78494210000.0
2032.0,82884600000.0,80616284000.0,69960030000.0,75190960000.0
2033.0,81290240000.0,78045080000.0,67008635000.0,72003100000.0
2034.0,78242234000.0,74686235000.0,64399970000.0,69119975000.0
2035.0,75463160000.0,71317160000.0,61665980000.0,67203015000.0
2036.0,72741160000.0,69084690000.0,60172222000.0,64931230000.0
2037.0,69804430000.0,67036950000.0,57600442000.0,61318180000.0
2038.0,68008610000.0,65258760000.0,54271173000.0,57998512000.0
2039.0,65657987000.0,62628483000.0,50924306000.0,55801913000.0
2040.0,62902743000.0,59848155000.0,48727920000.0,53134758000.0
2041.0,60570000000.0,56175153000.0,47418980000.0,50777650000.0
2042.0,57789090000.0,54037086000.0,44381280000.0,48107307000.0
2043.0,55092780000.0,51370640000.0,41988690000.0,45305140000.0
2044.0,52938404000.0,49197140000.0,40522187000.0,42373270000.0
2045.0,50565878000.0,46151650000.0,38531130000.0,40142483000.0
2046.0,47862645000.0,43595620000.0,36777560000.0,37930040000.0
2047.0,45606650000.0,41452958000.0,35789070000.0,35651793000.0
2048.0,43212800000.0,39480180000.0,34510995000.0,33617787000.0
2049.0,41014534000.0,37270050000.0,33214296000.0,31932426000.0
2050.0,38968990000.0,35484828000.0,31867620000.0,29877352000.0
2051.0,37075320000.0,33202450000.0,30314467000.0,28085328000.0
2052.0,35071308000.0,31403962000.0,29551870000.0,26925144000.0
2053.0,33164520000.0,30027088000.0,28534931000.0,25640450000.0
2054.0,31643960000.0,28525990000.0,27527471000.0,24059110000.0
2055.0,30384273000.0,26789728000.0,26434808000.0,23169468000.0
2056.0,29067233000.0,25564110000.0,25759855000.0,21727814000.0
2057.0,27619484000.0,24402532000.0,25133486000.0,20890591000.0
2058.0,26133418000.0,23263396000.0,24044796000.0,19820866000.0
2059.0,24576449000.0,22160165000.0,23301763000.0,18720430000.0
2060.0,23545553000.0,21144033000.0,22602172000.0,17861126000.0
2061.0,22755305000.0,20394795000.0,21879250000.0,17083754000.0
2062.0,22210333000.0,19415914000.0,21363243000.0,16303456000.0
2063.0,21491180000.0,18546608000.0,20949127000.0,15845879000.0
2064.0,20644639000.0,17960340000.0,20579748000.0,15171486000.0
2065.0,20027589000.0,17144470000.0,19957020000.0,14385100000.0
2066.0,19429947000.0,16498410000.0,19494590000.0,13837480000.0
2067.0,18808291000.0,15917429000.0,19098000000.0,13319101000.0
2068.0,18141577000.0,15244552000.0,18805596000.0,13055172000.0
2069.0,17589901000.0,14491503000.0,18172617000.0,12511192000.0
2070.0,17056080000.0,13869653000.0,17891957000.0,12120228000.0
2071.0,16573179000.0,13311183000.0,17480483000.0,11837818000.0
2072.0,16391112000.0,12899941000.0,17338526000.0,11776044000.0
2073.0,16336215000.0,12555452000.0,17012683000.0,11488545000.0
2074.0,15997807000.0,12296776000.0,16865280000.0,11420686000.0
2075.0,15879391000.0,12046755000.0,16681487000.0,11152908000.0
2076.0,15746980000.0,11786998000.0,16431666000.0,11058686000.0
2077.0,15485546000.0,11583643000.0,16211892000.0,10924650000.0
2078.0,15180905000.0,11457455000.0,16432068000.0,10879048000.0
2079.0,15031658000.0,11205505000.0,16197136000.0,10665285000.0
2080.0,15023268000.0,10965918000.0,16153162000.0,10571804000.0
2081.0,14981954000.0,10743525000.0,16080308000.0,10577935000.0
2082.0,14833645000.0,10692756000.0,16041527000.0,10555112000.0
2083.0,14683217000.0,10669587000.0,15958191000.0,10512207000.0
2084.0,14396248000.0,10727321000.0,15793388000.0,10464091000.0
2085.0,14220399000.0,10656015000.0,15786399000.0,10351185000.0
2086.0,14089581000.0,10648695000.0,15778326000.0,10410062000.0
2087.0,14030048000.0,10725956000.0,15843756000.0,10368159000.0
2088.0,13751514000.0,10717346000.0,15954894000.0,10319265000.0
2089.0,13669323000.0,10691183000.0,15955952000.0,10306964000.0
2090.0,13655880000.0,10651833000.0,16113713000.0,10289992000.0
2091.0,13538085000.0,10597869000.0,16174808000.0,10170328000.0
2092.0,13447517000.0,10581168000.0,16281959000.0,10148925000.0
2093.0,13352012000.0,10562589000.0,16460029000.0,10179004000.0
2094.0,13341473000.0,10573897000.0,16617036000.0,10277050000.0
2095.0,13414516000.0,10492134000.0,16871210000.0,10300364000.0
2096.0,13375770000.0,10617249000.0,17073693000.0,10307736000.0
2097.0,13477955000.0,10583670000.0,17327501000.0,10288322000.0
2098.0,13516840000.0,10615558000.0,17504570000.0,10325408000.0
2099.0,13628644000.0,10636416000.0,17700798000.0,10365891000.0
2100.0,13744153000.0,10719134000.0,17747687000.0,10361350000.0
