time,NORESM2-MM,IPSL-CM6A-LR,CAMS-CSM1-0,CESM2-WACCM,TAIESM1,ACCESS-ESM1-5,EC-EARTH3,ACCESS-CM2,EC-EARTH3-VEG,INM-CM5-0,INM-CM4-8,BCC-CSM2-MR,FGOALS-F3-L,CANESM5,MRI-ESM2-0,CESM2,GFDL-ESM4,CMCC-CM2-SR5,MPI-ESM1-2-HR
2000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0
2001.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0
2002.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0
2003.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0
2004.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0
2005.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0
2006.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0
2007.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0
2008.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0
2009.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0
2010.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0
2011.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0
2012.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0
2013.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0
2014.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0
