time,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3-VEG,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR,IPSL-CM6A-LR,CANESM5,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,CESM2,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,MPI-ESM1-2-HR
2000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0
2001.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0
2002.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0
2003.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0
2004.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0
2005.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0
2006.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0
2007.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0
2008.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0
2009.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0
2010.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0
2011.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0
2012.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0
2013.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0
2014.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0
2015.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0
2016.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0
2017.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0
2018.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0
2019.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0
2020.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0
2021.0,3074571000000.0,3078325000000.0,3071096400000.0,3086233400000.0,3069847000000.0,3077742000000.0,3093534600000.0,3052771000000.0,3091389200000.0,3056091300000.0,3064001200000.0,3055588700000.0,3063460700000.0,3069949500000.0,3093496600000.0,3063437300000.0,3080093000000.0
2022.0,3045023800000.0,3060091800000.0,3053091800000.0,3061174200000.0,3027417700000.0,3062934500000.0,3085989300000.0,3019983800000.0,3070703000000.0,3026054800000.0,3045086700000.0,3026511500000.0,3040064000000.0,3047785200000.0,3060947700000.0,3050907400000.0,3057441800000.0
2023.0,3010004300000.0,3035451400000.0,3044603900000.0,3020533300000.0,3006406600000.0,3048533700000.0,3074283300000.0,2959985000000.0,3039894200000.0,3014511000000.0,3006853500000.0,2984541200000.0,3006853000000.0,3024107000000.0,3043799600000.0,3024789000000.0,3031082500000.0
2024.0,2968423500000.0,3009492800000.0,3020742000000.0,2993844000000.0,2969353000000.0,3007715000000.0,3048849300000.0,2920679700000.0,3005021000000.0,2970575400000.0,2977429700000.0,2946550500000.0,2966260000000.0,2995499600000.0,3032423300000.0,2981773000000.0,2995944000000.0
