time,MRI-ESM2-0
2000.0,888854540000.0
2001.0,888371700000.0
2002.0,885797700000.0
2003.0,883616900000.0
2004.0,879389400000.0
2005.0,875579800000.0
2006.0,865824740000.0
2007.0,853473950000.0
2008.0,843127850000.0
2009.0,840894200000.0
2010.0,822763300000.0
2011.0,810281100000.0
2012.0,804757900000.0
2013.0,791737800000.0
2014.0,787476000000.0
2015.0,775780760000.0
2016.0,770392400000.0
2017.0,760659640000.0
2018.0,752613650000.0
2019.0,740856760000.0
2020.0,733334340000.0
2021.0,711188940000.0
2022.0,688763630000.0
2023.0,667851360000.0
2024.0,651935000000.0
2025.0,637821500000.0
2026.0,622411640000.0
2027.0,601975200000.0
2028.0,578630400000.0
2029.0,564539200000.0
2030.0,549768100000.0
2031.0,536405740000.0
2032.0,516730800000.0
2033.0,502852940000.0
2034.0,496554020000.0
2035.0,474793800000.0
2036.0,462952630000.0
2037.0,452263380000.0
2038.0,441593000000.0
2039.0,434898040000.0
2040.0,423560100000.0
2041.0,415868500000.0
2042.0,401736400000.0
2043.0,393059830000.0
2044.0,383810140000.0
2045.0,370532200000.0
2046.0,358027850000.0
2047.0,347586530000.0
2048.0,336863700000.0
2049.0,325644120000.0
2050.0,315369500000.0
2051.0,313768150000.0
2052.0,304009640000.0
2053.0,294791020000.0
2054.0,289870150000.0
2055.0,284265500000.0
2056.0,277374470000.0
2057.0,273965200000.0
2058.0,267778850000.0
2059.0,262088340000.0
2060.0,257545860000.0
2061.0,252474250000.0
2062.0,248433510000.0
2063.0,245787670000.0
2064.0,245338310000.0
2065.0,239541930000.0
2066.0,240913380000.0
2067.0,236000970000.0
2068.0,226929180000.0
2069.0,221407310000.0
2070.0,215115830000.0
2071.0,210539460000.0
2072.0,202155490000.0
2073.0,197677240000.0
2074.0,195624120000.0
2075.0,192269320000.0
2076.0,190990070000.0
2077.0,185916870000.0
2078.0,185245830000.0
2079.0,184790970000.0
2080.0,180882820000.0
2081.0,181851100000.0
2082.0,181009120000.0
2083.0,181187410000.0
2084.0,181236650000.0
2085.0,180882780000.0
2086.0,175876130000.0
2087.0,169813380000.0
2088.0,168016180000.0
2089.0,166262260000.0
2090.0,164116090000.0
2091.0,162651830000.0
2092.0,161739800000.0
2093.0,160540360000.0
2094.0,159309230000.0
2095.0,157149280000.0
2096.0,156058140000.0
2097.0,156117840000.0
2098.0,156216460000.0
2099.0,154636630000.0
2100.0,156056300000.0
