time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,CESM2-WACCM
2000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0
2001.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0
2002.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0
2003.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0
2004.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0
2005.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0
2006.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0
2007.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0
2008.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0
2009.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0
2010.0,4980672600000.0,4980672600000.0,4980672600000.0,4980672600000.0
2011.0,4967728000000.0,4967728000000.0,4967728000000.0,4967728000000.0
2012.0,4927068300000.0,4927068300000.0,4927068300000.0,4927068300000.0
2013.0,4902513300000.0,4902513300000.0,4902513300000.0,4902513300000.0
2014.0,4868002000000.0,4868002000000.0,4868002000000.0,4868002000000.0
2015.0,4866311000000.0,4866311000000.0,4866311000000.0,4866311000000.0
2016.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0
2017.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0
2018.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0
2019.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0
2020.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0
2021.0,4670443000000.0,4676608000000.0,4651727000000.0,4641969400000.0
2022.0,4645682000000.0,4635008400000.0,4617664000000.0,4592447000000.0
2023.0,4627563000000.0,4608759000000.0,4595039300000.0,4548849000000.0
2024.0,4622642600000.0,4566399000000.0,4588128000000.0,4508510300000.0
2025.0,4597679700000.0,4538000000000.0,4557378700000.0,4461307600000.0
2026.0,4579642000000.0,4519811400000.0,4508009600000.0,4407961000000.0
2027.0,4564013500000.0,4474292700000.0,4479511000000.0,4390327200000.0
2028.0,4516745300000.0,4422208000000.0,4457035700000.0,4368149000000.0
2029.0,4497339300000.0,4397040700000.0,4420731000000.0,4330753600000.0
2030.0,4468241000000.0,4387592500000.0,4361150300000.0,4306538600000.0
2031.0,4437012000000.0,4358182300000.0,4326388100000.0,4286897200000.0
2032.0,4418343300000.0,4311199000000.0,4282113600000.0,4250226000000.0
2033.0,4410818000000.0,4283196800000.0,4242595000000.0,4221642700000.0
2034.0,4390722700000.0,4261785400000.0,4222813200000.0,4181106000000.0
