time,MPI-ESM1-2-HR,TAIESM1,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0,CESM2,BCC-CSM2-MR,FGOALS-F3-L,INM-CM5-0,INM-CM4-8,EC-EARTH3,CANESM5,EC-EARTH3-VEG,ACCESS-ESM1-5,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,CMCC-CM2-SR5,NORESM2-MM
2000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0
2001.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0
2002.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0
2003.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0
2004.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0
2005.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0
2006.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0
2007.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0
2008.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0
2009.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0
