time,GFDL-ESM2G,NORESM1-M,CSIRO-MK3-6-0,CCSM4,IPSL-CM5A-LR,GISS-E2-R,GFDL-CM3
2000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0
2001.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0
2002.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0
2003.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0
2004.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0
2005.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0
2006.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0
2007.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0
2008.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0
2009.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0
2010.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0
2011.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0
2012.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0
2013.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0
2014.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0
2015.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0
2016.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0
2017.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0
2018.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0
2019.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0
2020.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0
2021.0,14018474000.0,13985774000.0,14017925000.0,13995374000.0,13980717000.0,13957455000.0,13956869000.0
2022.0,13850542000.0,13828610000.0,13832824000.0,13885661000.0,13950768000.0,13910769000.0,13753559000.0
2023.0,13733746000.0,13669053000.0,13702329000.0,13897440000.0,13821814000.0,13849306000.0,13633980000.0
2024.0,13492422000.0,13481677000.0,13584409000.0,13835483000.0,13696301000.0,13721486000.0,13494712000.0
2025.0,13380208000.0,13445910000.0,13509773000.0,13636359000.0,13812779000.0,13599342000.0,13352744000.0
2026.0,13219233000.0,13254036000.0,13357795000.0,13577698000.0,13568753000.0,13500399000.0,13157511000.0
2027.0,13195926000.0,13114274000.0,13280029000.0,13474673000.0,13438677000.0,13405256000.0,12954570000.0
2028.0,13064889000.0,13443033000.0,13380035000.0,13574590000.0,13321193000.0,13291872000.0,12833828000.0
2029.0,13039414000.0,13009599000.0,13037776000.0,13395598000.0,13167405000.0,13131565000.0,12560090000.0
2030.0,12933936000.0,12826448000.0,12971960000.0,13206915000.0,13030033000.0,13011417000.0,12260098000.0
2031.0,12564238000.0,12673930000.0,12779087000.0,13053960000.0,12885774000.0,12922752000.0,12025392000.0
2032.0,12277651000.0,12513939000.0,12631527000.0,12857070000.0,12725185000.0,12835844000.0,11847464000.0
2033.0,12131157000.0,12436727000.0,12495667000.0,12689321000.0,12549396000.0,12836969000.0,11587650000.0
2034.0,12042484000.0,12359895000.0,13125307000.0,12505785000.0,12373565000.0,12671078000.0,11327748000.0
2035.0,11825490000.0,12213566000.0,12729969000.0,12401090000.0,12253080000.0,12455200000.0,11155188000.0
2036.0,11627271000.0,12053791000.0,12456159000.0,12177582000.0,12036967000.0,12310744000.0,10846106000.0
2037.0,11551034000.0,11832995000.0,12289430000.0,12056973000.0,11940873000.0,12293675000.0,10678978000.0
2038.0,11303201000.0,11690522000.0,11946016000.0,11865174000.0,11748721000.0,12206578000.0,10296022000.0
2039.0,11009087000.0,11621662000.0,11695658000.0,11647280000.0,11566817000.0,12189495000.0,10048932000.0
2040.0,10846933000.0,11630283000.0,11687213000.0,11389849000.0,11341840000.0,11917236000.0,9584328000.0
2041.0,10568426000.0,11328183000.0,11452502000.0,11188487000.0,11155228000.0,11798484000.0,9285732000.0
2042.0,10290504000.0,11118761000.0,11330166000.0,10941732000.0,10908184000.0,11668888000.0,9014760000.0
2043.0,10051718000.0,10887119000.0,11108568000.0,10799138000.0,10801981000.0,11465231000.0,8665204000.0
2044.0,9703508000.0,10667701000.0,10942056000.0,10596772000.0,10528458000.0,11276533000.0,8458774500.0
2045.0,9621854000.0,10489542000.0,10755526000.0,10407120000.0,10274075000.0,11471346000.0,8110165500.0
2046.0,9370238000.0,10568166000.0,10577684000.0,10210012000.0,9963714000.0,11068483000.0,7902631000.0
2047.0,9120338000.0,10255163000.0,10385174000.0,9971869000.0,9675550000.0,10983679000.0,7513466400.0
2048.0,8938934000.0,10110696000.0,10263981000.0,9682662000.0,9437909000.0,10791244000.0,7291465700.0
2049.0,8712779000.0,9866925000.0,10024334000.0,9481812000.0,9202756000.0,10640686000.0,6984447000.0
2050.0,8532393000.0,9629103000.0,9756980000.0,9341431000.0,8771527000.0,10476149000.0,6675691500.0
2051.0,8370256400.0,9467477000.0,9491002000.0,9154591000.0,8550345000.0,10383633000.0,6485369300.0
2052.0,8097833000.0,9295185000.0,9256056000.0,8820765000.0,8204763600.0,10278632000.0,6262599700.0
2053.0,8045097000.0,9065118000.0,9155770000.0,8655210000.0,8078030000.0,10093047000.0,5927208400.0
2054.0,7911187000.0,8938720000.0,9053653000.0,8421382700.0,7732821000.0,9905553000.0,5652819000.0
2055.0,7751654400.0,8762211000.0,8859260000.0,8242687000.0,7464545000.0,9692904000.0,5475593000.0
2056.0,7580531000.0,8539489300.0,8681778000.0,8072303000.0,7244227600.0,9551712000.0,5314690600.0
2057.0,7461567000.0,8376386000.0,8492545000.0,7981285400.0,7077961700.0,9527653000.0,5153465000.0
2058.0,7282057700.0,8227452400.0,8353457700.0,7751638500.0,7046543400.0,9397593000.0,5043884500.0
2059.0,7153371600.0,7998005000.0,8193672700.0,7569562000.0,6583145500.0,9096031000.0,4834663000.0
2060.0,7065056000.0,7848909300.0,7966283000.0,7389414400.0,6401490000.0,8959229000.0,4673415000.0
2061.0,7439403500.0,7691334700.0,7765586400.0,7253365000.0,6258193000.0,8827865000.0,4484726000.0
2062.0,6889091600.0,7355414500.0,7651038700.0,7046428000.0,6062718000.0,8685514000.0,4350514700.0
2063.0,6785345000.0,7362377000.0,7888568300.0,7000518000.0,5850169300.0,8408669000.0,4213898500.0
2064.0,6631912000.0,7155311000.0,7602219500.0,6725543400.0,5648315000.0,8245347000.0,4100883200.0
2065.0,6609091600.0,6881818000.0,7484455400.0,6547290600.0,5487494700.0,8122852000.0,3876008000.0
2066.0,6379016000.0,6600024600.0,7154283000.0,6449328600.0,5458188300.0,7945244700.0,3817554200.0
2067.0,6409653000.0,6307407000.0,7034721300.0,6333657000.0,5212939000.0,7811379700.0,3634091800.0
2068.0,6180212700.0,6107088400.0,6830405000.0,6129088000.0,5044365300.0,7587837000.0,3508857000.0
