time,GFDL-CM3,GISS-E2-R,CCSM4,CSIRO-MK3-6-0,IPSL-CM5A-LR,GFDL-ESM2G,NORESM1-M,CESM1-CAM5
2000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0
2001.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0
2002.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0
2003.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0
2004.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0
2005.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0
2006.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0
2007.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0
2008.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0
2009.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0
2010.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0
2011.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0
2012.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0
2013.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0
2014.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0
2015.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0
2016.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0
2017.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0
2018.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0
2019.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0
2020.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0
2021.0,104657460000.0,105210120000.0,104736920000.0,104688670000.0,104673040000.0,104874074000.0,104664180000.0,104621240000.0
2022.0,104617370000.0,104823000000.0,104667380000.0,104644860000.0,104889570000.0,104772400000.0,104704240000.0,104545395000.0
2023.0,104561190000.0,104666620000.0,104796510000.0,104597635000.0,104587090000.0,104625865000.0,104560990000.0,104486560000.0
2024.0,104531740000.0,104610480000.0,104585230000.0,104702700000.0,104548140000.0,104568580000.0,104557220000.0,104398004000.0
2025.0,104491210000.0,104563106000.0,104551370000.0,104546116000.0,104487120000.0,104493630000.0,104508850000.0,104301390000.0
2026.0,104439350000.0,104865930000.0,104459290000.0,104510010000.0,104641650000.0,104488395000.0,104455670000.0,104210610000.0
2027.0,104373610000.0,104600000000.0,104440630000.0,104461410000.0,104642970000.0,104422980000.0,104430000000.0,104157405000.0
2028.0,104311670000.0,104619450000.0,104401620000.0,104411430000.0,104725455000.0,104399860000.0,104356880000.0,104064780000.0
2029.0,104262400000.0,104494230000.0,104342600000.0,104496070000.0,104592900000.0,104372100000.0,104312830000.0,103966120000.0
2030.0,104209195000.0,105258730000.0,104292246000.0,104444170000.0,104484310000.0,104430520000.0,104243945000.0,103858550000.0
2031.0,104174340000.0,104532560000.0,104332140000.0,104365720000.0,104698650000.0,104358584000.0,104266360000.0,103738850000.0
2032.0,104098980000.0,104436580000.0,104240900000.0,104472945000.0,104432050000.0,104252015000.0,104218480000.0,103658490000.0
