time,CCSM4,GISS-E2-R,GFDL-ESM2G,CSIRO-MK3-6-0,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR
2000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0
2001.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0
2002.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0
2003.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0
2004.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0
2005.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0
2006.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0
2007.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0
2008.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0
2009.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0
2010.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0
2011.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0
2012.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0
2013.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0
2014.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0
2015.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0
2016.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0
2017.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0
2018.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0
2019.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0
2020.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0
2021.0,40529180000.0,40676594000.0,40408020000.0,40437320000.0,40424720000.0,40385150000.0,40401340000.0
2022.0,40518450000.0,40540500000.0,40379294000.0,40683480000.0,40410132000.0,40323654000.0,40355615000.0
2023.0,40409465000.0,40510865000.0,40358793000.0,40467415000.0,40345920000.0,40263066000.0,40297476000.0
2024.0,40366400000.0,40443134000.0,40305824000.0,40426856000.0,40308980000.0,40210270000.0,40249820000.0
2025.0,40323390000.0,40375284000.0,40298250000.0,40339374000.0,40273023000.0,40162850000.0,40259290000.0
2026.0,40280700000.0,40390030000.0,40263574000.0,40289090000.0,40215245000.0,40074445000.0,40184316000.0
2027.0,40248190000.0,40397705000.0,40254345000.0,40300454000.0,40165280000.0,40000680000.0,40112560000.0
2028.0,40201580000.0,40294474000.0,40208257000.0,40234850000.0,40112333000.0,39904740000.0,40057910000.0
2029.0,40153230000.0,40232276000.0,40233870000.0,40266342000.0,40064705000.0,39815795000.0,40021100000.0
2030.0,40101863000.0,40225900000.0,40180277000.0,40178127000.0,40020013000.0,39735380000.0,39944647000.0
2031.0,40101835000.0,40162836000.0,40118960000.0,40126026000.0,39970490000.0,39639732000.0,39893860000.0
2032.0,40039408000.0,40150190000.0,40082588000.0,40110207000.0,39922414000.0,39525040000.0,39810736000.0
2033.0,40055136000.0,40093733000.0,40105350000.0,40053690000.0,39875940000.0,39426860000.0,39728185000.0
2034.0,39954792000.0,40028295000.0,40092656000.0,39991665000.0,39821160000.0,39297700000.0,39660982000.0
2035.0,39907926000.0,40075264000.0,40062837000.0,39939203000.0,39754056000.0,39161508000.0,39569084000.0
2036.0,39881306000.0,40020525000.0,40027920000.0,39903800000.0,39682294000.0,38988030000.0,39465920000.0
2037.0,39824240000.0,39937960000.0,39927685000.0,39868707000.0,39626895000.0,38796680000.0,39354286000.0
2038.0,39904880000.0,39887680000.0,39844442000.0,39816626000.0,39546140000.0,38638674000.0,39268102000.0
2039.0,39733064000.0,39835920000.0,39814504000.0,39943060000.0,39546960000.0,38438904000.0,39141790000.0
2040.0,39694220000.0,39782265000.0,39755000000.0,39750025000.0,39421960000.0,38283400000.0,39036998000.0
2041.0,39640138000.0,39727423000.0,39698182000.0,39668072000.0,39303720000.0,38079152000.0,38990510000.0
2042.0,39540610000.0,39767458000.0,39616200000.0,39607940000.0,39224672000.0,37860954000.0,38862720000.0
2043.0,39483597000.0,39672693000.0,39560823000.0,39536100000.0,39121777000.0,37652128000.0,38742200000.0
2044.0,39410385000.0,39565255000.0,39518860000.0,39465173000.0,39015182000.0,37447205000.0,38697640000.0
2045.0,39328182000.0,39486320000.0,39479210000.0,39382030000.0,38915494000.0,37209300000.0,38553100000.0
2046.0,39240147000.0,39461212000.0,39446160000.0,39305236000.0,38784254000.0,36954427000.0,38414160000.0
2047.0,39236610000.0,39342410000.0,39464310000.0,39318954000.0,38661930000.0,36756345000.0,38296450000.0
2048.0,39107990000.0,39285830000.0,39480156000.0,39195177000.0,38515950000.0,36482840000.0,38138860000.0
2049.0,39001825000.0,39188763000.0,39381897000.0,39127306000.0,38408036000.0,36216775000.0,37961703000.0
2050.0,38893590000.0,39117640000.0,39265837000.0,39029567000.0,38286900000.0,35957160000.0,37780193000.0
2051.0,38853970000.0,39016720000.0,39173700000.0,38981370000.0,38182010000.0,35639816000.0,37640155000.0
2052.0,38702617000.0,38940844000.0,39110510000.0,38883910000.0,38027874000.0,35319230000.0,37422400000.0
2053.0,38558654000.0,38851520000.0,38997180000.0,38785155000.0,37861470000.0,34985550000.0,37288845000.0
2054.0,38402040000.0,38781678000.0,38976045000.0,38683152000.0,37714936000.0,34651505000.0,37088838000.0
2055.0,38282187000.0,38704440000.0,38838030000.0,38607184000.0,37547150000.0,34299972000.0,36912607000.0
2056.0,38152086000.0,38637814000.0,38780953000.0,38496570000.0,37376487000.0,33888221000.0,36676305000.0
2057.0,38000374000.0,38542770000.0,38810830000.0,38394080000.0,37165937000.0,33500152000.0,36496930000.0
2058.0,37887030000.0,38422122000.0,38690615000.0,38280180000.0,36971840000.0,33116744000.0,36229090000.0
2059.0,37751420000.0,38329893000.0,38607315000.0,38169465000.0,36793803000.0,32694050000.0,36032480000.0
2060.0,37582670000.0,38227620000.0,38571340000.0,38110630000.0,36590223000.0,32292256000.0,35743390000.0
2061.0,37457690000.0,38063505000.0,38506476000.0,38029070000.0,36361056000.0,31887180000.0,35465445000.0
2062.0,37278126000.0,38038168000.0,38340616000.0,37927900000.0,36129670000.0,31446985000.0,35146453000.0
2063.0,37100600000.0,37899248000.0,38212076000.0,37952050000.0,35879820000.0,30957840000.0,34851010000.0
2064.0,36982518000.0,37790917000.0,38105480000.0,37730880000.0,35638810000.0,30480247000.0,34534590000.0
2065.0,36829168000.0,37795540000.0,38006174000.0,37644415000.0,35367530000.0,29911577000.0,34239035000.0
2066.0,36618404000.0,37625627000.0,38053753000.0,37483380000.0,35068110000.0,29529625000.0,33932007000.0
2067.0,36425190000.0,37506585000.0,37853024000.0,37345340000.0,34786062000.0,29035125000.0,33686235000.0
2068.0,36265080000.0,37373837000.0,37718990000.0,37245948000.0,34527834000.0,28577560000.0,33491960000.0
2069.0,36120230000.0,37256765000.0,37588586000.0,37110022000.0,34318370000.0,28153870000.0,33182712000.0
2070.0,35952763000.0,37088866000.0,37454606000.0,36960720000.0,34085827000.0,27691743000.0,32905462000.0
2071.0,35769176000.0,36946040000.0,37337870000.0,36906738000.0,33716300000.0,27265346000.0,32627397000.0
2072.0,35568665000.0,36784476000.0,37226574000.0,36738798000.0,33359722000.0,26717290000.0,32325183000.0
2073.0,35450266000.0,36647740000.0,37122077000.0,36714060000.0,33032049000.0,26186340000.0,31952024000.0
2074.0,35311700000.0,36504490000.0,36972790000.0,36509536000.0,32741702000.0,25724512000.0,31677200000.0
2075.0,35149136000.0,36371640000.0,36819354000.0,36281926000.0,32399696000.0,25135968000.0,31325139000.0
2076.0,34927220000.0,36254888000.0,36707890000.0,36117914000.0,31999392000.0,24706304000.0,31042214000.0
2077.0,34673754000.0,36084826000.0,36556020000.0,35996574000.0,31612252000.0,24233495000.0,30831178000.0
2078.0,34456285000.0,35912827000.0,36402690000.0,35785404000.0,31284025000.0,23662344000.0,30523490000.0
2079.0,34258538000.0,35790050000.0,36268675000.0,35610534000.0,30952042000.0,23145005000.0,30177850000.0
2080.0,34107455000.0,35602280000.0,36269572000.0,35423880000.0,30550649000.0,22737877000.0,29848685000.0
2081.0,33882923000.0,35442480000.0,36087194000.0,35179565000.0,30179123000.0,22202970000.0,29507480000.0
2082.0,33698413000.0,35292516000.0,35894900000.0,34974120000.0,29749416000.0,21652093000.0,29171161000.0
2083.0,33474585000.0,35122970000.0,35750230000.0,34768888000.0,29295782000.0,21111914000.0,28724433000.0
2084.0,33227694000.0,35058270000.0,35658420000.0,34573103000.0,28916190000.0,20575283000.0,28385440000.0
2085.0,32961788000.0,34857193000.0,35555533000.0,34363597000.0,28533690000.0,19889226000.0,28099332000.0
2086.0,32721865000.0,34837385000.0,35358330000.0,34170116000.0,28144720000.0,19406623000.0,27743136000.0
2087.0,32495344000.0,34602897000.0,35211550000.0,33959850000.0,27751190000.0,18911826000.0,27387924000.0
