time,CCSM4,GFDL-CM3,NORESM1-M,IPSL-CM5A-LR,CSIRO-MK3-6-0,GISS-E2-R,GFDL-ESM2G
2000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0
2001.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0
2002.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0
2003.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0
2004.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0
2005.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0
2006.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0
2007.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0
2008.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0
2009.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0
2010.0,10079232000.0,10079232000.0,10079232000.0,10079232000.0,10079232000.0,10079232000.0,10079232000.0
2011.0,10073507000.0,10073507000.0,10073507000.0,10073507000.0,10073507000.0,10073507000.0,10073507000.0
2012.0,10074919000.0,10074919000.0,10074919000.0,10074919000.0,10074919000.0,10074919000.0,10074919000.0
2013.0,10072101000.0,10072101000.0,10072101000.0,10072101000.0,10072101000.0,10072101000.0,10072101000.0
2014.0,10068347000.0,10068347000.0,10068347000.0,10068347000.0,10068347000.0,10068347000.0,10068347000.0
2015.0,10063784000.0,10063784000.0,10063784000.0,10063784000.0,10063784000.0,10063784000.0,10063784000.0
2016.0,10063523000.0,10063523000.0,10063523000.0,10063523000.0,10063523000.0,10063523000.0,10063523000.0
2017.0,10058212000.0,10058212000.0,10058212000.0,10058212000.0,10058212000.0,10058212000.0,10058212000.0
2018.0,10052543000.0,10052543000.0,10052543000.0,10052543000.0,10052543000.0,10052543000.0,10052543000.0
