time,GFDL-CM3,CANESM2,CCSM4,CSIRO-MK3-6-0,NORESM1-M,IPSL-CM5A-LR,CESM1-CAM5,MPI-ESM-LR,GFDL-ESM2G,GISS-E2-R,CNRM-CM5
2000.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0
2001.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0
2002.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0
2003.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0
2004.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0
2005.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0
2006.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0
2007.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0
2008.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0
2009.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0
2010.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0
2011.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0
2012.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0
2013.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0
2014.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0
2015.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0
2016.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0
2017.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0
2018.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0
2019.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0
2020.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0
2021.0,2266333700.0,2300287200.0,2289225700.0,2295421400.0,2289855500.0,2287020800.0,2283803100.0,2290407200.0,2306515000.0,2280294400.0,2287619800.0
2022.0,2228072000.0,2253320200.0,2303377700.0,2285387800.0,2293263400.0,2266143700.0,2295802600.0,2240413200.0,2317058000.0,2311924000.0,2311057000.0
2023.0,2199989200.0,2246980000.0,2261660400.0,2260500200.0,2249623600.0,2231754500.0,2427737600.0,2244469800.0,2288494600.0,2310976300.0,2290216400.0
2024.0,2159370200.0,2214294000.0,2292466000.0,2223226600.0,2225393000.0,2196964000.0,2234742500.0,2216387000.0,2233457000.0,2284651500.0,2291643400.0
2025.0,2099866500.0,2192936700.0,2243184600.0,2201859300.0,2186333400.0,2183279400.0,2219092500.0,2243220700.0,2270779000.0,2230510300.0,2274102800.0
2026.0,2063525000.0,2171736300.0,2277728300.0,2182871800.0,2170682400.0,2187281700.0,2170300000.0,2166271000.0,2204994800.0,2197982200.0,2371713000.0
2027.0,2031556200.0,2119884200.0,2224319700.0,2168497200.0,2152986600.0,2131922700.0,2131543200.0,2135292200.0,2201526300.0,2179865900.0,2217560800.0
2028.0,1966778500.0,2098504100.0,2260242400.0,2124508800.0,2179756800.0,2089942000.0,2260655400.0,2159296000.0,2158396400.0,2158919400.0,2174857700.0
2029.0,1917393400.0,2068279000.0,2183251500.0,2084770200.0,2102813300.0,2058634400.0,2139338600.0,2057350500.0,2148218600.0,2172060400.0,2146725100.0
2030.0,1863799000.0,2029851000.0,2158218500.0,2050632600.0,2074823600.0,2028481900.0,2071172500.0,2026979800.0,2118409200.0,2120892700.0,2175361000.0
2031.0,1799470600.0,1985199700.0,2132470900.0,2016496400.0,2078605000.0,1997485000.0,2020959200.0,2002081200.0,2095909100.0,2204218400.0,2134077800.0
2032.0,1752362500.0,1956214500.0,2102761300.0,2011520400.0,1974486500.0,1970287700.0,1991952800.0,1972313500.0,2065737300.0,2120556400.0,2069489400.0
2033.0,1683070300.0,1934970100.0,2084695400.0,1955459500.0,1937530800.0,1953480100.0,1940076200.0,1941498100.0,2001824600.0,2058146600.0,2082521900.0
2034.0,1616609200.0,1899413800.0,2053092000.0,1955112400.0,1893404300.0,1909756500.0,1911620900.0,1921150300.0,2018570600.0,2011511700.0,2041972700.0
