time,MPI-ESM-LR,CESM1-CAM5,CANESM2
2000.0,89173320000.0,89173320000.0,89173320000.0
2001.0,88896274000.0,88896274000.0,88896274000.0
2002.0,88782586000.0,88782586000.0,88782586000.0
2003.0,88609910000.0,88609910000.0,88609910000.0
2004.0,88458990000.0,88458990000.0,88458990000.0
2005.0,88440170000.0,88440170000.0,88440170000.0
2006.0,88511850000.0,88511850000.0,88511850000.0
2007.0,88851500000.0,88851500000.0,88851500000.0
2008.0,88522334000.0,88522334000.0,88522334000.0
2009.0,88326810000.0,88326810000.0,88326810000.0
2010.0,88047540000.0,88047540000.0,88047540000.0
2011.0,87942480000.0,87942480000.0,87942480000.0
2012.0,88147620000.0,88147620000.0,88147620000.0
2013.0,88202940000.0,88202940000.0,88202940000.0
2014.0,88882460000.0,88882460000.0,88882460000.0
2015.0,88072356000.0,88072356000.0,88072356000.0
2016.0,89330650000.0,89330650000.0,89330650000.0
2017.0,88130000000.0,88130000000.0,88130000000.0
2018.0,87990305000.0,87990305000.0,87990305000.0
2019.0,89762340000.0,89762340000.0,89762340000.0
2020.0,87779975000.0,87779975000.0,87779975000.0
2021.0,87653070000.0,87405150000.0,87765170000.0
2022.0,87498200000.0,87164760000.0,87425640000.0
2023.0,87383670000.0,87454950000.0,87320260000.0
2024.0,87504716000.0,87361070000.0,88054055000.0
2025.0,87117930000.0,86825870000.0,87475634000.0
2026.0,87016330000.0,86547700000.0,87152910000.0
2027.0,87260275000.0,86459970000.0,86849890000.0
2028.0,86737680000.0,86142050000.0,86759090000.0
2029.0,86489210000.0,85954765000.0,86554290000.0
2030.0,86300240000.0,85678930000.0,86387370000.0
2031.0,86267900000.0,85346320000.0,86480250000.0
2032.0,85911410000.0,85087584000.0,86595445000.0
2033.0,85635560000.0,84734950000.0,86214290000.0
2034.0,85489920000.0,84429240000.0,85706710000.0
2035.0,85131534000.0,84046490000.0,85518380000.0
2036.0,84938510000.0,83756860000.0,85270940000.0
2037.0,84941046000.0,83404630000.0,85227780000.0
2038.0,84538220000.0,83010630000.0,84818950000.0
2039.0,84206035000.0,82694180000.0,84577970000.0
2040.0,83959440000.0,82229790000.0,84387510000.0
2041.0,83725160000.0,81839020000.0,84314680000.0
2042.0,83610600000.0,81328600000.0,84278840000.0
2043.0,83261990000.0,80813450000.0,83849126000.0
2044.0,82926230000.0,80684780000.0,83556230000.0
2045.0,82607240000.0,80330740000.0,83254346000.0
2046.0,82388760000.0,79935365000.0,82941340000.0
2047.0,81866730000.0,79429590000.0,82730450000.0
2048.0,81656580000.0,78936334000.0,82395010000.0
2049.0,81262120000.0,78490140000.0,82122105000.0
2050.0,80901620000.0,77964660000.0,81935420000.0
2051.0,81194370000.0,77573960000.0,81421976000.0
2052.0,80145990000.0,77113655000.0,81100470000.0
2053.0,79784790000.0,76694230000.0,80717840000.0
2054.0,79414845000.0,76173560000.0,80389880000.0
2055.0,79073034000.0,75799710000.0,80152080000.0
2056.0,78814610000.0,75140590000.0,79992300000.0
2057.0,78491810000.0,74633200000.0,79411250000.0
