time,CCSM4,CESM1-CAM5
2000.0,2759127800.0,2759127800.0
2001.0,2783763500.0,2783763500.0
2002.0,2755074300.0,2755074300.0
2003.0,2734472400.0,2734472400.0
2004.0,2737285600.0,2737285600.0
2005.0,2725387500.0,2725387500.0
2006.0,2740770600.0,2740770600.0
2007.0,2716115700.0,2716115700.0
2008.0,2742563000.0,2742563000.0
2009.0,2724116000.0,2724116000.0
2010.0,2706896100.0,2706896100.0
2011.0,2706562000.0,2706562000.0
2012.0,2707589000.0,2707589000.0
2013.0,2717896400.0,2717896400.0
2014.0,2694798600.0,2694798600.0
2015.0,2683665200.0,2683665200.0
2016.0,2748370200.0,2748370200.0
2017.0,2680201500.0,2680201500.0
2018.0,2688891600.0,2688891600.0
2019.0,2662795300.0,2662795300.0
2020.0,2663309600.0,2663309600.0
2021.0,2652495600.0,2652701700.0
2022.0,2645070600.0,2640422700.0
2023.0,2641619500.0,2630126800.0
2024.0,2633089500.0,2621308000.0
2025.0,2623872300.0,2610284500.0
2026.0,2613877000.0,2595511300.0
2027.0,2606914300.0,2584546000.0
2028.0,2594431000.0,2574097000.0
2029.0,2571791000.0,2554188500.0
2030.0,2548359700.0,2534984700.0
2031.0,2533427000.0,2523194000.0
2032.0,2521820400.0,2505797600.0
2033.0,2506099700.0,2498788900.0
2034.0,2475930400.0,2469408500.0
2035.0,2465330400.0,2439499000.0
2036.0,2447631400.0,2413547800.0
2037.0,2419646200.0,2399359000.0
2038.0,2411644200.0,2381916700.0
2039.0,2378553600.0,2356920600.0
2040.0,2353865200.0,2348004900.0
2041.0,2318588400.0,2312233700.0
2042.0,2367838500.0,2340101400.0
2043.0,2297563000.0,2283749400.0
2044.0,2263315000.0,2257816300.0
2045.0,2245062400.0,2224007200.0
2046.0,2219938600.0,2176867300.0
2047.0,2225501400.0,2150671400.0
2048.0,2235484400.0,2124217200.0
2049.0,2174108200.0,2062909200.0
2050.0,2134208000.0,2025542100.0
2051.0,2108337500.0,1974098400.0
2052.0,2076165200.0,1935721000.0
2053.0,2037106600.0,1901109900.0
2054.0,1981737100.0,1840701700.0
2055.0,1986775900.0,1800477000.0
2056.0,1935403000.0,1751139800.0
2057.0,1871902300.0,1709008600.0
2058.0,1822024600.0,1667055400.0
2059.0,1780051800.0,1641806800.0
2060.0,1735611000.0,1596401700.0
2061.0,1691521800.0,1543943000.0
2062.0,1652634800.0,1485057500.0
2063.0,1635929200.0,1490884500.0
2064.0,1584110100.0,1419262700.0
2065.0,1552183000.0,1348101100.0
2066.0,1517276000.0,1295316900.0
2067.0,1473992300.0,1261816000.0
2068.0,1410606100.0,1209550100.0
2069.0,1384047700.0,1177713700.0
2070.0,1352090100.0,1123389400.0
2071.0,1319133800.0,1090448000.0
2072.0,1286389500.0,1050365900.0
2073.0,1231657000.0,1007165440.0
2074.0,1194332000.0,968279500.0
2075.0,1170423600.0,940354100.0
