time,CESM1-CAM5,CANESM2,MPI-ESM-LR
2000.0,1160050400.0,1160050400.0,1149011100.0
2001.0,1156214100.0,1156214100.0,1145578400.0
2002.0,1163069700.0,1163069700.0,1152419800.0
2003.0,1161962100.0,1161962100.0,1150922500.0
2004.0,1168997600.0,1168997600.0,1157922300.0
2005.0,1187017300.0,1187017300.0,1173582800.0
2006.0,1188000500.0,1188000500.0,1175597300.0
2007.0,1177802200.0,1177802200.0,1165175400.0
2008.0,1172711200.0,1172711200.0,1160562400.0
2009.0,1170564900.0,1170564900.0,1159429200.0
2010.0,1186047700.0,1186047700.0,1174761600.0
2011.0,1167215100.0,1167215100.0,1156255700.0
2012.0,1165633000.0,1165633000.0,1154639100.0
2013.0,1159283500.0,1159283500.0,1148322600.0
2014.0,1156562200.0,1156562200.0,1145721900.0
2015.0,1149749500.0,1149749500.0,1139081300.0
2016.0,1142468200.0,1142468200.0,1131866200.0
2017.0,1138621700.0,1138621700.0,1128136200.0
2018.0,1131278000.0,1131278000.0,1120980400.0
2019.0,1121442200.0,1121442200.0,1111254400.0
2020.0,1110920200.0,1110920200.0,1100379800.0
2021.0,1098075600.0,1109901000.0,1098975400.0
2022.0,1071341500.0,1094552700.0,1075824900.0
2023.0,1049158700.0,1071086900.0,1052028900.0
2024.0,1029640450.0,1059644700.0,1027107460.0
2025.0,1034660350.0,1049497860.0,996796900.0
2026.0,1044313600.0,1022191170.0,955218050.0
2027.0,1002702000.0,994950100.0,983461500.0
2028.0,972439740.0,969717600.0,932978940.0
2029.0,959476400.0,953156200.0,911106900.0
2030.0,974839740.0,945683600.0,887333600.0
2031.0,939829250.0,911122000.0,853214140.0
2032.0,913771970.0,885733900.0,829257600.0
2033.0,892011000.0,849395840.0,806122400.0
2034.0,866196540.0,899522500.0,793435000.0
2035.0,830733400.0,833113800.0,776773600.0
2036.0,807393300.0,810297700.0,762573200.0
2037.0,789924350.0,782936800.0,816712770.0
2038.0,784881300.0,767126400.0,739747260.0
2039.0,764172100.0,738875700.0,726277900.0
2040.0,750494660.0,720241150.0,787182140.0
2041.0,734161800.0,775119400.0,711770600.0
2042.0,718003800.0,698485300.0,682795000.0
2043.0,697870100.0,670194000.0,656450200.0
2044.0,777147000.0,686510340.0,647163200.0
2045.0,686181500.0,656639300.0,667613950.0
2046.0,663688770.0,634740860.0,698747970.0
2047.0,658587140.0,624001900.0,627128500.0
2048.0,640669900.0,645492100.0,618478100.0
2049.0,624510140.0,631920600.0,657613300.0
2050.0,604036740.0,620141000.0,605030700.0
2051.0,583219800.0,647348700.0,599072900.0
2052.0,697166800.0,601233500.0,593648260.0
2053.0,581070660.0,577451600.0,590799000.0
2054.0,564552450.0,609205440.0,598888640.0
2055.0,565599300.0,562996700.0,585132300.0
2056.0,549399550.0,552608700.0,569321300.0
2057.0,551416960.0,552376500.0,562925300.0
2058.0,535406500.0,546011840.0,554571900.0
2059.0,528045900.0,708378200.0,551528100.0
2060.0,521445540.0,576596500.0,552761100.0
2061.0,511237440.0,556300200.0,609255900.0
2062.0,510083550.0,550102300.0,596804500.0
2063.0,558896450.0,538469900.0,717032640.0
2064.0,491182900.0,608556800.0,620214400.0
2065.0,484483620.0,537494400.0,648073400.0
2066.0,490028260.0,542562100.0,632000450.0
2067.0,481449900.0,646459260.0,659397500.0
2068.0,476356260.0,616295000.0,780176830.0
2069.0,472370530.0,538450200.0,694319100.0
2070.0,487003780.0,529074850.0,643467700.0
2071.0,476794080.0,524869100.0,626854460.0
2072.0,486576640.0,519950000.0,603518100.0
2073.0,465105120.0,523630660.0,597329150.0
2074.0,558474200.0,520154850.0,591300860.0
2075.0,638459400.0,511211620.0,707191040.0
2076.0,508309540.0,508210900.0,584579400.0
2077.0,489807300.0,510437380.0,581008500.0
2078.0,475065150.0,504094750.0,571832200.0
2079.0,480175400.0,508579330.0,564532300.0
2080.0,531391870.0,506960700.0,597840800.0
2081.0,467553820.0,526416900.0,561705150.0
2082.0,459576770.0,500420320.0,556833800.0
2083.0,484816600.0,493382200.0,554468500.0
2084.0,481450340.0,488932600.0,553877500.0
2085.0,462432700.0,484347170.0,547931600.0
2086.0,482266020.0,480281180.0,635424450.0
2087.0,501565730.0,499445700.0,543239040.0
2088.0,473289440.0,486766720.0,540721000.0
2089.0,457925860.0,635377500.0,535802370.0
2090.0,466877540.0,560274500.0,521556380.0
2091.0,468189470.0,513561730.0,522135300.0
2092.0,527030560.0,560682900.0,513318500.0
2093.0,560945600.0,483753730.0,517317380.0
2094.0,471387680.0,485300260.0,631397250.0
2095.0,470257100.0,480858620.0,520304540.0
2096.0,456097020.0,489736480.0,510565820.0
2097.0,451487170.0,485466100.0,521286720.0
2098.0,453113100.0,475399580.0,500094900.0
2099.0,446434180.0,473825730.0,499305470.0
2100.0,443994080.0,462477570.0,491120670.0
2101.0,445645400.0,466932200.0,502139260.0
2102.0,451467400.0,463143400.0,481216960.0
2103.0,450768830.0,487494660.0,522095550.0
2104.0,450275620.0,462131170.0,481188830.0
2105.0,543633100.0,456974880.0,474920960.0
2106.0,468835870.0,627969700.0,471825280.0
2107.0,552682900.0,498598750.0,471393950.0
2108.0,466566180.0,483074400.0,547224450.0
2109.0,455294430.0,514058780.0,515705630.0
2110.0,454566370.0,508018020.0,509817660.0
2111.0,452944860.0,466531800.0,558162700.0
2112.0,440149060.0,452749000.0,514147260.0
2113.0,455377900.0,458548800.0,593855900.0
2114.0,440340400.0,465641760.0,688100000.0
2115.0,454486720.0,456441500.0,566868400.0
2116.0,466162660.0,450481340.0,579529200.0
2117.0,514593820.0,450168060.0,593334140.0
2118.0,437501100.0,450788670.0,558020860.0
2119.0,439751070.0,463286300.0,538981060.0
2120.0,441367170.0,446855400.0,569685800.0
2121.0,439866000.0,443928580.0,544163650.0
2122.0,502080480.0,487546300.0,550501250.0
2123.0,485082100.0,484456200.0,540057800.0
2124.0,466064350.0,457022300.0,531482560.0
2125.0,456047680.0,501034140.0,527232480.0
2126.0,469986560.0,482641800.0,779683600.0
2127.0,502260380.0,511772030.0,742708100.0
2128.0,471166370.0,473811970.0,645494500.0
2129.0,451543140.0,473234180.0,648720100.0
2130.0,474805860.0,584747500.0,953138560.0
2131.0,447753400.0,571327300.0,734040500.0
2132.0,447387650.0,482426560.0,631731600.0
2133.0,445056450.0,477399400.0,615553660.0
2134.0,457130620.0,538203460.0,638237200.0
2135.0,445865730.0,515813340.0,657088800.0
2136.0,472092030.0,500069540.0,752078850.0
2137.0,456003360.0,829944770.0,744090560.0
2138.0,473604500.0,710037400.0,665682940.0
2139.0,463389570.0,562587400.0,701516860.0
2140.0,459555100.0,662137700.0,687745660.0
2141.0,457409120.0,852727700.0,644952640.0
2142.0,503540220.0,679965900.0,702105000.0
2143.0,546228100.0,611280900.0,667979840.0
2144.0,489978530.0,580725200.0,640168640.0
2145.0,594612600.0,653098200.0,660125060.0
2146.0,497771800.0,629645900.0,642154700.0
2147.0,539119900.0,652138600.0,643363650.0
2148.0,489446140.0,589777700.0,674300600.0
2149.0,490586980.0,593521100.0,662517100.0
2150.0,503247840.0,684877700.0,655043100.0
2151.0,490947970.0,633456100.0,817558900.0
2152.0,547975000.0,606500700.0,763158800.0
2153.0,492999420.0,584005300.0,726671940.0
2154.0,512323840.0,588587500.0,708330100.0
2155.0,537192260.0,618362050.0,718822200.0
2156.0,531796670.0,586901570.0,698650240.0
2157.0,500324200.0,762938000.0,720041660.0
2158.0,496942240.0,699995840.0,698981100.0
2159.0,620924700.0,689843800.0,685201900.0
2160.0,517033100.0,626941700.0,677516000.0
2161.0,519886240.0,616351360.0,674552260.0
2162.0,517394660.0,653499650.0,692006000.0
2163.0,532159940.0,633299460.0,843268200.0
2164.0,504549120.0,642753300.0,695682940.0
2165.0,501615420.0,912568700.0,690351900.0
2166.0,577183600.0,708258370.0,818279300.0
2167.0,549272260.0,628039900.0,844579650.0
2168.0,514277470.0,633199200.0,1010391040.0
2169.0,509636700.0,739014900.0,853990000.0
2170.0,522136480.0,725708800.0,885097150.0
2171.0,526712420.0,644694460.0,796387140.0
2172.0,520162100.0,637164350.0,769969400.0
2173.0,521847140.0,628913600.0,768776200.0
2174.0,521745180.0,681974700.0,775727300.0
2175.0,499814820.0,635484350.0,891977700.0
2176.0,506812100.0,644590100.0,865499650.0
2177.0,542008450.0,737129000.0,835045700.0
2178.0,516224100.0,628825150.0,843772400.0
2179.0,589465660.0,624451800.0,908991040.0
2180.0,534339870.0,624945000.0,839794240.0
2181.0,512765440.0,629990460.0,908022300.0
2182.0,501789250.0,615877250.0,873196860.0
2183.0,529079650.0,635120700.0,955158660.0
