time,CSIRO-MK3-6-0,CCSM4,MPI-ESM-LR
2000.0,1160050400.0,1160050400.0,1149481000.0
2001.0,1156214100.0,1156214100.0,1145977100.0
2002.0,1163069700.0,1163069700.0,1152789400.0
2003.0,1161962100.0,1161962100.0,1151587500.0
2004.0,1168997600.0,1168997600.0,1158553200.0
2005.0,1187017300.0,1187017300.0,1174384000.0
2006.0,1188000500.0,1188000500.0,1176271100.0
2007.0,1177802200.0,1177802200.0,1165848200.0
2008.0,1172711200.0,1172711200.0,1161205100.0
2009.0,1170564900.0,1170564900.0,1159909900.0
2010.0,1186047700.0,1186047700.0,1175345300.0
2011.0,1167215100.0,1167215100.0,1156714900.0
2012.0,1165633000.0,1165633000.0,1155121400.0
2013.0,1159283500.0,1159283500.0,1148768800.0
2014.0,1156562200.0,1156562200.0,1146124000.0
2015.0,1149749500.0,1149749500.0,1139449600.0
2016.0,1142468200.0,1142468200.0,1132233000.0
2017.0,1138621700.0,1138621700.0,1128464800.0
2018.0,1131278000.0,1131278000.0,1121261400.0
2019.0,1121442200.0,1121442200.0,1111528200.0
2020.0,1110920200.0,1110920200.0,1100783700.0
2021.0,1099352700.0,1097318300.0,1106257300.0
2022.0,1087741400.0,1082100100.0,1102290700.0
2023.0,1074882800.0,1091277000.0,1090221700.0
2024.0,1102605600.0,1059701700.0,1069702300.0
2025.0,1071704450.0,1036766700.0,1054737000.0
2026.0,1047037950.0,1025918700.0,1045333900.0
2027.0,1029726850.0,1010093760.0,1026369660.0
2028.0,1083559000.0,988601900.0,1018562600.0
2029.0,1014279800.0,974323700.0,1013697700.0
2030.0,1000256400.0,947437400.0,995530300.0
2031.0,988036400.0,919360700.0,1002927400.0
2032.0,948445000.0,894176960.0,967064300.0
2033.0,935947900.0,901838400.0,946406140.0
2034.0,902141000.0,867337100.0,949209660.0
2035.0,879029440.0,853574340.0,949979970.0
2036.0,847605570.0,815614100.0,960818050.0
2037.0,827199200.0,797961150.0,891097200.0
2038.0,819653200.0,766849540.0,871679600.0
2039.0,783787400.0,747397300.0,855250900.0
2040.0,763502500.0,711241340.0,832757440.0
2041.0,727041150.0,687712200.0,808429950.0
2042.0,692202050.0,658788860.0,787631700.0
2043.0,644726140.0,630441340.0,771104260.0
2044.0,625531970.0,601623800.0,759689860.0
2045.0,602536260.0,586986900.0,740000960.0
2046.0,594964300.0,566437200.0,719337340.0
2047.0,567460540.0,531356130.0,704588350.0
2048.0,539779000.0,508035620.0,679111040.0
2049.0,519453020.0,491980400.0,642487900.0
2050.0,505144830.0,473672740.0,613871940.0
2051.0,478493760.0,448594620.0,594538800.0
2052.0,470102620.0,437257570.0,582322300.0
2053.0,468233800.0,415561000.0,552970400.0
2054.0,442849440.0,400576800.0,520424740.0
2055.0,427485920.0,390376320.0,505323070.0
2056.0,418059140.0,368650500.0,492734460.0
2057.0,404147740.0,380672160.0,473568450.0
2058.0,388597060.0,347632600.0,455277900.0
2059.0,376271300.0,333636860.0,435535230.0
2060.0,366417000.0,326472860.0,419259680.0
2061.0,363754530.0,312316930.0,404593760.0
2062.0,348876770.0,296329340.0,385444580.0
2063.0,344252320.0,286634430.0,369505280.0
2064.0,334171420.0,272933980.0,391844640.0
2065.0,324066080.0,262977600.0,344358400.0
2066.0,319845470.0,252634740.0,331368100.0
2067.0,308553570.0,243602990.0,309504800.0
2068.0,300561380.0,231084620.0,297350430.0
2069.0,285284160.0,225674660.0,289167170.0
2070.0,270713340.0,213527170.0,273615170.0
2071.0,266372770.0,210185020.0,256297230.0
2072.0,254322850.0,206897040.0,234017150.0
2073.0,241604850.0,192194060.0,218790200.0
2074.0,230971660.0,184181860.0,253652110.0
2075.0,220767090.0,181574030.0,203444640.0
2076.0,213992800.0,175604430.0,183457120.0
2077.0,201581120.0,170427220.0,172690750.0
2078.0,192534770.0,163938290.0,228959420.0
2079.0,182563940.0,159324620.0,167506100.0
2080.0,167464430.0,155773840.0,158657340.0
2081.0,174790670.0,150102110.0,147974080.0
2082.0,152716820.0,152179230.0,141910370.0
2083.0,148362270.0,196406000.0,136602130.0
2084.0,139272350.0,144539870.0,130190700.0
2085.0,133759790.0,145339310.0,130398690.0
2086.0,126325650.0,134113100.0,123829580.0
2087.0,119771740.0,130628700.0,118178470.0
2088.0,112667880.0,136496590.0,114622160.0
2089.0,104475090.0,127745210.0,111912030.0
2090.0,95467430.0,120999360.0,106379064.0
2091.0,85808616.0,117186320.0,98335700.0
2092.0,79392410.0,115332480.0,87751380.0
2093.0,77050456.0,111025540.0,82919850.0
2094.0,72056440.0,105600776.0,82064370.0
2095.0,68492060.0,102475400.0,77726850.0
2096.0,63997190.0,99108500.0,70859910.0
2097.0,57849790.0,95336940.0,65239436.0
2098.0,54600380.0,90576360.0,62634324.0
2099.0,54012770.0,85367624.0,58844464.0
2100.0,53022440.0,78235280.0,56477930.0
2101.0,51595570.0,73485650.0,52668412.0
2102.0,50062252.0,67506936.0,47655520.0
2103.0,44674508.0,64289244.0,46197110.0
2104.0,43010780.0,61660940.0,44462748.0
2105.0,42405450.0,58307910.0,43288176.0
2106.0,41242016.0,54227096.0,39743496.0
2107.0,39700016.0,50080676.0,36146144.0
2108.0,39147264.0,47283268.0,35821160.0
2109.0,37833424.0,44601948.0,33573708.0
2110.0,35197130.0,41997276.0,32477152.0
2111.0,33321670.0,40858120.0,32023654.0
2112.0,30215072.0,40062420.0,31706146.0
2113.0,27515922.0,36513970.0,31141408.0
2114.0,24499948.0,35431696.0,30800940.0
2115.0,22375292.0,35202244.0,29707182.0
2116.0,20700144.0,33662820.0,28192548.0
2117.0,19839154.0,33357436.0,26562738.0
2118.0,18753594.0,31056788.0,25356716.0
2119.0,16883408.0,30335100.0,24574470.0
2120.0,16472421.0,30068582.0,23091708.0
2121.0,15851404.0,30581138.0,22234034.0
2122.0,14782737.0,29891198.0,21221324.0
2123.0,13025959.0,29227922.0,20915174.0
2124.0,12633359.0,27795914.0,19627290.0
2125.0,12393770.0,27617860.0,18448792.0
2126.0,12338437.0,27469596.0,16882220.0
2127.0,11403845.0,25731622.0,15993681.0
2128.0,10884491.0,25302270.0,14221037.0
2129.0,9934720.0,25149020.0,13278798.0
2130.0,9493942.0,23911334.0,11939447.0
2131.0,9135303.0,23289698.0,11054621.0
2132.0,8172654.5,22552902.0,9328187.0
2133.0,8193386.5,21984966.0,12502130.0
2134.0,8033520.0,21198232.0,9390804.0
2135.0,7752256.5,20834096.0,8011067.0
2136.0,7221221.0,22585538.0,6853394.5
2137.0,6470734.5,21981064.0,6475287.5
2138.0,6216102.5,20250816.0,6153272.5
2139.0,5712987.5,19510034.0,5561396.5
2140.0,5473595.5,19502020.0,5269430.0
2141.0,5207091.0,18994122.0,5222209.0
2142.0,4934136.5,18933748.0,5346254.5
2143.0,4305987.0,18701386.0,4885321.5
2144.0,3872056.5,17320092.0,4716082.0
2145.0,3607462.0,15346023.0,4302111.0
2146.0,3392628.5,15025248.0,4252023.5
2147.0,3171183.0,14723882.0,3973997.5
2148.0,2475131.0,13981437.0,3721589.8
2149.0,2266297.5,12758664.0,3839908.0
2150.0,1873004.1,12708739.0,3504438.0
2151.0,1454286.8,11693971.0,3157451.0
2152.0,1199949.8,11639253.0,2865916.0
2153.0,1007252.4,11344016.0,2914889.5
2154.0,669284.0,10640550.0,2973320.8
2155.0,596522.6,10425700.0,2706054.5
2156.0,531490.4,9643021.0,2704476.0
2157.0,673529.5,9405924.0,2139109.2
2158.0,471249.66,9059252.0,2294373.8
2159.0,470811.22,8856887.0,1843783.1
2160.0,336690.2,8276444.5,1769297.5
2161.0,292033.28,8361069.0,1441633.5
2162.0,231202.69,8075060.0,1288994.0
2163.0,229530.44,7423481.0,1141021.2
2164.0,227105.66,7841398.5,986053.94
2165.0,213807.44,7300058.5,757030.56
2166.0,212579.25,6940081.5,750073.75
2167.0,210244.06,6510051.5,744228.06
2168.0,167894.7,6273172.0,538084.06
2169.0,113061.4,6294508.5,705418.94
2170.0,111051.125,6036212.0,470122.1
