time,NORESM1-M,CESM1-CAM5,CSIRO-MK3-6-0,MPI-ESM-LR
2000.0,34404925000.0,34404925000.0,34378260000.0,34388546000.0
2001.0,34003677000.0,34003677000.0,33978798000.0,33987800000.0
2002.0,33861126000.0,33861126000.0,33837640000.0,33845387000.0
2003.0,33831154000.0,33831154000.0,33807886000.0,33815374000.0
2004.0,34238032000.0,34238032000.0,34209251000.0,34220694000.0
2005.0,34221998000.0,34221998000.0,34196314000.0,34205810000.0
2006.0,34368803000.0,34368803000.0,34340210000.0,34352845000.0
2007.0,34094338000.0,34094338000.0,34068850000.0,34078585000.0
2008.0,33877320000.0,33877320000.0,33853542000.0,33861624000.0
2009.0,33916482000.0,33916482000.0,33892790000.0,33900763000.0
2010.0,34059723000.0,34059723000.0,34033326000.0,34044058000.0
2011.0,34391646000.0,34391646000.0,34367570000.0,34375602000.0
2012.0,33925440000.0,33925440000.0,33901875000.0,33909901000.0
2013.0,33831766000.0,33831766000.0,33805509000.0,33816304000.0
2014.0,33800829000.0,33800829000.0,33775137000.0,33785387000.0
2015.0,33834640000.0,33834640000.0,33809440000.0,33819107000.0
2016.0,34797175000.0,34797175000.0,34762625000.0,34779652000.0
2017.0,33815650000.0,33815650000.0,33789512000.0,33800313000.0
2018.0,33812302000.0,33812302000.0,33787994000.0,33797010000.0
2019.0,33778313000.0,33778313000.0,33754847000.0,33763162000.0
2020.0,33945980000.0,33945980000.0,33918124000.0,33929753000.0
2021.0,33620290000.0,33573788000.0,33655783000.0,33643307000.0
2022.0,33566083000.0,33692563000.0,33532200000.0,33911615000.0
2023.0,33486414000.0,33492961000.0,33461326000.0,33537755000.0
2024.0,33550033000.0,33451942000.0,33371636000.0,33450217000.0
2025.0,33311597000.0,33935710000.0,33609945000.0,33393700000.0
2026.0,33238598000.0,34045247000.0,33323078000.0,34015939000.0
2027.0,33112710000.0,33384034000.0,33175800000.0,33616634000.0
2028.0,33009160000.0,33282077000.0,33033322000.0,33291991000.0
2029.0,33059230000.0,33216330000.0,32927932000.0,33176270000.0
2030.0,32892160000.0,33167930000.0,32839563000.0,33253902000.0
2031.0,32780915000.0,33486529000.0,32834080000.0,33081403000.0
2032.0,32654770000.0,33106270000.0,32617640000.0,33021665000.0
2033.0,32478188000.0,33104517000.0,32726661000.0,32904290000.0
2034.0,32285657000.0,33114827000.0,32404610000.0,33688955000.0
2035.0,32080433000.0,32843653000.0,32216200000.0,32936116000.0
2036.0,31888017000.0,32804452000.0,32052316000.0,32625465000.0
2037.0,31986596000.0,32635343000.0,31941548000.0,32471122000.0
2038.0,31716020000.0,32608027000.0,32152105000.0,32668234000.0
2039.0,31388656000.0,32364745000.0,31898274000.0,32283530000.0
2040.0,31635694000.0,32519594000.0,31598553000.0,32131314000.0
2041.0,31129467000.0,32138662000.0,31397960000.0,31856280000.0
2042.0,30796080000.0,31931840000.0,31077863000.0,31603743000.0
2043.0,30517633000.0,31690179000.0,30921431000.0,31394259000.0
2044.0,30403211000.0,31459158000.0,30610063000.0,32076976000.0
2045.0,30078077000.0,31275842000.0,30372975000.0,31229594000.0
2046.0,29954787000.0,31004543000.0,30128470000.0,30839499000.0
2047.0,29555590000.0,30841561000.0,29799434000.0,30534486000.0
2048.0,29167878000.0,31259976000.0,29552202000.0,30336866000.0
2049.0,28948693000.0,30489539000.0,29333700000.0,30054343000.0
2050.0,28509151000.0,30186533000.0,28983370000.0,29764866000.0
2051.0,28191504000.0,30032919000.0,28925377000.0,29416047000.0
2052.0,27864947000.0,29834660000.0,28784843000.0,29150628000.0
2053.0,27550640000.0,29602005000.0,28237520000.0,28865348000.0
2054.0,27375356000.0,29331150000.0,28004770000.0,28492319000.0
2055.0,27035462000.0,29119770000.0,27819114000.0,28227070000.0
2056.0,26803407000.0,29382703000.0,27359517000.0,27905520000.0
2057.0,26564698000.0,28718512000.0,26902342000.0,27529644000.0
2058.0,26254785000.0,28462807000.0,26565472000.0,27109413000.0
2059.0,26244774000.0,28221750000.0,26174042000.0,26902647000.0
2060.0,25852228000.0,27882355000.0,25861800000.0,26412210000.0
2061.0,25794580000.0,27924480000.0,26396662000.0,26073430000.0
2062.0,25458082000.0,27718906000.0,25316729000.0,25782577000.0
2063.0,25124102000.0,27046642000.0,24910029000.0,25483606000.0
2064.0,24867072000.0,26742700000.0,24682564000.0,25242817000.0
2065.0,24513688000.0,26505964000.0,24293607000.0,24980763000.0
2066.0,24481788000.0,26295984000.0,23944735000.0,24597154000.0
2067.0,24032594000.0,26118935000.0,24276802000.0,24348236000.0
2068.0,23757232000.0,25915625000.0,23399412000.0,23962216000.0
2069.0,23366984000.0,25703870000.0,23079830000.0,23686818000.0
2070.0,23125416000.0,25408954000.0,22802883000.0,24363346000.0
2071.0,22924302000.0,25427268000.0,25708521000.0,23466895000.0
2072.0,22730895000.0,25020910000.0,22589467000.0,22966608000.0
2073.0,22468743000.0,24880159000.0,23145300000.0,22716183000.0
2074.0,22234450000.0,24640700000.0,22214285000.0,22377976000.0
2075.0,22468133000.0,24435399000.0,21671120000.0,22298886000.0
2076.0,21984686000.0,24135922000.0,21528392000.0,21878014000.0
2077.0,21612452000.0,23801068000.0,21171309000.0,21648703000.0
2078.0,21430063000.0,23598402000.0,21658350000.0,21435621000.0
2079.0,21247180000.0,23465247000.0,21065521000.0,21211646000.0
2080.0,20930255000.0,23087815000.0,20659171000.0,20970463000.0
2081.0,20653580000.0,22851318000.0,21432123000.0,20855237000.0
2082.0,20452852000.0,22579302000.0,20794010000.0,22030109000.0
2083.0,20138938000.0,22383108000.0,21257351000.0,20691872000.0
2084.0,19834874000.0,22177296000.0,20030495000.0,20196612000.0
2085.0,19633041000.0,21852158000.0,19754547000.0,19989158000.0
2086.0,19398724000.0,21612167000.0,19938970000.0,19806077000.0
2087.0,19131154000.0,21396281000.0,19224078000.0,19663151000.0
2088.0,18843396000.0,21142809000.0,19177275000.0,19365736000.0
2089.0,18590210000.0,20876700000.0,18784530000.0,19177896000.0
2090.0,18448920000.0,20712757000.0,18586853000.0,18842260000.0
2091.0,18213499000.0,20462561000.0,18351442000.0,18725515000.0
2092.0,17980137000.0,20154214000.0,18065488000.0,18395558000.0
2093.0,17953546000.0,20065325000.0,17931536000.0,18098987000.0
2094.0,17523680000.0,19893357000.0,17701760000.0,17938166000.0
2095.0,17290697000.0,19588243000.0,17494990000.0,17915875000.0
2096.0,17140862000.0,19476515000.0,17896900000.0,18688457000.0
2097.0,17326612000.0,19253383000.0,19064463000.0,17660269000.0
2098.0,16797903000.0,19061481000.0,18410697000.0,17390746000.0
2099.0,16563539000.0,18861025000.0,17559054000.0,17230854000.0
2100.0,16413725000.0,18683855000.0,17613550000.0,17062500000.0
