time,MPI-ESM-LR,CANESM2,CESM1-CAM5
2000.0,135723640000.0,135755860000.0,135756220000.0
2001.0,136130180000.0,136164020000.0,136164390000.0
2002.0,136263490000.0,136300760000.0,136301126000.0
2003.0,135727800000.0,135761930000.0,135762300000.0
2004.0,135772226000.0,135809540000.0,135809900000.0
2005.0,135543090000.0,135577740000.0,135577870000.0
2006.0,135353640000.0,135391100000.0,135391230000.0
2007.0,135185370000.0,135219260000.0,135219610000.0
2008.0,135226770000.0,135262110000.0,135262460000.0
2009.0,135130380000.0,135167430000.0,135167790000.0
2010.0,134992160000.0,135027245000.0,135027606000.0
2011.0,134858070000.0,134892950000.0,134893310000.0
2012.0,135008330000.0,135043375000.0,135043740000.0
2013.0,135539294000.0,135577140000.0,135577510000.0
2014.0,134924485000.0,134959230000.0,134959600000.0
2015.0,135590090000.0,135629180000.0,135629545000.0
2016.0,134922396000.0,134958650000.0,134959030000.0
2017.0,134617580000.0,134652130000.0,134652490000.0
2018.0,134741115000.0,134775390000.0,134775750000.0
2019.0,134691220000.0,134728050000.0,134728410000.0
2020.0,134678550000.0,134715450000.0,134715810000.0
2021.0,134623570000.0,134402320000.0,134370560000.0
2022.0,134498540000.0,134443790000.0,134318380000.0
2023.0,134327484000.0,134553110000.0,134200090000.0
2024.0,134397490000.0,134201670000.0,134178320000.0
2025.0,134552855000.0,134366175000.0,134139710000.0
2026.0,134521610000.0,134273830000.0,134052454000.0
2027.0,134061920000.0,134706750000.0,133568954000.0
2028.0,133830880000.0,134934380000.0,133372450000.0
2029.0,133758320000.0,134428836000.0,133603390000.0
2030.0,133776330000.0,133849380000.0,133436270000.0
2031.0,134054404000.0,133670070000.0,133383590000.0
2032.0,133830530000.0,133546885000.0,132869850000.0
2033.0,133737350000.0,133123770000.0,132921550000.0
2034.0,133466710000.0,133214020000.0,132735760000.0
2035.0,133511225000.0,133005850000.0,132341460000.0
2036.0,133498544000.0,132898550000.0,132686684000.0
2037.0,133259076000.0,132799410000.0,132652300000.0
2038.0,133002160000.0,132513235000.0,132628190000.0
2039.0,133224300000.0,132748320000.0,132035530000.0
2040.0,133642350000.0,132127080000.0,131823485000.0
2041.0,133190630000.0,132370964000.0,131539290000.0
2042.0,133067740000.0,131910460000.0,131105870000.0
2043.0,132922680000.0,131693140000.0,130881130000.0
2044.0,132795640000.0,131837770000.0,130761785000.0
2045.0,132974360000.0,131646050000.0,130633860000.0
2046.0,133231845000.0,131540000000.0,130503000000.0
2047.0,132779240000.0,131713475000.0,130232230000.0
2048.0,132611736000.0,131062500000.0,129849180000.0
2049.0,132808980000.0,130746900000.0,129617840000.0
2050.0,132527490000.0,130758410000.0,129052640000.0
2051.0,132659270000.0,130379540000.0,128664986000.0
2052.0,132657790000.0,130118386000.0,128482165000.0
2053.0,132531356000.0,130256500000.0,128187420000.0
2054.0,132767990000.0,129789680000.0,127852280000.0
2055.0,132724390000.0,130003706000.0,127620960000.0
2056.0,133085086000.0,129427740000.0,127350050000.0
2057.0,132945230000.0,129168670000.0,127123400000.0
2058.0,132663345000.0,129289520000.0,126832886000.0
2059.0,132722450000.0,128979755000.0,126425194000.0
2060.0,132584310000.0,128925270000.0,126281670000.0
2061.0,132559640000.0,128677060000.0,125979350000.0
2062.0,132123540000.0,128509520000.0,125250200000.0
2063.0,132136346000.0,127959750000.0,124751225000.0
2064.0,132092950000.0,128321020000.0,124311850000.0
2065.0,131926426000.0,127661520000.0,123817410000.0
2066.0,132081950000.0,127155266000.0,123507550000.0
2067.0,132282380000.0,127108375000.0,123110500000.0
2068.0,131739650000.0,126748670000.0,122774070000.0
2069.0,131660990000.0,126623154000.0,122722790000.0
2070.0,131602260000.0,126597070000.0,122191070000.0
2071.0,131471110000.0,126058640000.0,121765290000.0
2072.0,131356344000.0,126117400000.0,121440420000.0
2073.0,131485870000.0,125773940000.0,120880366000.0
2074.0,131372450000.0,125752600000.0,120358230000.0
