time,CESM1-CAM5,CANESM2,MPI-ESM-LR
2000.0,712224990400.0,712189198400.0,711817608400.0
2001.0,711795825500.0,711760996500.0,711392318200.0
2002.0,710680214000.0,710646041000.0,710285078100.0
2003.0,710199343700.0,710165496700.0,709788080200.0
2004.0,710511241800.0,710473145800.0,710039798900.0
2005.0,709636376700.0,709602044700.0,709208142400.0
2006.0,709557298600.0,709522729600.0,709147672200.0
2007.0,708530573500.0,708496403500.0,708133492400.0
2008.0,707563831300.0,707529573300.0,707170650500.0
2009.0,707622580000.0,707588691000.0,707224692000.0
2010.0,706022241900.0,705988181900.0,705611073800.0
2011.0,706868611200.0,706835042200.0,706474363000.0
2012.0,705272392500.0,705239293500.0,704878612100.0
2013.0,705081771200.0,705048899200.0,704693266300.0
2014.0,705924313700.0,705891121700.0,705540760800.0
2015.0,703898467700.0,703864865700.0,703502896200.0
2016.0,704746254100.0,704704607100.0,704341243400.0
2017.0,701314408900.0,701281518900.0,700923512800.0
2018.0,700991416400.0,700958677400.0,700602733700.0
2019.0,702148889800.0,702116803800.0,701757873200.0
2020.0,699484687100.0,699449892100.0,699075755000.0
2021.0,697072330400.0,699073241900.0,697526368400.0
2022.0,695884015800.0,696690487100.0,696261749700.0
2023.0,694915362900.0,694945603100.0,694538863200.0
2024.0,693326968650.0,694452583860.0,693805385560.0
2025.0,692023276250.0,692810759920.0,692385323000.0
2026.0,690365354800.0,691570733270.0,690814243650.0
2027.0,687514036660.0,689776293700.0,689479248000.0
2028.0,685521433740.0,689084014500.0,687189045500.0
2029.0,684018845200.0,686241881900.0,684454646900.0
2030.0,681901817990.0,685657842100.0,682812327500.0
2031.0,679406605790.0,681973343500.0,682064105540.0
2032.0,677059522130.0,679761311660.0,679110298600.0
2033.0,674413230560.0,676877060480.0,676555290200.0
2034.0,671222653240.0,675401266200.0,674764317000.0
2035.0,668387520950.0,672640890200.0,673048817800.0
2036.0,666204480960.0,669582307500.0,670647271400.0
2037.0,663701512590.0,667255011540.0,669724428170.0
2038.0,661297849550.0,664573445550.0,666651152690.0
2039.0,657976781600.0,662117757000.0,664050138000.0
2040.0,654659081220.0,659759294250.0,661942813740.0
2041.0,651963391750.0,657574750800.0,659067495100.0
2042.0,647764416500.0,654303309600.0,657062544100.0
2043.0,643611615050.0,651023022000.0,656192077500.0
2044.0,641135393200.0,649170235290.0,653469554100.0
2045.0,638562780100.0,647033358860.0,649987802250.0
2046.0,634763479700.0,643622401720.0,647607057880.0
2047.0,631227143040.0,641392189740.0,644930318160.0
2048.0,630043828850.0,637379835030.0,645044692500.0
2049.0,626203301890.0,634517577500.0,640248687240.0
2050.0,621706572940.0,634323610750.0,638006543800.0
2051.0,619242103800.0,631712200950.0,638851978230.0
2052.0,615935642300.0,626804901140.0,634372571560.0
2053.0,613231736940.0,624201804640.0,631520498900.0
2054.0,608678974750.0,620961746440.0,629525948440.0
2055.0,606748122160.0,619005726870.0,627306057510.0
2056.0,601791992390.0,615906668940.0,625849918400.0
2057.0,602224855260.0,612942961790.0,623826742640.0
2058.0,595149752850.0,611917762640.0,621744867200.0
2059.0,591729595380.0,608759814960.0,621033307520.0
2060.0,588342590410.0,605829969320.0,617922654960.0
2061.0,584286317620.0,601962832490.0,615289224240.0
2062.0,580136385750.0,599666720990.0,614738534760.0
2063.0,576752027810.0,597274743430.0,612348261000.0
2064.0,573237268010.0,596516974450.0,612545511380.0
2065.0,568947053230.0,592704967180.0,608641004860.0
2066.0,565548071000.0,589200282370.0,607754505540.0
2067.0,565139036780.0,586948158850.0,605342139280.0
2068.0,559558543520.0,587912774300.0,602849033800.0
2069.0,556304990890.0,582427605360.0,604164253880.0
2070.0,552430060210.0,579959565400.0,599658077760.0
2071.0,549460899820.0,577590506730.0,598691785760.0
2072.0,545770436220.0,575991027400.0,597359361500.0
2073.0,543182704520.0,573639878890.0,597669869850.0
2074.0,538940349050.0,572800318540.0,599051351660.0
2075.0,538037035930.0,572841150060.0,595587823440.0
2076.0,539586704080.0,571146227490.0,591385804950.0
2077.0,531525131200.0,566690624430.0,588971579740.0
2078.0,526931872910.0,564320275910.0,588299450990.0
2079.0,523791538100.0,564135996720.0,588898620060.0
2080.0,521244143170.0,562061879070.0,585169152300.0
2081.0,517636442920.0,562139207960.0,584970646990.0
2082.0,513555903370.0,560004457910.0,587399604190.0
2083.0,510479902430.0,555315781720.0,584424984560.0
2084.0,509025008840.0,553558357630.0,579766943530.0
2085.0,505107597130.0,553879331740.0,578213454790.0
2086.0,501865807540.0,549712625960.0,579086096840.0
2087.0,500488040590.0,546174791060.0,577562296560.0
2088.0,500206338840.0,549257916370.0,581578970610.0
2089.0,495035937590.0,547072419600.0,584246373270.0
2090.0,491603340350.0,541872021800.0,576689558800.0
2091.0,491797820020.0,542850149100.0,574768994560.0
2092.0,493067386260.0,538590098370.0,573281624090.0
2093.0,483680091540.0,538615317190.0,575376824580.0
2094.0,478145561900.0,536339871940.0,570777951950.0
2095.0,481625053950.0,532399952390.0,568206719280.0
2096.0,475453690870.0,541045819430.0,568037999480.0
2097.0,472727294850.0,532670867480.0,566968690860.0
2098.0,468293384940.0,530956599180.0,564522919610.0
2099.0,464826742100.0,526188098130.0,566083554990.0
2100.0,463799361240.0,525817733600.0,562557678910.0
2101.0,459635218070.0,523658999380.0,563412188460.0
2102.0,457370124300.0,523672584010.0,565361321510.0
2103.0,453856424380.0,520743133640.0,562559750400.0
2104.0,451020585990.0,518052744990.0,558455069850.0
2105.0,448803173340.0,517546235700.0,557509458110.0
2106.0,445532409780.0,519685880110.0,559105837520.0
2107.0,443517536830.0,515122468790.0,558122079240.0
2108.0,439028812710.0,511243484090.0,554374044780.0
2109.0,437191331290.0,513448814580.0,553794193530.0
2110.0,435601113810.0,517038959290.0,552736307450.0
