time,NorESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4,BCC-CSM2-MR,FGOALS-f3-L,INM-CM4-8,INM-CM5-0,EC-Earth3-Veg,MRI-ESM2-0,EC-Earth3,CESM2,CESM2-WACCM,CAMS-CSM1-0
2000.0,87958330000.0,87958330000.0,87958330000.0,87958330000.0,87958330000.0,87958330000.0,87958330000.0,87958330000.0,87958330000.0,87958330000.0,87958330000.0,87958330000.0,87958330000.0
2001.0,88269210000.0,88269210000.0,88269210000.0,88269210000.0,88269210000.0,88269210000.0,88269210000.0,88269210000.0,88269210000.0,88269210000.0,88269210000.0,88269210000.0,88269210000.0
2002.0,87945310000.0,87945310000.0,87945310000.0,87945310000.0,87945310000.0,87945310000.0,87945310000.0,87945310000.0,87945310000.0,87945310000.0,87945310000.0,87945310000.0,87945310000.0
2003.0,87733666000.0,87733666000.0,87733666000.0,87733666000.0,87733666000.0,87733666000.0,87733666000.0,87733666000.0,87733666000.0,87733666000.0,87733666000.0,87733666000.0,87733666000.0
2004.0,87539130000.0,87539130000.0,87539130000.0,87539130000.0,87539130000.0,87539130000.0,87539130000.0,87539130000.0,87539130000.0,87539130000.0,87539130000.0,87539130000.0,87539130000.0
2005.0,87387726000.0,87387726000.0,87387726000.0,87387726000.0,87387726000.0,87387726000.0,87387726000.0,87387726000.0,87387726000.0,87387726000.0,87387726000.0,87387726000.0,87387726000.0
2006.0,87270154000.0,87270154000.0,87270154000.0,87270154000.0,87270154000.0,87270154000.0,87270154000.0,87270154000.0,87270154000.0,87270154000.0,87270154000.0,87270154000.0,87270154000.0
2007.0,87220390000.0,87220390000.0,87220390000.0,87220390000.0,87220390000.0,87220390000.0,87220390000.0,87220390000.0,87220390000.0,87220390000.0,87220390000.0,87220390000.0,87220390000.0
2008.0,87161810000.0,87161810000.0,87161810000.0,87161810000.0,87161810000.0,87161810000.0,87161810000.0,87161810000.0,87161810000.0,87161810000.0,87161810000.0,87161810000.0,87161810000.0
2009.0,87516774000.0,87516774000.0,87516774000.0,87516774000.0,87516774000.0,87516774000.0,87516774000.0,87516774000.0,87516774000.0,87516774000.0,87516774000.0,87516774000.0,87516774000.0
2010.0,87096615000.0,87096615000.0,87096615000.0,87096615000.0,87096615000.0,87096615000.0,87096615000.0,87096615000.0,87096615000.0,87096615000.0,87096615000.0,87096615000.0,87096615000.0
2011.0,86974340000.0,86974340000.0,86974340000.0,86974340000.0,86974340000.0,86974340000.0,86974340000.0,86974340000.0,86974340000.0,86974340000.0,86974340000.0,86974340000.0,86974340000.0
2012.0,86905240000.0,86905240000.0,86905240000.0,86905240000.0,86905240000.0,86905240000.0,86905240000.0,86905240000.0,86905240000.0,86905240000.0,86905240000.0,86905240000.0,86905240000.0
2013.0,86998974000.0,86998974000.0,86998974000.0,86998974000.0,86998974000.0,86998974000.0,86998974000.0,86998974000.0,86998974000.0,86998974000.0,86998974000.0,86998974000.0,86998974000.0
2014.0,86745915000.0,86745915000.0,86745915000.0,86745915000.0,86745915000.0,86745915000.0,86745915000.0,86745915000.0,86745915000.0,86745915000.0,86745915000.0,86745915000.0,86745915000.0
2015.0,86548570000.0,86548570000.0,86548570000.0,86548570000.0,86548570000.0,86548570000.0,86548570000.0,86548570000.0,86548570000.0,86548570000.0,86548570000.0,86548570000.0,86548570000.0
2016.0,86380340000.0,86380340000.0,86380340000.0,86380340000.0,86380340000.0,86380340000.0,86380340000.0,86380340000.0,86380340000.0,86380340000.0,86380340000.0,86380340000.0,86380340000.0
2017.0,86071525000.0,86071525000.0,86071525000.0,86071525000.0,86071525000.0,86071525000.0,86071525000.0,86071525000.0,86071525000.0,86071525000.0,86071525000.0,86071525000.0,86071525000.0
2018.0,85864870000.0,85864870000.0,85864870000.0,85864870000.0,85864870000.0,85864870000.0,85864870000.0,85864870000.0,85864870000.0,85864870000.0,85864870000.0,85864870000.0,85864870000.0
2019.0,85676170000.0,85676170000.0,85676170000.0,85676170000.0,85676170000.0,85676170000.0,85676170000.0,85676170000.0,85676170000.0,85676170000.0,85676170000.0,85676170000.0,85676170000.0
2020.0,85370946000.0,85370946000.0,85370946000.0,85370946000.0,85370946000.0,85370946000.0,85370946000.0,85370946000.0,85370946000.0,85370946000.0,85370946000.0,85370946000.0,85370946000.0
2021.0,85152760000.0,85716574000.0,85061700000.0,85143490000.0,85159140000.0,85480920000.0,85295860000.0,85051360000.0,85674200000.0,85235950000.0,85411430000.0,85340990000.0,84911960000.0
2022.0,84919796000.0,86761120000.0,84747120000.0,84909130000.0,84907930000.0,85173125000.0,85094105000.0,84792710000.0,85223370000.0,85045960000.0,85697180000.0,85159560000.0,84529906000.0
2023.0,84653600000.0,85929490000.0,84391990000.0,84866890000.0,84716675000.0,85002215000.0,84835060000.0,84495910000.0,84969060000.0,84490880000.0,85200940000.0,84809925000.0,84076620000.0
2024.0,84219270000.0,85665740000.0,84181870000.0,84355105000.0,84156700000.0,84668785000.0,84571100000.0,84328235000.0,84688430000.0,84093050000.0,84857380000.0,84379230000.0,83747720000.0
2025.0,84038570000.0,85020480000.0,83882795000.0,84019356000.0,83761365000.0,84272130000.0,84362690000.0,83908480000.0,84361450000.0,84199130000.0,84490860000.0,83990710000.0,83514540000.0
2026.0,83691760000.0,84753150000.0,83377110000.0,83700990000.0,83655836000.0,84031370000.0,84004700000.0,83488465000.0,83961460000.0,84314570000.0,84183785000.0,83447820000.0,83141710000.0
2027.0,83367600000.0,84435730000.0,82986205000.0,83270025000.0,83213180000.0,83896010000.0,83691750000.0,83223940000.0,83522760000.0,83254845000.0,83794125000.0,83010420000.0,82713560000.0
2028.0,82866460000.0,84174810000.0,82599970000.0,82495000000.0,82786200000.0,83349930000.0,83378260000.0,82720070000.0,82999120000.0,82572880000.0,83347410000.0,82515304000.0,82471110000.0
2029.0,82343460000.0,84245940000.0,82283050000.0,82194700000.0,82885600000.0,83029615000.0,83601410000.0,82158486000.0,82591920000.0,82183470000.0,82790930000.0,81720295000.0,82243215000.0
2030.0,81858510000.0,83945650000.0,81696630000.0,81567710000.0,82250150000.0,82599220000.0,82909170000.0,81632035000.0,82214910000.0,81714340000.0,82312660000.0,81147130000.0,81749730000.0
2031.0,81403390000.0,83486790000.0,81376715000.0,80954220000.0,81574980000.0,82061660000.0,82724954000.0,81225150000.0,81692570000.0,81354790000.0,81689120000.0,80923940000.0,81322615000.0
2032.0,80961765000.0,83106770000.0,80834445000.0,79888350000.0,81043310000.0,81597410000.0,82126040000.0,80852210000.0,81089620000.0,81268720000.0,81195580000.0,79807545000.0,81015780000.0
2033.0,80906270000.0,82722290000.0,80295895000.0,79025740000.0,80557600000.0,81277346000.0,81707780000.0,80052355000.0,80973450000.0,80633630000.0,80707910000.0,79105290000.0,80372015000.0
2034.0,81502904000.0,82291300000.0,79984706000.0,78304660000.0,80064455000.0,80833180000.0,81270400000.0,79628304000.0,80283230000.0,79695640000.0,79888410000.0,79039790000.0,79833360000.0
2035.0,80890135000.0,82366320000.0,79923790000.0,77255040000.0,79763270000.0,80447940000.0,81039370000.0,78773990000.0,79811660000.0,79056400000.0,79292430000.0,78409515000.0,80034990000.0
2036.0,80388040000.0,81855050000.0,78988850000.0,76421830000.0,78819254000.0,80285114000.0,80594530000.0,78410330000.0,79446010000.0,78362526000.0,78772590000.0,77812785000.0,80292300000.0
2037.0,79687100000.0,81424990000.0,78416710000.0,75581740000.0,77950530000.0,80887144000.0,79993360000.0,77480440000.0,78723990000.0,77743490000.0,78287270000.0,77173720000.0,79480530000.0
2038.0,79101680000.0,81075910000.0,77732340000.0,74310780000.0,77537530000.0,79771610000.0,79544435000.0,76988770000.0,78230150000.0,77130380000.0,77239550000.0,76539320000.0,78938240000.0
2039.0,78794334000.0,80815440000.0,77258826000.0,73507815000.0,77084850000.0,79236874000.0,79026560000.0,76140580000.0,77981010000.0,76788590000.0,77115990000.0,75516770000.0,78346170000.0
2040.0,78384220000.0,80448000000.0,76581140000.0,73014220000.0,76307930000.0,78506600000.0,78506610000.0,75304790000.0,77328835000.0,76186200000.0,76750280000.0,74823295000.0,78400800000.0
2041.0,77833970000.0,80041990000.0,76150374000.0,72955680000.0,76215390000.0,78157960000.0,78005354000.0,74631004000.0,76571386000.0,75501820000.0,76209660000.0,73860550000.0,77488030000.0
2042.0,77323756000.0,79876710000.0,75621655000.0,71726105000.0,75950870000.0,77773480000.0,77710330000.0,74168330000.0,75847160000.0,74901940000.0,75575940000.0,73014550000.0,76895710000.0
2043.0,76640580000.0,79284180000.0,75024970000.0,70786880000.0,74905680000.0,77417095000.0,77275390000.0,73952420000.0,75340460000.0,74198500000.0,75072274000.0,72310960000.0,76378080000.0
2044.0,75966280000.0,78928720000.0,74523350000.0,70176420000.0,74111570000.0,77011080000.0,77988790000.0,72844390000.0,75721270000.0,73384985000.0,74719280000.0,71688000000.0,76128460000.0
2045.0,75767430000.0,78736430000.0,74241830000.0,69170310000.0,73636420000.0,76390646000.0,76603030000.0,71885640000.0,74621215000.0,72882640000.0,74103350000.0,70943330000.0,75801895000.0
2046.0,75370410000.0,78327200000.0,73189600000.0,68505027000.0,72857550000.0,76038330000.0,76203060000.0,71070700000.0,74327470000.0,72201355000.0,73654210000.0,70303340000.0,75130995000.0
2047.0,74581524000.0,77785220000.0,72744160000.0,67486126000.0,71929300000.0,75241914000.0,75689520000.0,70012470000.0,73609450000.0,71308520000.0,73108000000.0,69738350000.0,74612680000.0
2048.0,73943320000.0,77454330000.0,72114310000.0,66608480000.0,71446225000.0,74426740000.0,75042130000.0,69051880000.0,73029970000.0,70558470000.0,72689950000.0,69037425000.0,74232920000.0
2049.0,73288130000.0,77028024000.0,71679470000.0,66369073000.0,70554800000.0,74338116000.0,74430910000.0,68455820000.0,72999540000.0,69833030000.0,72008974000.0,68421380000.0,74644260000.0
2050.0,74379190000.0,76455670000.0,71787870000.0,65506220000.0,69529510000.0,73845970000.0,74066030000.0,67636380000.0,72203880000.0,69210235000.0,71225510000.0,67611185000.0,73634726000.0
2051.0,72567660000.0,76012320000.0,71083650000.0,65026322000.0,69649120000.0,73784820000.0,73563220000.0,66900582000.0,71554744000.0,68578095000.0,70650700000.0,66798297000.0,73160590000.0
2052.0,71817990000.0,75542675000.0,70584050000.0,64225150000.0,68640707000.0,73416090000.0,73189010000.0,66852794000.0,70705996000.0,67995185000.0,70175030000.0,65939665000.0,73365760000.0
2053.0,71195330000.0,75046490000.0,70075700000.0,63526550000.0,67759660000.0,72977146000.0,72383010000.0,65674540000.0,70028845000.0,67361800000.0,69792620000.0,66282350000.0,73468340000.0
2054.0,70578640000.0,74725110000.0,69226020000.0,62757286000.0,68310327000.0,72564280000.0,71987710000.0,64441100000.0,69416890000.0,66547257000.0,69121820000.0,66476556000.0,72115634000.0
2055.0,69674070000.0,74100450000.0,68688933000.0,61967815000.0,66597650000.0,72123920000.0,71326335000.0,63423910000.0,68867650000.0,65885110000.0,68304187000.0,65274135000.0,71421580000.0
2056.0,68940650000.0,73390416000.0,68171063000.0,61216707000.0,65758585000.0,71549870000.0,71291270000.0,62613090000.0,68770430000.0,65164820000.0,67795243000.0,63907836000.0,71022985000.0
2057.0,68032537000.0,72955380000.0,67730285000.0,60348285000.0,65340290000.0,71096210000.0,70622530000.0,61813195000.0,67915424000.0,64349900000.0,67001307000.0,63161790000.0,70469860000.0
2058.0,67095620000.0,72084820000.0,67128807000.0,59324838000.0,64738320000.0,70573310000.0,70299690000.0,61163573000.0,67106124000.0,63595725000.0,66667893000.0,62326022000.0,69792014000.0
2059.0,66522034000.0,71213466000.0,66542785000.0,58080410000.0,63822385000.0,70220145000.0,69611315000.0,60088467000.0,66374935000.0,62781014000.0,65989583000.0,61583495000.0,70162140000.0
2060.0,65880450000.0,70557950000.0,66554606000.0,57314910000.0,63272645000.0,69969410000.0,69316346000.0,59166320000.0,66206544000.0,62063920000.0,65466830000.0,60825055000.0,69411996000.0
2061.0,64982240000.0,69965816000.0,65570664000.0,56516133000.0,62522090000.0,69354770000.0,69181555000.0,58156405000.0,65635844000.0,60944820000.0,64807092000.0,60042440000.0,69412730000.0
2062.0,64380040000.0,69394820000.0,65084932000.0,55528360000.0,61842035000.0,68987175000.0,68385948000.0,57307810000.0,65223380000.0,60050440000.0,64143643000.0,59266728000.0,68291130000.0
2063.0,63982890000.0,68965580000.0,64330793000.0,54744680000.0,61133607000.0,68490880000.0,67676434000.0,56378053000.0,64530060000.0,58923720000.0,63511253000.0,58181743000.0,67654734000.0
2064.0,63255070000.0,68530800000.0,63836700000.0,54105285000.0,60585017000.0,67809160000.0,67008127000.0,55637328000.0,66135417000.0,58483970000.0,62759174000.0,57362747000.0,67169505000.0
2065.0,62370775000.0,68008710000.0,63252470000.0,53668856000.0,60198826000.0,67243655000.0,66417740000.0,54818513000.0,63973487000.0,57426850000.0,62017220000.0,56547332000.0,66590880000.0
2066.0,61542940000.0,67321480000.0,62574027000.0,52811104000.0,59242670000.0,67111182000.0,66553620000.0,54071964000.0,63433490000.0,56694420000.0,61207620000.0,55728090000.0,66773870000.0
2067.0,60734670000.0,66638766000.0,62127944000.0,52178797000.0,58726180000.0,66552996000.0,65516626000.0,53225670000.0,62702430000.0,55533076000.0,60569833000.0,54964870000.0,65761264000.0
2068.0,60126990000.0,66029610000.0,62211590000.0,51638747000.0,58613846000.0,65781686000.0,64903190000.0,52233010000.0,62183070000.0,54498390000.0,59605627000.0,54099415000.0,65238184000.0
2069.0,59554480000.0,65435218000.0,61259670000.0,50871284000.0,57745000000.0,65228910000.0,64223410000.0,51349000000.0,62242877000.0,53738680000.0,58835706000.0,53548302000.0,64905417000.0
2070.0,58894537000.0,64956030000.0,60643262000.0,49918493000.0,57280197000.0,64650207000.0,63762313000.0,50615714000.0,61388784000.0,52992590000.0,57940210000.0,52564505000.0,64340976000.0
2071.0,58241552000.0,64279863000.0,60125626000.0,49179580000.0,56687473000.0,64038863000.0,63172700000.0,50021097000.0,60785476000.0,52177350000.0,57601750000.0,51628966000.0,63714152000.0
2072.0,57608778000.0,63743476000.0,59494752000.0,48613343000.0,56055310000.0,63759344000.0,62827807000.0,48962810000.0,60013756000.0,51457720000.0,56643437000.0,50586970000.0,63106250000.0
2073.0,56674992000.0,63183667000.0,58636358000.0,47770333000.0,55493476000.0,63111460000.0,62427554000.0,47932166000.0,59525997000.0,50676916000.0,56022987000.0,49554338000.0,62630880000.0
2074.0,56074924000.0,62828892000.0,57854226000.0,47134364000.0,55198695000.0,62535504000.0,62230280000.0,47146512000.0,59232600000.0,50022883000.0,55344513000.0,48462033000.0,62054160000.0
2075.0,55557145000.0,62129648000.0,57161654000.0,46444524000.0,54449250000.0,62046355000.0,62559007000.0,46513795000.0,58567156000.0,49204142000.0,54449533000.0,47705760000.0,61471654000.0
2076.0,54765530000.0,61482484000.0,57020640000.0,45875740000.0,53865255000.0,61561168000.0,61673304000.0,45588496000.0,58168746000.0,48002270000.0,53329760000.0,46825030000.0,61078725000.0
2077.0,53946930000.0,61076120000.0,56429867000.0,45038584000.0,53211128000.0,61045830000.0,61257970000.0,44808008000.0,57671430000.0,47094430000.0,52864950000.0,46026285000.0,60715532000.0
2078.0,53575410000.0,60573647000.0,55958745000.0,44361396000.0,52670026000.0,60575977000.0,60650435000.0,44134916000.0,57092428000.0,45974897000.0,52152890000.0,45162550000.0,60412056000.0
2079.0,53001070000.0,59861656000.0,55389700000.0,43602620000.0,52148367000.0,60070355000.0,60187095000.0,43338772000.0,56551236000.0,45047120000.0,51355017000.0,44333978000.0,59839984000.0
2080.0,52108400000.0,59175514000.0,54871323000.0,42799770000.0,51562220000.0,59464884000.0,59673390000.0,42522083000.0,56079983000.0,44363284000.0,50444603000.0,43628163000.0,60602300000.0
2081.0,51305857000.0,58731680000.0,54202814000.0,41935843000.0,50754245000.0,58790640000.0,59232133000.0,41901912000.0,55501690000.0,43646580000.0,49530930000.0,42996970000.0,59222280000.0
2082.0,50390770000.0,58270773000.0,53557100000.0,41018393000.0,50256445000.0,58264007000.0,59108655000.0,41087672000.0,54858690000.0,42889613000.0,48634077000.0,42056757000.0,58652762000.0
2083.0,49697784000.0,57712234000.0,52956750000.0,40057200000.0,49502240000.0,57715737000.0,58433390000.0,40372680000.0,54317162000.0,41839395000.0,47973400000.0,41181934000.0,58131200000.0
2084.0,48760810000.0,57319030000.0,52236227000.0,39124582000.0,48910213000.0,57063834000.0,57830740000.0,39485110000.0,53881590000.0,40923406000.0,47286764000.0,40172945000.0,57750420000.0
2085.0,47800103000.0,56822714000.0,51548010000.0,38190250000.0,48426750000.0,56559740000.0,57153210000.0,38375895000.0,53414190000.0,40335800000.0,46488437000.0,39376912000.0,57330065000.0
2086.0,46819640000.0,56559546000.0,50897080000.0,37153380000.0,47736650000.0,55911023000.0,56453780000.0,37619843000.0,52863943000.0,39363846000.0,45478640000.0,38155560000.0,57381070000.0
2087.0,46020700000.0,55954543000.0,50286940000.0,36326765000.0,47147045000.0,55527043000.0,55814900000.0,36697990000.0,52206555000.0,38289785000.0,44368240000.0,37316833000.0,56457220000.0
2088.0,45290385000.0,55605064000.0,49690800000.0,35588600000.0,46671417000.0,55068893000.0,55319070000.0,35653984000.0,51621536000.0,37427823000.0,43628847000.0,36419416000.0,55906040000.0
2089.0,44159066000.0,54951223000.0,49067980000.0,34769727000.0,46151150000.0,54549880000.0,55149040000.0,34720110000.0,51550945000.0,36618230000.0,42980200000.0,35590380000.0,55348350000.0
2090.0,42876920000.0,54481530000.0,48571613000.0,34072607000.0,45641355000.0,54285033000.0,54353600000.0,34005336000.0,50830180000.0,35936215000.0,42051200000.0,34871742000.0,54800523000.0
2091.0,41898476000.0,54695408000.0,48025125000.0,33232947000.0,44942780000.0,53657410000.0,53895623000.0,33301934000.0,50382746000.0,35570504000.0,41135960000.0,33728776000.0,54256530000.0
2092.0,41341243000.0,54011210000.0,47560077000.0,32395270000.0,44654220000.0,53089358000.0,53423153000.0,32423750000.0,49829335000.0,34764235000.0,39925703000.0,32679258000.0,53654036000.0
2093.0,40500100000.0,53480804000.0,47051477000.0,31792456000.0,44096100000.0,52629336000.0,52939997000.0,31446057000.0,49071854000.0,33889085000.0,39013163000.0,31956902000.0,52939400000.0
2094.0,39636877000.0,52995240000.0,46395564000.0,31084020000.0,43543085000.0,52229080000.0,52330054000.0,30726652000.0,48358404000.0,32937802000.0,38085976000.0,31188935000.0,52410044000.0
2095.0,38602457000.0,52536537000.0,45587403000.0,30319282000.0,43362460000.0,51463790000.0,52004987000.0,30063307000.0,47885280000.0,31964656000.0,36891480000.0,30530400000.0,53512462000.0
2096.0,37520090000.0,52102545000.0,45180340000.0,29398888000.0,42695980000.0,50950775000.0,51465360000.0,29340742000.0,47373394000.0,31205472000.0,35896906000.0,29914206000.0,51922640000.0
2097.0,36928774000.0,51639644000.0,44725280000.0,28779200000.0,42203455000.0,50156343000.0,50948026000.0,28606070000.0,46784758000.0,30154287000.0,34963837000.0,29235763000.0,51240660000.0
2098.0,36251427000.0,51089478000.0,44188852000.0,28189370000.0,41614240000.0,49677767000.0,50606805000.0,27803572000.0,46178697000.0,28933460000.0,34241554000.0,28666150000.0,50810260000.0
2099.0,35471460000.0,50611122000.0,43886182000.0,27527807000.0,41250165000.0,49066775000.0,50292425000.0,27204790000.0,45666247000.0,28205450000.0,33435853000.0,28004430000.0,50402107000.0
2100.0,34534683000.0,50139365000.0,43315044000.0,26621442000.0,40701340000.0,48773650000.0,49833517000.0,26729020000.0,45317255000.0,27453174000.0,32859900000.0,27546649000.0,50172625000.0
