time,NORESM2-MM,CMCC-CM2-SR5,EC-EARTH3,CESM2,BCC-CSM2-MR,FGOALS-F3-L,INM-CM5-0,INM-CM4-8,MPI-ESM1-2-HR,MRI-ESM2-0,GFDL-ESM4,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3-VEG
2000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0
2001.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0
2002.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0
2003.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0
2004.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0
2005.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0
2006.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0
2007.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0
2008.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0
2009.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0
2010.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0
2011.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0
2012.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0
2013.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0
2014.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0
2015.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0
2016.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0
2017.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0
2018.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0
2019.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0
2020.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0
