time,EC-EARTH3-VEG,FGOALS-F3-L,BCC-CSM2-MR,GFDL-ESM4,NORESM2-MM,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,EC-EARTH3,CESM2,MRI-ESM2-0,CAMS-CSM1-0,CESM2-WACCM
2000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0
2001.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0
2002.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0
2003.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0
2004.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0
2005.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0
2006.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0
2007.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0
2008.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0
2009.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0
2010.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0
2011.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0
2012.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0
2013.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0
2014.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0
2015.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0
2016.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0
2017.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0
2018.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0
2019.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0
2020.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0
2021.0,88810530000.0,88678750000.0,87582245000.0,87784470000.0,87588420000.0,87613990000.0,87628390000.0,87601220000.0,87541195000.0,87771880000.0,87341720000.0,87867790000.0,87626150000.0
2022.0,87877165000.0,88022750000.0,87725960000.0,87785865000.0,87347960000.0,87425980000.0,87600700000.0,87662350000.0,87470240000.0,87444950000.0,87163070000.0,87607620000.0,87731710000.0
2023.0,87451780000.0,88276000000.0,88154710000.0,87471120000.0,87408090000.0,87281670000.0,87655105000.0,87388000000.0,87250860000.0,87333265000.0,87125030000.0,87383785000.0,87473570000.0
