time,IPSL-CM6A-LR,CESM2-WACCM,MRI-ESM2-0,CANESM5
2000.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0
2001.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0
2002.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0
2003.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0
2004.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0
2005.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0
2006.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0
2007.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0
2008.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0
2009.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0
2010.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0
2011.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0
2012.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0
2013.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0
2014.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0
2015.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0
2016.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0
2017.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0
2018.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0
2019.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0
2020.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0
2021.0,2649748500.0,2652691700.0,2663846700.0,2636562200.0
2022.0,2691444700.0,2637588200.0,2655746600.0,2626649600.0
2023.0,2635354400.0,2628545800.0,2653624600.0,2598390300.0
2024.0,2624800300.0,2615677200.0,2626939400.0,2576960800.0
2025.0,2607797500.0,2601150000.0,2613248500.0,2555780000.0
2026.0,2598001000.0,2595239000.0,2590890200.0,2537813000.0
2027.0,2576023300.0,2588979700.0,2571471400.0,2515021300.0
2028.0,2550789400.0,2610156500.0,2559111700.0,2468289000.0
2029.0,2528687600.0,2557656800.0,2547858400.0,2425346000.0
2030.0,2511843600.0,2536987600.0,2518106000.0,2387595500.0
2031.0,2490253300.0,2550210800.0,2504008400.0,2320571100.0
2032.0,2457045800.0,2506994700.0,2483832600.0,2271984000.0
2033.0,2436999000.0,2482679800.0,2461475300.0,2241490400.0
2034.0,2427009300.0,2455437000.0,2435231500.0,2207423500.0
2035.0,2385417000.0,2440728600.0,2400905700.0,2151487500.0
2036.0,2362250500.0,2412634400.0,2379645400.0,2088082700.0
2037.0,2333094700.0,2386022000.0,2385814300.0,2028534500.0
2038.0,2315320300.0,2365053200.0,2329475800.0,1957203500.0
2039.0,2260519200.0,2347573500.0,2306423600.0,1897317800.0
2040.0,2206226000.0,2321141800.0,2274435000.0,1862580700.0
2041.0,2135702300.0,2315243800.0,2228635000.0,1783704700.0
2042.0,2090950800.0,2266896000.0,2203487200.0,1722007700.0
2043.0,2043813000.0,2228078800.0,2146367500.0,1669918000.0
2044.0,2001604700.0,2185244000.0,2108884900.0,1616376700.0
2045.0,1946434300.0,2147181400.0,2058961500.0,1555915300.0
2046.0,1865700400.0,2110179700.0,2004405400.0,1486735200.0
2047.0,1817391500.0,2076301800.0,1944367500.0,1417048600.0
2048.0,1752194700.0,2029153800.0,1898567000.0,1367139700.0
2049.0,1720785800.0,2004934500.0,1868794200.0,1297975800.0
2050.0,1670020500.0,1935154300.0,1815478300.0,1253488300.0
2051.0,1571049700.0,1878563500.0,1767266700.0,1189961700.0
2052.0,1505945300.0,1809078100.0,1704091000.0,1142869000.0
2053.0,1443005600.0,1761147800.0,1669226100.0,1105219100.0
2054.0,1401507600.0,1690877400.0,1621614700.0,1065863040.0
2055.0,1335742600.0,1657274600.0,1581369200.0,1017272500.0
2056.0,1277989200.0,1607110400.0,1547367400.0,969066300.0
2057.0,1224528500.0,1561557000.0,1502766200.0,933328900.0
2058.0,1179637000.0,1524026100.0,1458100500.0,885539100.0
2059.0,1144480500.0,1494014300.0,1425545100.0,841205440.0
2060.0,1102894300.0,1443895800.0,1393910400.0,799887500.0
2061.0,1065603900.0,1408568600.0,1354477700.0,764778700.0
2062.0,1013834500.0,1367531800.0,1329239800.0,733047940.0
2063.0,985298200.0,1323011500.0,1287056900.0,699624600.0
2064.0,949699460.0,1296121600.0,1272964500.0,675927040.0
2065.0,924521800.0,1267419900.0,1274115000.0,637754500.0
2066.0,894411200.0,1224133400.0,1223340900.0,614602300.0
2067.0,852275200.0,1204067300.0,1186199700.0,577121100.0
2068.0,825065600.0,1241757200.0,1153627600.0,546941250.0
2069.0,793331460.0,1180732900.0,1548828900.0,532586750.0
2070.0,757966900.0,1261563100.0,1198362200.0,510397280.0
2071.0,730067200.0,1121362000.0,1153634600.0,485798460.0
2072.0,700795840.0,1125897500.0,1089001200.0,463563620.0
2073.0,680820300.0,1090235600.0,1060385340.0,443154300.0
2074.0,650559000.0,1082253400.0,1049511600.0,426774700.0
2075.0,627940160.0,1116900900.0,1062330200.0,411069470.0
2076.0,612262400.0,1046934000.0,1031992600.0,391899000.0
2077.0,592908540.0,1070849540.0,1008829000.0,366117920.0
2078.0,573815300.0,1013581440.0,1009855800.0,350072300.0
2079.0,556099800.0,985886700.0,988863200.0,335700800.0
2080.0,528323870.0,959193340.0,966372540.0,329548740.0
2081.0,509268740.0,971649500.0,971288200.0,312260350.0
2082.0,494089540.0,932303500.0,950216000.0,303707170.0
2083.0,478222560.0,1436277100.0,938034750.0,287977280.0
2084.0,464337250.0,1273887200.0,1183451800.0,268135800.0
2085.0,470390800.0,1233371300.0,1242428900.0,250462380.0
2086.0,451799520.0,1067482500.0,1154339700.0,239299630.0
2087.0,431637600.0,984774600.0,1039275260.0,226572290.0
2088.0,421581440.0,1083692200.0,1150754000.0,214571260.0
2089.0,410127300.0,950675840.0,973604800.0,196470670.0
2090.0,392656060.0,912532740.0,998254400.0,183572060.0
2091.0,369525020.0,1261031300.0,942391000.0,175695630.0
2092.0,358291200.0,1589479800.0,1016740900.0,163169540.0
2093.0,341268500.0,1193891000.0,915277400.0,154157900.0
