time,EC-EARTH3,INM-CM4-8,INM-CM5-0,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,CMCC-CM2-SR5,MPI-ESM1-2-HR,TAIESM1,BCC-CSM2-MR,FGOALS-F3-L,IPSL-CM6A-LR,ACCESS-CM2,CESM2,CANESM5,ACCESS-ESM1-5,GFDL-ESM4,NORESM2-MM,EC-EARTH3-VEG
2000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0
2001.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0
2002.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0
2003.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0
2004.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0
2005.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0
2006.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0
2007.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0
2008.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0
2009.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0
2010.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0
2011.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0
2012.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0
