time,CAMS-CSM1-0,EC-EARTH3-VEG,GFDL-ESM4,MRI-ESM2-0
2000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0
2001.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0
2002.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0
2003.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0
2004.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0
2005.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0
2006.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0
2007.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0
2008.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0
2009.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0
2010.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0
2011.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0
2012.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0
2013.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0
2014.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0
2015.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0
2016.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0
2017.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0
2018.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0
2019.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0
2020.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0
2021.0,49016210000.0,48750883000.0,48821400000.0,48789963000.0
2022.0,48760033000.0,48548307000.0,48719450000.0,48780070000.0
2023.0,48960246000.0,48567380000.0,48372912000.0,48347450000.0
2024.0,48683647000.0,48330900000.0,48180793000.0,48148150000.0
2025.0,48414490000.0,48116675000.0,47915143000.0,47894778000.0
2026.0,48275100000.0,47837864000.0,47725530000.0,47627493000.0
2027.0,48275333000.0,47634047000.0,47609287000.0,47311065000.0
2028.0,48448315000.0,47417020000.0,47271960000.0,46955344000.0
2029.0,47952260000.0,47274643000.0,47099363000.0,46652047000.0
2030.0,47718010000.0,47005045000.0,46773040000.0,46364443000.0
