time,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3-VEG,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR,IPSL-CM6A-LR,CANESM5,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,CESM2,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,MPI-ESM1-2-HR
2000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0
2001.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0
2002.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0
2003.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0
2004.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0
2005.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0
2006.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0
2007.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0
2008.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0
2009.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0
2010.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0
2011.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0
