time,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,CESM2,EC-EARTH3,NORESM2-MM,INM-CM4-8,INM-CM5-0
2000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0
2001.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0
2002.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0
2003.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0
2004.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0
2005.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0
2006.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0
2007.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0
2008.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0
2009.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0
2010.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0
2011.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0
2012.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0
2013.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0
2014.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0
2015.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0
2016.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0
2017.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0
2018.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0
2019.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0
2020.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0
