time,CANESM5,CESM2-WACCM,MRI-ESM2-0,IPSL-CM6A-LR
2000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0
2001.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0
2002.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0
2003.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0
2004.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0
2005.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0
2006.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0
2007.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0
2008.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0
2009.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0
2010.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0
2011.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0
2012.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0
2013.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0
2014.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0
2015.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0
2016.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0
2017.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0
2018.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0
2019.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0
2020.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0
2021.0,13894343000.0,13908278000.0,13877132000.0,13898442000.0
2022.0,13909633000.0,13743534000.0,13725193000.0,13822382000.0
2023.0,13715197000.0,13544210000.0,13575865000.0,13704901000.0
2024.0,13525863000.0,13370915000.0,13401983000.0,13527566000.0
2025.0,13487682000.0,13163591000.0,13251385000.0,13369649000.0
2026.0,13226633000.0,12985821000.0,13022113000.0,13231897000.0
2027.0,13013778000.0,12811123000.0,12832759000.0,13038041000.0
2028.0,12777212000.0,12603948000.0,12614220000.0,12853723000.0
2029.0,12581870000.0,12385342000.0,12407717000.0,12671821000.0
2030.0,12369039000.0,12166880000.0,12137603000.0,12611479000.0
2031.0,12112896000.0,11958659000.0,11872814000.0,12353052000.0
2032.0,11903302000.0,11782201000.0,11652359000.0,12143018000.0
2033.0,11596978000.0,11514019000.0,11395817000.0,11965700000.0
2034.0,11366586000.0,11317428000.0,11113116000.0,11737455000.0
2035.0,11043377000.0,11509734000.0,10826248000.0,11652656000.0
2036.0,10808854000.0,11176377000.0,10536928000.0,11473365000.0
2037.0,10617772000.0,10882659000.0,10320231000.0,11366894000.0
2038.0,10288749000.0,10639145000.0,10095161000.0,11168581000.0
2039.0,9992061000.0,10403456000.0,9812860000.0,10993011000.0
2040.0,9979553000.0,10220176000.0,9552355000.0,10810813000.0
2041.0,9587227000.0,9950779000.0,9263819000.0,10598632000.0
2042.0,9281838000.0,9769150000.0,9041269000.0,10359279000.0
2043.0,8981962000.0,9537437000.0,8806863000.0,10079642000.0
2044.0,8731381000.0,9357008000.0,8494086700.0,9830363000.0
2045.0,8448099000.0,9145345000.0,8223178000.0,9643394000.0
2046.0,8288129500.0,8907174000.0,7906334000.0,9394681000.0
2047.0,7958481400.0,8767089000.0,7641481000.0,9172096000.0
2048.0,8237070300.0,8536139000.0,7290064400.0,8899703000.0
2049.0,7532635600.0,8366229500.0,7020565500.0,8723149000.0
2050.0,7297894000.0,8142525400.0,6706252000.0,8477791000.0
2051.0,7184997400.0,7902163000.0,6462939000.0,8267583000.0
2052.0,6834398000.0,7703402500.0,6163844000.0,8197075500.0
2053.0,6614868500.0,7512549000.0,5887688000.0,7890774000.0
2054.0,6531590700.0,7279534000.0,5763898400.0,7749539000.0
2055.0,6395385300.0,7076413400.0,5529200600.0,7527536600.0
2056.0,6123222500.0,6926515000.0,5413642000.0,7385582000.0
2057.0,5920813600.0,6805362000.0,5234157000.0,7091443000.0
2058.0,5775998500.0,6564345000.0,5079862000.0,6854669300.0
2059.0,5565832000.0,6462703000.0,4887471600.0,6665363000.0
2060.0,5595605500.0,6229980700.0,4759341000.0,6441229000.0
2061.0,5312045000.0,6087305000.0,4653672400.0,6210245000.0
2062.0,5214642700.0,5935722500.0,4545901000.0,6030376400.0
2063.0,5039710000.0,5767916500.0,4484839000.0,5856410000.0
2064.0,4928544300.0,5707697000.0,4556602400.0,5928135000.0
2065.0,4793233400.0,5506355700.0,4423798000.0,5574394400.0
2066.0,4856985600.0,5377263600.0,4319375000.0,5287377000.0
2067.0,4577558500.0,5238513700.0,4378935000.0,4957093400.0
2068.0,4449254000.0,5146287600.0,4296751600.0,4703984000.0
2069.0,4342472700.0,5039822000.0,4294588700.0,4893686000.0
2070.0,4338819000.0,4975482000.0,4163138300.0,4335461400.0
2071.0,4157058600.0,4822233600.0,4150646000.0,4225223200.0
2072.0,4147979300.0,4732040000.0,4098270500.0,4052232000.0
2073.0,4022299100.0,4600627700.0,4094066400.0,3870690300.0
2074.0,4084712400.0,4583726600.0,4039963100.0,3855595300.0
2075.0,3892140000.0,4513003000.0,4082666000.0,3735981600.0
2076.0,3811098600.0,4394141000.0,4025069600.0,3878992000.0
2077.0,3708100900.0,4337133600.0,4048090400.0,3762425600.0
2078.0,3760512000.0,4387165700.0,3962111700.0,3454672600.0
2079.0,3622239200.0,4251950300.0,4009502700.0,4036414000.0
2080.0,3616105000.0,4197775000.0,3937822000.0,4275690500.0
2081.0,3618482000.0,4163784200.0,3953824500.0,4023582700.0
2082.0,3626711300.0,4199636700.0,3929774000.0,3968540400.0
2083.0,3949779000.0,4080749300.0,3901916200.0,3877143600.0
2084.0,3809531100.0,4029481200.0,3932846300.0,3863803000.0
2085.0,3739536400.0,4096862000.0,4056407300.0,3600270000.0
2086.0,3667499000.0,3994944500.0,4009081900.0,3786824400.0
2087.0,3682707500.0,3969577000.0,4086260500.0,3697949000.0
2088.0,3805770800.0,4021787100.0,4180166000.0,3699588600.0
2089.0,3683001600.0,4087831000.0,4140875300.0,3801269500.0
2090.0,3651268600.0,4236549000.0,4113565000.0,3698834000.0
2091.0,3678345000.0,4125795300.0,4238503400.0,3797548500.0
2092.0,3596450600.0,3969357000.0,4188838700.0,3819852500.0
2093.0,3763398700.0,3920777700.0,4149230600.0,3937428200.0
2094.0,3605807400.0,4127586600.0,4182577700.0,3781590500.0
2095.0,3589365000.0,4109261600.0,4141814000.0,3778497800.0
2096.0,3570158000.0,4039220200.0,4301733000.0,3854918400.0
2097.0,3573346300.0,3910777300.0,4458001400.0,3780428300.0
2098.0,3617699800.0,3890254000.0,4268846000.0,3667432200.0
2099.0,3637053700.0,3975068700.0,4317888500.0,3641964000.0
2100.0,3565942300.0,3950306600.0,4353816600.0,3603564800.0
