time,ACCESS-ESM1-5,EC-EARTH3-VEG,IPSL-CM6A-LR,GFDL-ESM4,CAMS-CSM1-0,CESM2-WACCM,CESM2,ACCESS-CM2,NORESM2-MM,TAIESM1,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,EC-EARTH3,CANESM5,MRI-ESM2-0,INM-CM4-8,INM-CM5-0,CMCC-CM2-SR5
2000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0
2001.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0
2002.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0
2003.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0
2004.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0
2005.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0
2006.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0
2007.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0
2008.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0
2009.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0
2010.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0
2011.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0
2012.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0
2013.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0
2014.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0
2015.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0
2016.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0
2017.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0
2018.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0
2019.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0
2020.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0
2021.0,13896639000.0,13915259000.0,13898442000.0,13910324000.0,13911665000.0,13908278000.0,13929593000.0,13898164000.0,13911991000.0,13958423000.0,14042882000.0,13918377000.0,13905289000.0,13916092000.0,13894343000.0,13877132000.0,14024220000.0,13894340000.0,13909310000.0
2022.0,13785190000.0,13782429000.0,13822382000.0,13809227000.0,13777869000.0,13743534000.0,13771205000.0,13916863000.0,13866487000.0,13791454000.0,13848445000.0,13766760000.0,13814154000.0,13790971000.0,13909633000.0,13725193000.0,13877343000.0,13761716000.0,13764810000.0
2023.0,13622168000.0,13707544000.0,13704901000.0,13687123000.0,13705897000.0,13544210000.0,13613876000.0,13707005000.0,13652016000.0,13657342000.0,13704157000.0,13673251000.0,13718047000.0,13655945000.0,13715197000.0,13575865000.0,13756245000.0,13655681000.0,13593630000.0
2024.0,13465325000.0,13599934000.0,13527566000.0,13481046000.0,13732114000.0,13370915000.0,13455018000.0,13548311000.0,13534700000.0,13565969000.0,13596801000.0,13529177000.0,13565123000.0,13543048000.0,13525863000.0,13401983000.0,13630868000.0,13508186000.0,13475514000.0
2025.0,13296384000.0,13474035000.0,13369649000.0,13330836000.0,13626148000.0,13163591000.0,13278374000.0,13492458000.0,13367542000.0,13351898000.0,13562716000.0,13378530000.0,13417003000.0,13365489000.0,13487682000.0,13251385000.0,13508878000.0,13362523000.0,13317362000.0
