time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,CESM2-WACCM
2000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0
2001.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0
2002.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0
2003.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0
2004.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0
2005.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0
2006.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0
2007.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0
2008.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0
2009.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0
2010.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0
2011.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0
2012.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0
2013.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0
2014.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0
2015.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0
2016.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0
2017.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0
2018.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0
2019.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0
2020.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0
2021.0,28321610000.0,28375714000.0,28307069000.0,28392298000.0
2022.0,28186442000.0,28160764000.0,28172489000.0,28300110000.0
2023.0,28112806000.0,28058653000.0,28054970000.0,28028430000.0
2024.0,28170805000.0,27901950000.0,28187060000.0,27836344000.0
2025.0,27948650000.0,27784944000.0,27890715000.0,27653940000.0
2026.0,27842814000.0,27697523000.0,27691764000.0,27385307000.0
2027.0,27775398000.0,27510660000.0,27589245000.0,27414800000.0
2028.0,27571970000.0,27288723000.0,27435166000.0,27188740000.0
2029.0,27465261000.0,27137102000.0,27259490000.0,26908359000.0
2030.0,27358790000.0,27176792000.0,27029189000.0,26743630000.0
2031.0,27202417000.0,26870262000.0,26946335000.0,26575368000.0
2032.0,27091993000.0,26626079000.0,26630427000.0,26310095000.0
2033.0,27079768000.0,26448312000.0,26407846000.0,26115121000.0
2034.0,26869244000.0,26408270000.0,26255071000.0,25858777000.0
2035.0,26750829000.0,26104895000.0,26030051000.0,25677541000.0
2036.0,26602863000.0,25909758000.0,25815702000.0,25382451000.0
2037.0,26464006000.0,25733210000.0,25668655000.0,25183476000.0
2038.0,26324791000.0,25498014000.0,25423438000.0,24874180000.0
2039.0,26168087000.0,25275030000.0,25236052000.0,24686846000.0
2040.0,26002862000.0,25076142000.0,25107538000.0,24419463000.0
2041.0,25859574000.0,24793682000.0,24870388000.0,24464568000.0
2042.0,25721995000.0,24564705000.0,24675720000.0,24228016000.0
2043.0,25538038000.0,24358740000.0,24423438000.0,23948626000.0
2044.0,25407380000.0,24193171000.0,24197358000.0,23661693000.0
2045.0,25231860000.0,23923757000.0,24276951000.0,23415800000.0
2046.0,25099256000.0,23597390000.0,23812782000.0,23172153000.0
2047.0,24939993000.0,23326628000.0,23594514000.0,22968030000.0
2048.0,24740966000.0,23062882000.0,23285174000.0,22711124000.0
2049.0,24567364000.0,22799854000.0,23032193000.0,22514813000.0
2050.0,24378405000.0,22585985000.0,22802598000.0,22158834000.0
2051.0,24221225000.0,22375811000.0,22636900000.0,21934858000.0
2052.0,24035940000.0,22010163000.0,22450160000.0,21609673000.0
2053.0,23922299000.0,21721995000.0,22220392000.0,21363855000.0
2054.0,23767912000.0,21481447000.0,21986800000.0,21031387000.0
2055.0,23607392000.0,21240154000.0,21716564000.0,20762544000.0
2056.0,23490963000.0,21048947000.0,21528347000.0,20432837000.0
2057.0,23418124000.0,20768539000.0,21278466000.0,20152074000.0
2058.0,23418757000.0,20454980000.0,20984893000.0,19850523000.0
2059.0,23084681000.0,20300595000.0,20764068000.0,19521507000.0
2060.0,22893994000.0,20057920000.0,20619545000.0,19355060000.0
2061.0,22812310000.0,19854020000.0,20308464000.0,19071293000.0
2062.0,22628645000.0,19593687000.0,20138848000.0,18809946000.0
2063.0,22500465000.0,19383534000.0,19954653000.0,18652226000.0
2064.0,22304070000.0,19187601000.0,19766866000.0,18437388000.0
2065.0,22177260000.0,18983504000.0,19510747000.0,18250445000.0
2066.0,22055030000.0,18729343000.0,19334810000.0,18009494000.0
2067.0,21959810000.0,18596155000.0,19119133000.0,17776044000.0
2068.0,21803774000.0,18414123000.0,18912324000.0,17628236000.0
2069.0,21646037000.0,18170884000.0,18680375000.0,17405026000.0
2070.0,21576747000.0,18026725000.0,18473634000.0,17194170000.0
2071.0,21434284000.0,17864796000.0,18379704000.0,17035276000.0
2072.0,21338448000.0,17742350000.0,18188978000.0,16943650000.0
2073.0,21198950000.0,17518592000.0,18068060000.0,16769407000.0
2074.0,21104595000.0,17359735000.0,17974300000.0,16647307000.0
2075.0,20987734000.0,17176463000.0,17825001000.0,16450777000.0
2076.0,20882487000.0,17018539000.0,17716980000.0,16273688000.0
2077.0,21106942000.0,16922858000.0,17583747000.0,16156921000.0
2078.0,20661842000.0,16773450000.0,17430727000.0,15970196000.0
2079.0,20493250000.0,16646186000.0,17354370000.0,15855518000.0
2080.0,20445841000.0,16541894000.0,17401299000.0,15694098000.0
2081.0,20287992000.0,16481857000.0,17229433000.0,15579101000.0
2082.0,20177988000.0,16371890000.0,17069836000.0,15641506000.0
2083.0,20069431000.0,16235069000.0,16953500000.0,15325216000.0
2084.0,19981818000.0,16007545000.0,16781949000.0,15170385000.0
2085.0,19826864000.0,15941190000.0,16662394000.0,15075219000.0
2086.0,19717861000.0,16110107000.0,16538639000.0,14960792000.0
2087.0,20157762000.0,15902522000.0,16423440000.0,14828889000.0
2088.0,19573314000.0,15676858000.0,16360179000.0,14762092000.0
2089.0,19639734000.0,15636489000.0,16285370000.0,14571745000.0
2090.0,19466545000.0,15569318000.0,16182751000.0,14624431000.0
2091.0,19394484000.0,15531069000.0,16136843000.0,14466689000.0
2092.0,19422286000.0,15358141000.0,16198881000.0,14381216000.0
2093.0,19252030000.0,15275358000.0,16146163000.0,14286637000.0
2094.0,19290049000.0,15208004000.0,16074560000.0,14084795000.0
2095.0,19085105000.0,15106721000.0,15975253000.0,14414598000.0
2096.0,19056638000.0,15059512000.0,15927922000.0,13930781000.0
2097.0,18969156000.0,14938969000.0,15906122000.0,13790820000.0
2098.0,18886273000.0,14858766000.0,15837320000.0,13764845000.0
2099.0,18831784000.0,14840538000.0,15750276000.0,13981844000.0
2100.0,18726967000.0,14756574000.0,15710429000.0,13590987000.0
