time,INM-CM4-8,INM-CM5-0,EC-EARTH3,MRI-ESM2-0,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,CESM2,GFDL-ESM4,CESM2-WACCM,CAMS-CSM1-0,NORESM2-MM,MPI-ESM1-2-HR
2000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0
2001.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0
2002.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0
2003.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0
2004.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0
2005.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0
2006.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0
2007.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0
2008.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0
2009.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0
2010.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0
2011.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0
2012.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0
2013.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0
2014.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0
2015.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0
2016.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0
2017.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0
2018.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0
2019.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0
2020.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0
