time,GFDL-ESM4,EC-EARTH3-VEG,MRI-ESM2-0,CAMS-CSM1-0
2000.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0
2001.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0
2002.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0
2003.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0
2004.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0
2005.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0
2006.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0
2007.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0
2008.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0
2009.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0
2010.0,706022241900.0,706022241900.0,706022241900.0,706022241900.0
2011.0,706868611200.0,706868611200.0,706868611200.0,706868611200.0
2012.0,705272392500.0,705272392500.0,705272392500.0,705272392500.0
2013.0,705081771200.0,705081771200.0,705081771200.0,705081771200.0
2014.0,705924313700.0,705924313700.0,705924313700.0,705924313700.0
2015.0,703898467700.0,703898467700.0,703898467700.0,703898467700.0
2016.0,704746254100.0,704746254100.0,704746254100.0,704746254100.0
2017.0,701314408900.0,701314408900.0,701314408900.0,701314408900.0
2018.0,700991416400.0,700991416400.0,700991416400.0,700991416400.0
2019.0,702148889800.0,702148889800.0,702148889800.0,702148889800.0
2020.0,699484687100.0,699484687100.0,699484687100.0,699484687100.0
2021.0,697960079800.0,697030821300.0,698084200600.0,698726188800.0
2022.0,697523753700.0,695743113200.0,696741404760.0,698568358600.0
2023.0,695574300900.0,694927164460.0,695035984140.0,697133059700.0
2024.0,694196675200.0,693556081500.0,693594660040.0,695143241500.0
2025.0,692627763400.0,691271481300.0,691544926040.0,693493051170.0
2026.0,691048064460.0,689251426100.0,691194068060.0,692518123200.0
2027.0,689626876900.0,687747527840.0,688395567300.0,691458744000.0
2028.0,687807635560.0,685092021260.0,686572992200.0,689286428400.0
2029.0,686925928650.0,683075241700.0,684998614560.0,687106316700.0
2030.0,684682097500.0,681018601400.0,682397780940.0,685823762400.0
2031.0,683489334760.0,679421892100.0,680221495360.0,684498760240.0
2032.0,681977976300.0,677274637340.0,677680131200.0,682253323000.0
2033.0,679696984000.0,673920502840.0,675432390100.0,681280514460.0
2034.0,677011562400.0,670949098900.0,672565347960.0,681428396300.0
2035.0,675457037060.0,667924000900.0,669998789410.0,679202405740.0
2036.0,673415918350.0,666482586330.0,668381332900.0,676667460500.0
2037.0,670963866400.0,663509764600.0,665505489540.0,675797244540.0
2038.0,668429282850.0,661248424700.0,661350135650.0,673276842700.0
2039.0,667195180060.0,659636986270.0,658886472300.0,670998080360.0
2040.0,665901345260.0,656893136560.0,655489812900.0,669816661400.0
2041.0,662969680700.0,653455731560.0,653178434720.0,669424605600.0
2042.0,660748801860.0,651274754460.0,650418185530.0,666225521870.0
2043.0,658348846660.0,649910232460.0,647186942400.0,664273193340.0
2044.0,656039998540.0,647640277900.0,645113028450.0,662683771100.0
2045.0,654684276430.0,645203352200.0,642698068870.0,663032852150.0
2046.0,652469140400.0,641970608350.0,640447158570.0,659443407300.0
2047.0,650227974000.0,639281472410.0,637533220050.0,657370254240.0
2048.0,647612416300.0,637730862700.0,635170868680.0,656125605650.0
2049.0,646740592700.0,634964986850.0,633499154440.0,656198843400.0
2050.0,646424632240.0,633926716620.0,631568766300.0,653963605700.0
