time,IPSL-CM6A-LR,MRI-ESM2-0,ACCESS-CM2,ACCESS-ESM1-5,CANESM5,CESM2-WACCM
2000.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0
2001.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0
2002.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0
2003.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0
2004.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0
2005.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0
2006.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0
2007.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0
2008.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0
2009.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0
2010.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0
2011.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0
2012.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0
2013.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0
2014.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0
2015.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0
2016.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0
2017.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0
2018.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0
2019.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0
2020.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0
2021.0,2321986300.0,2274760400.0,2276345300.0,2303885800.0,2294507800.0,2297617400.0
2022.0,2284404200.0,2270319000.0,2243995600.0,2317490400.0,2270657300.0,2332521500.0
2023.0,2271116300.0,2230604000.0,2260564500.0,2274409500.0,2238273000.0,2279350500.0
2024.0,2241853000.0,2199782100.0,2243175200.0,2279569200.0,2253333800.0,2266882800.0
2025.0,2218699000.0,2161261000.0,2185610200.0,2225092400.0,2207503000.0,2228068600.0
2026.0,2172805400.0,2119434800.0,2162123800.0,2190346800.0,2168801000.0,2206166000.0
2027.0,2148665300.0,2079093500.0,2106696000.0,2145087500.0,2121365500.0,2176783600.0
2028.0,2098982800.0,2044967800.0,2067764900.0,2094605200.0,2082963200.0,2128610800.0
2029.0,2076161300.0,1993635600.0,2027630100.0,2093291300.0,2039738200.0,2098671500.0
2030.0,2029125400.0,1959943700.0,1993796000.0,2007388500.0,1995054700.0,2108202900.0
2031.0,1998648200.0,1913578400.0,2033802900.0,1968959100.0,1947100000.0,2052824600.0
2032.0,2001308200.0,1854401400.0,1890707200.0,1921831000.0,1893378400.0,2005653000.0
2033.0,1953022500.0,1800265600.0,1841388400.0,1874780400.0,1834410100.0,1977510700.0
